allocation_of,widths,parameters,flop_reduction,raw_hsr_balanced,raw_awbir
random,51/107/91/204,109756,0.4003793308957364,0.24838662551816074,0.30205212433929657
magnitude,8/51/126/256,127355,0.400804165391492,0.419166925366593,0.323003204340168
taylor,61/118/90/155,102063,0.40293462985036166,0.24535709720421467,0.14438719646808995
fisher,63/112/101/135,102055,0.401746704009149,0.25916984715399644,0.14132037071017758
saber_v2,64/126/116/72,96904,0.4009350385773883,0.24639067949818302,0.1681820431644485
