allocation_of,seed,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_hsr_balanced,trained_hsr_miss,trained_hsr_fatigue,trained_awbir,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_hsr_balanced,recal_hsr_miss,recal_hsr_fatigue,recal_awbir
random,101,0.0,0.05693599438979549,0.6874139759548935,0.58011894602161,0.168574350358832,0.14962138504897038,0.14389620350249266,0.037023304684717664,0.0,0.05597884801273668,0.6751870311539689,0.569885146167731,0.16964262887821624,0.15035791895692188,0.14477730501634373,0.03448439841403336
random,211,0.0,0.059030344383161806,0.5910710057149822,0.5135352772156562,0.18374938368546959,0.1626035560587523,0.15646445463012,0.0828852615301934,0.0,0.05953260931369762,0.6035054813929324,0.5319240041659525,0.1828600646445463,0.16194311036443212,0.15575866036047553,0.06932876448219799
random,307,0.00025,0.057618316559579996,0.5813581861483446,0.4943238075821481,0.1861525538248023,0.16437717231849916,0.15885027665674475,0.06213654446036364,0.00025,0.05711605162904418,0.6018366185400426,0.5052722578287197,0.18342068260258212,0.16201995946019979,0.15656306495498623,0.038726364021688345
random,401,0.00025,0.06120998464775118,0.6069924822673339,0.5112803219593886,0.18580924380489766,0.16466782929457094,0.15811617757162943,0.08348190382905518,0.00025,0.05946627243607968,0.6079292073212549,0.5095027693028744,0.18497105604353464,0.16368933486727172,0.15750899362685122,0.07511314853012509
random,503,0.0,0.058082674702905554,0.5937076960492663,0.5174288195446367,0.18621646792425267,0.16450728316380878,0.1587261006920984,0.06327162789223201,0.0,0.058310115426167056,0.6048763240850864,0.519792067366197,0.18343163930534506,0.1622231149905955,0.15665893610416173,0.06781610852104086
random,613,0.00025,0.05354333693447812,0.5895504372648926,0.4966589039715268,0.18294771826664963,0.16105211738280892,0.15627636456602328,0.10033620288611189,0.00025,0.05660431000170581,0.5921168150714234,0.5013872756940035,0.18515914610763134,0.16338650377701894,0.15799474078267378,0.08332660626365311
random,719,0.0,0.0642614810181763,0.6829733038945704,0.5812963707174319,0.17946166067091543,0.159870467425114,0.15273461039791092,0.039067973500900674,0.00025,0.06237561835446637,0.6700312218680855,0.5577081642674206,0.17804641989737222,0.15838598637716625,0.15204159894815655,0.04921947756471343
random,823,0.0,0.05834802221337731,0.5650115428108724,0.4931641842517865,0.18577454757948175,0.16418162560946659,0.15842022607330036,0.09469070370476088,0.0,0.05944731904247456,0.5839511615931533,0.5042389118734405,0.18614159712203943,0.1646640248838894,0.15876718832745934,0.07435636275742898
random,907,0.0,0.059115634654384866,0.6289311917597851,0.537002597637319,0.1802176731615566,0.1596741598339451,0.15359562462336335,0.055468895900770775,0.0,0.05966528306893349,0.6292454487558172,0.5355904623974668,0.1816292617008455,0.16093874594449822,0.1548866894322602,0.0477919141368261
random,1013,0.0,0.057694130134000494,0.6454003039577205,0.5739519122570979,0.18380964555066562,0.16243920551730853,0.15593579372180932,0.03263972792521492,0.0,0.05801633782528762,0.6530633616356976,0.5573137875488573,0.18014645459359763,0.1594382863716879,0.153531710523913,0.035640010215190795
random,1109,0.0,0.06270730274255605,0.5899473688956743,0.5001328501800788,0.18960574131224778,0.16807429861884673,0.1616688884425047,0.07579345065998555,0.0,0.06281154640738425,0.5997550639098399,0.5110474271630288,0.1867569985938898,0.16571708576054736,0.15932141487555013,0.07321422096938318
random,1201,0.00025,0.05347700005686018,0.5788836954324416,0.4956534464653218,0.18013367177370757,0.15869642628878217,0.15392980405763226,0.10017415717158085,0.00025,0.052927351642311556,0.5894018690438316,0.5078251929263621,0.17827103230401198,0.15705596440289013,0.15238673508518835,0.08555983907780108
random,1303,0.0,0.05983586361137962,0.5567704318524433,0.49293620969012025,0.1902047077299538,0.16811234272566242,0.16178758605576962,0.14726095995025823,0.0,0.059219878319213055,0.5718022781165987,0.5072087099201434,0.18697065429776666,0.16531838352111905,0.15915889045123355,0.11320357443712907
random,1409,0.0,0.055571350050226495,0.5783675319726,0.4897233455213192,0.18256605978707474,0.161062008850581,0.15597596829860666,0.12890340840922476,0.0,0.05520175887492656,0.5864046270506444,0.5045738732248326,0.1804824601449937,0.15926632700888102,0.1542977666587535,0.11857149228448363
random,1511,0.00025,0.059816910217774494,0.6315953164251137,0.5278271590739472,0.18748379321049652,0.16583958778449384,0.15962820255291174,0.07107667530986116,0.00025,0.05791209416045943,0.6476002675031117,0.5418814224392038,0.18291302204123372,0.16172473719131011,0.15601157758258616,0.06428638125988698
random,1607,0.0,0.06091620704687174,0.5570319474156211,0.4858757561156979,0.1898431365387776,0.16798451452676175,0.16154288636073116,0.13340109642134412,0.0,0.06312427740186881,0.5624279487071399,0.4947773600692429,0.1900440094227644,0.16850647967227284,0.1616378444513431,0.11386878937994353
random,1709,0.0,0.06132370500938193,0.6188453727619205,0.5367157087665217,0.1853527145231095,0.16430793204409463,0.1578523036467559,0.06250305983414531,0.0,0.06124789143496143,0.6158335085975024,0.5339120567763697,0.1858603750844579,0.16471880839770395,0.15838096455506656,0.056928296709334233
random,1801,0.00025,0.05135421997308618,0.6842810905458252,0.5515452771537417,0.17238180456894506,0.15189566175441158,0.1478488340242143,0.05272437709470152,0.00025,0.05139212676029643,0.676003893452047,0.551432810608628,0.17158196526725225,0.1512352160600914,0.14698873285732547,0.0460970688765195
random,1907,0.0,0.05856598623983624,0.6353703343697764,0.5234082618928365,0.18090429320136595,0.1601580808726405,0.1547479045305966,0.0692988135329331,0.0,0.058224825154943996,0.6437078442928316,0.531029951774883,0.17877321451397893,0.1583273984526701,0.15283687295703147,0.06457657542498516
random,2003,0.00075,0.055865127651105934,0.6586366253651081,0.5393064512821265,0.17481419258231223,0.15464244626650353,0.14907781085078797,0.05309567408284651,0.00075,0.05893557741513618,0.6469875195344672,0.5261449296982723,0.18052628695604536,0.15989557653561234,0.15393710852614087,0.04248049811730496
magnitude,101,0.00025,0.06520915069843256,0.5933258273735542,0.5073479234856406,0.1927174448969157,0.17106684806096795,0.16383740253099835,0.08387095193921544,0.00025,0.06484903621993518,0.5995723805747615,0.5149950698701785,0.19058271397527438,0.16923007858390704,0.16198663282262923,0.07728809428710806
magnitude,211,0.0,0.048966092378840434,0.6276398909927133,0.5547489723252796,0.17683935647632437,0.15522908639360128,0.15084183999561732,0.05505688516665188,0.0,0.05601675479994693,0.6208077814934533,0.5455628465257509,0.18414017275068023,0.16244529257439905,0.15677672065886306,0.05318370750175483
magnitude,307,0.0,0.05621576543280074,0.6020209799683406,0.5148179556338478,0.18214787896495682,0.16081700480268804,0.15542356786764303,0.05471870770847021,0.0,0.05450048331153693,0.6023976516431891,0.521999735209807,0.17936122422892203,0.15821935318931354,0.15294917916035133,0.05136524058726665
