condition,tag,architecture,collapses,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_hsr_balanced,trained_hsr_miss,trained_hsr_fatigue,trained_awbir,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_hsr_balanced,recal_hsr_miss,recal_hsr_fatigue,recal_awbir
baseline,pruned/shallow/fisher/s307,shallow,2,1.0,8.529027122306249e-05,0.14444223938837175,0.18856316782421376,0.34780774638885337,0.2807228989000688,0.3139451434415003,0.20746327787945604,0.00125,0.03989689353878812,0.6113511889660872,0.5247041504695567,0.16239842223480214,0.14172723288471722,0.13964500283048156,0.11440936756777369
baseline,pruned/shallow/saber_v2/s307,shallow,2,0.70875,0.016811660127745872,0.276440507050936,0.25520866817369453,0.3039517174631581,0.24952140513625876,0.2711135662241376,0.3062874289834562,0.0025,0.0459904095828358,0.6039947533256212,0.5359171267471067,0.16792790489582002,0.14730221629748666,0.14321597487262833,0.1101568514632079
baseline,pruned/deep/fisher/s401,deep,1,0.0,0.06367392581641743,0.6046623403528314,0.5439425047200777,0.18174613319698324,0.16167984514526762,0.1545324227095926,0.07065471544517608,0.0,0.06404351699171737,0.5902661083733063,0.5295809884519759,0.1848614890159055,0.16433532380100194,0.15719307536385382,0.1011130439807709
baseline,pruned/deep/saber_v2/s401,deep,1,0.0,0.061039404105305055,0.6304682311821552,0.5601678368901889,0.18335494238600464,0.16259746900166175,0.15612023155165172,0.036938571271917936,0.0,0.06182596993991774,0.606475934574305,0.5368698070477167,0.1847537481054035,0.16388944686912219,0.15744234035171017,0.06863658940824079
baseline,dense/shallow/s307,shallow,2,1.0,0.00017058054244612497,0.1695440863729243,0.2091139605607117,0.33427804459378024,0.2694618432826282,0.30293457022333414,0.16764714436037986,0.0015,0.04292943651560812,0.6301382617427368,0.5508375734441426,0.16205511221489746,0.14192582312229507,0.13845254834645093,0.10465349810767946
baseline,dense/deep/s401,deep,1,0.00025,0.06657379503800155,0.6377685242637605,0.5583824629597216,0.18646299373641825,0.16607393948247842,0.15847044429429705,0.05694765170264243,0.0,0.06689600272928868,0.6159344515061045,0.5380548946567676,0.19129489965486385,0.170154550379528,0.1626303391099505,0.07520575610408242
clipped,pruned/shallow/fisher/s307,shallow,0,0.00075,0.04385815280225924,0.5866666437829503,0.5306955760496093,0.16449115246251894,0.14411183749992393,0.14067949818301345,0.11325174299493286,0.00075,0.042986296696423495,0.5962455302327042,0.5353380131930455,0.16397801354978908,0.143544219426234,0.14021840360840745,0.10978501627838474
clipped,pruned/shallow/saber_v2/s307,shallow,0,0.00775,0.033651750345899435,0.6475551596779313,0.5519092635065264,0.1528167856686328,0.13268034428394904,0.13165026204780775,0.1072291413106298,0.003,0.04360228198859006,0.6118677981862034,0.5371776792358411,0.16269790544365517,0.1425558335311627,0.13921769142272786,0.10869899217807599
clipped,pruned/deep/fisher/s401,deep,0,0.0,0.06447944504463524,0.6114956865550139,0.537913612784826,0.18642099304249377,0.16570491164636633,0.15889684264348716,0.06689703233890093,0.0,0.06354125206118155,0.6030051769753487,0.5325507296526245,0.18525410419824329,0.16458184961316752,0.15779934625006847,0.08133036846905622
clipped,pruned/deep/saber_v2/s401,deep,0,0.0,0.06593885635222986,0.5979544403791256,0.5272293277079316,0.1900896623509432,0.16899648776805878,0.16179489052427823,0.08218898866690426,0.0,0.0654744982089043,0.5951324684805878,0.529202996118696,0.18815945654754296,0.16731341648253317,0.16010207994740783,0.09281818844993882
clipped,dense/shallow/s307,shallow,0,0.0005,0.04838801387388412,0.6285371214208438,0.5407275754989593,0.1671061521886014,0.14702068990705064,0.14287175179416006,0.11014688856644138,0.00025,0.04841644396429181,0.616759746826743,0.5391087668140973,0.16795164441847302,0.14773211470450381,0.14338854294114425,0.10547609812655612
clipped,dense/deep/s401,deep,0,0.0,0.06573984571937605,0.5821378661203794,0.5065046275530647,0.1951827030185716,0.1732087312746906,0.1660278300250178,0.12996843552772314,0.0,0.06665908530922461,0.5835703012289696,0.5119613807154382,0.19460017165500995,0.17287089960616742,0.16545534230565548,0.12515332309783175
groupnorm,groupnorm_dense/shallow/s307,shallow,0,0.00175,0.04811318966660981,0.5918833809825099,0.5009348722112009,0.1864739504391812,0.16310497738658292,0.1598372929639707,0.13087102943286452,,,,,,,,
groupnorm,groupnorm_dense/deep/s401,deep,0,0.0,0.0632759045507098,0.5881007456053342,0.512813399857329,0.18995270356640676,0.16845473968700353,0.16153192965796825,0.12976070346379018,,,,,,,,
