tag,architecture,unit,eval_b2a,eval_a2b,eval_family_f1,eval_fine_f1,eval_hsr_balanced,eval_hsr_miss,eval_hsr_fatigue,eval_awbir,batch_b2a,is_collapse,condition
pruned/shallow/fisher/s307,shallow,1,0.0295,0.03968840620913174,0.6614775030528885,0.5714057986852352,0.15139789266083528,0.1322687070482034,0.1302898047880791,0.08931509303254107,0.04,False,baseline
pruned/shallow/fisher/s307,shallow,2,0.0055,0.03448569966452493,0.6188850944491198,0.54048694063417,0.1545826409305893,0.1343063494092511,0.13289567392852578,0.10563349464462926,0.00425,False,baseline
pruned/shallow/fisher/s307,shallow,3,0.013,0.036911734045980936,0.5778965329980656,0.5109277002433589,0.16808860320300945,0.14588241023112555,0.14401855335001187,0.11219914450940517,0.00625,False,baseline
pruned/shallow/fisher/s307,shallow,4,0.998,9.476696802562498e-05,0.2144739768824807,0.20719971616996882,0.3280308979017914,0.2642619747630613,0.29795474881758915,0.1499946240137481,0.00075,True,baseline
pruned/shallow/fisher/s307,shallow,5,0.00325,0.0387407365288755,0.5848279768974088,0.5419691775057482,0.15960263691313162,0.1391934953707931,0.1366154745165355,0.11877276622379195,0.00125,False,baseline
pruned/shallow/fisher/s307,shallow,6,0.00025,0.048861848714012245,0.6192929817537837,0.5483480411033969,0.16326765398732673,0.14390031226602876,0.13934004127024707,0.10969114785630928,0.00075,False,baseline
pruned/shallow/fisher/s307,shallow,7,0.0005,0.05537233941737268,0.6077346942970849,0.5366971915072251,0.1733642555833531,0.15335731633826993,0.14746352331038512,0.11372899447479205,0.00175,False,baseline
pruned/shallow/fisher/s307,shallow,8,1.0,8.529027122306249e-05,0.14444223938837175,0.18856316782421376,0.34780774638885337,0.2807228989000688,0.3139451434415003,0.20746327787945604,0.00225,True,baseline
pruned/shallow/saber_v2/s307,shallow,1,0.0135,0.043062110270843994,0.6204580972691202,0.561262844741129,0.15347966618578918,0.13469135577022576,0.13136082248315406,0.09453299838842964,0.03425,False,baseline
pruned/shallow/saber_v2/s307,shallow,2,0.0105,0.03257140691040731,0.6358642277329195,0.5235510255082715,0.1549168203648582,0.13423178295989238,0.13410091123244644,0.10933825113848931,0.009,False,baseline
pruned/shallow/saber_v2/s307,shallow,3,0.004,0.05530600253975474,0.5562596252168563,0.5127783005758291,0.17114734939098994,0.15146728511166707,0.14569766804842862,0.1297269452050637,0.0065,False,baseline
pruned/shallow/saber_v2/s307,shallow,4,0.6315,0.03015484922575387,0.31680643226576044,0.241324556649894,0.2919048227753328,0.24233030806595934,0.2611310969485583,0.33840472052974846,0.001,True,baseline
pruned/shallow/saber_v2/s307,shallow,5,0.00175,0.05024544644718637,0.6037360820399373,0.5482303135100085,0.1676740746151458,0.14778081116122788,0.14281788133890908,0.10667287373228806,0.0015,False,baseline
pruned/shallow/saber_v2/s307,shallow,6,0.001,0.04243664828187487,0.6059788922430264,0.5449893375376482,0.15660232647321998,0.13730726855487177,0.13395938715509212,0.09357136053945714,0.001,False,baseline
pruned/shallow/saber_v2/s307,shallow,7,0.001,0.057315062261897996,0.5734835206998891,0.5200828798874074,0.1762111721845839,0.15603714322236628,0.14985938898120926,0.12045960724428184,0.0015,False,baseline
pruned/shallow/saber_v2/s307,shallow,8,0.70875,0.016811660127745872,0.276440507050936,0.25520866817369453,0.3039517174631581,0.24952140513625876,0.2711135662241376,0.3062874289834562,0.00175,True,baseline
pruned/deep/fisher/s401,deep,1,0.0,0.05428251928507799,0.6510513367292137,0.5395188575501608,0.17485984551049105,0.1544332036790173,0.14957908000219133,0.03454291049524184,0.00025,False,baseline
pruned/deep/fisher/s401,deep,2,0.25925,0.03277989424006368,0.46722555662379706,0.43906177743662606,0.28067237632621755,0.23679032523146035,0.24130037800624532,0.10247709491239994,0.0,True,baseline
pruned/deep/fisher/s401,deep,3,0.0,0.05950417922328993,0.6240153473236371,0.5353902217364188,0.17757345556143972,0.15753303750235872,0.15123354211939152,0.030544569872432193,0.0005,False,baseline
pruned/deep/fisher/s401,deep,4,0.00025,0.05672750706013912,0.6388106203688648,0.5785082758476916,0.17705849053158268,0.1566557403991892,0.1501926553569146,0.02401483598038744,0.001,False,baseline
pruned/deep/fisher/s401,deep,5,0.0,0.05821534845814143,0.5893443796325674,0.5137710086551582,0.18445974324793193,0.1630646506333583,0.1570643341063896,0.08423044297571103,0.0005,False,baseline
pruned/deep/fisher/s401,deep,6,0.0,0.06367392581641743,0.6046623403528314,0.5439425047200777,0.18174613319698324,0.16167984514526762,0.1545324227095926,0.07065471544517608,0.0,False,baseline
pruned/deep/saber_v2/s401,deep,1,0.0,0.05803529121889274,0.6284940578129719,0.5329916113448947,0.18122203758149047,0.1603376490568105,0.15404119720238857,0.03562890445031747,0.0,False,baseline
pruned/deep/saber_v2/s401,deep,2,0.4555,0.010073728701123935,0.40883572644010086,0.37246758670023006,0.3328591515859827,0.274841279986365,0.28840963459396285,0.14160186919204878,0.0,True,baseline
pruned/deep/saber_v2/s401,deep,3,0.0,0.06133318170618449,0.6259767128994783,0.536949006849906,0.17869286536038423,0.15875957950609618,0.15196490202881613,0.03115645850501332,0.0,False,baseline
pruned/deep/saber_v2/s401,deep,4,0.016,0.05946627243607968,0.5195963991563114,0.5357014631525755,0.21109731378170596,0.1853174095919846,0.17769032705757748,0.05680129718377505,0.001,False,baseline
pruned/deep/saber_v2/s401,deep,5,0.00075,0.05837645230378499,0.6054879741328938,0.5331321351407059,0.18669491061156662,0.16494631215646172,0.15869688281806396,0.052411679545959544,0.00075,False,baseline
pruned/deep/saber_v2/s401,deep,6,0.0,0.061039404105305055,0.6304682311821552,0.5601678368901889,0.18335494238600464,0.16259746900166175,0.15612023155165172,0.036938571271917936,0.0005,False,baseline
dense/shallow/s307,shallow,1,0.0165,0.038124751236708936,0.6592206240399041,0.5783830123861671,0.1437482880151933,0.12576164301844986,0.12356238929164917,0.07440360720334421,0.015,False,baseline
