allocation_of,method_hsr_mean,allocation_random_hsr_mean,diff,welch_p,method_awbir_mean,allocation_random_awbir_mean
random,0.18736856521977316,0.18188144847610524,-0.005487116743667919,0.0012979393995984432,0.08115762373249405,0.06772949457218341
magnitude,0.16492175088110148,0.1825828600646445,0.017661109183543022,5.709925492498006e-11,0.061409723821696925,0.07789435654237672
taylor,0.17339356476324388,0.1766646883731122,0.0032711236098683094,0.014672210706508801,0.059500625223742956,0.05816659525061278
fisher,0.17502629608663095,0.18124888150325957,0.006222585416628623,0.0005606375907889452,0.05674632794956115,0.05647627852114232
saber_v2,0.18302067164587935,0.18411077226493303,0.00109010061905368,0.4588167541451097,0.06343148791058231,0.06576389299854865
