method,regime,k,realized,parameters,awbir,fine_macro_f1,family_macro_f1,attack_to_benign_rate,benign_to_attack_rate,hsr_balanced_soc,ece15
random,minimal,123,0.4003793308957364,109756,0.13941912352261188,0.4906731140738401,0.5542742879194126,0.08469266126594173,0.0002004008016032064,0.1812989642295991,0.2401017421329265
random,standard,123,0.4003793308957364,109756,0.09110994764927391,0.5044155654172908,0.510251838271082,0.08984177172533712,0.055177020708082836,0.21011410042366632,0.2885401063439577
magnitude,minimal,135,0.400804165391492,127355,0.09634991690416438,0.5286356372595078,0.5988862500986334,0.07107274418318048,0.002471609886439546,0.1566312792101272,0.16848827565593152
magnitude,standard,135,0.400804165391492,127355,0.06465128551996617,0.570344657000103,0.6724287823551051,0.08379147065449931,0.0006012024048096192,0.1771056325591303,0.2500364814623774
taylor,minimal,152,0.40293462985036166,102063,0.03406705702270587,0.5527634518359201,0.6282428069184083,0.08155004785168098,3.34001336005344e-05,0.17150384249152942,0.20992844964939705
taylor,standard,152,0.40293462985036166,102063,0.060591909468521284,0.5541449132798828,0.5575354788102544,0.053058560059155074,0.1176686706746827,0.1938753179318092,0.2612608013997515
fisher,minimal,165,0.401746704009149,102055,0.1799054237439119,0.5062553631588194,0.5661093558864159,0.07536880455524896,3.34001336005344e-05,0.16443496894873583,0.20673143698951746
fisher,standard,165,0.401746704009149,102055,0.19189357406565624,0.48975714377603313,0.5626327126446066,0.0879296301074689,0.0001336005344021376,0.18053210451285656,0.25352461251735925
saber_v2,minimal,198,0.4009350385773883,96904,0.11505557971812878,0.49735665962942216,0.5576641456682077,0.0884919114291381,3.34001336005344e-05,0.18124871416269006,0.2131037272862485
saber_v2,standard,198,0.4009350385773883,96904,0.08564835867564446,0.5162258299806836,0.5862298190685318,0.08954715171775018,0.0,0.1848321265427772,0.2654479691045569
