source_index,target_index,source_class,target_class,source_family,target_family,transition_type,support,confusion_rate,mean_margin,margin_std,vulnerability_probability,operational_cost,stability,raw_weight,normalized_weight,cost_profile
8,19,DDoS-PSHACK_Flood,DoS-SYN_Flood,ddos,dos,cross_family_attack,19315,0.0008801449650530675,8.835814825243478,4.187130880537128,0.05516814256319204,6.0,1.0,0.16814486258473532,0.0016660398292163076,miss_sensitive
9,20,DDoS-RSTFINFlood,DoS-TCP_Flood,ddos,dos,cross_family_attack,16818,0.0,8.648680880093407,1.6663075197873376,0.39856367876852694,6.0,1.0,1.1956910363055808,0.011847337226364153,miss_sensitive
9,19,DDoS-RSTFINFlood,DoS-SYN_Flood,ddos,dos,cross_family_attack,16818,0.00017838030681412772,9.323710062762464,2.303656742068049,0.20292533407668323,6.0,1.0,0.6093111431504921,0.006037274153187218,miss_sensitive
9,18,DDoS-RSTFINFlood,DoS-HTTP_Flood,ddos,dos,cross_family_attack,16818,0.007016292068022357,10.828515434623268,2.002000369653831,0.045061702943626554,6.0,1.0,0.15623398503494673,0.0015480225666379408,miss_sensitive
10,19,DDoS-SYN_Flood,DoS-SYN_Flood,ddos,dos,cross_family_attack,19654,0.17752111529459652,0.35855967886507106,0.6717868112084228,0.49004266607504143,6.0,1.0,2.0026913441089143,0.01984338678935705,miss_sensitive
10,12,DDoS-SYN_Flood,DDoS-SynonymousIP_Flood,ddos,ddos,same_family_attack,19654,0.507123231912079,0.3205333313694025,1.4309621210518038,0.5090360343432213,2.0,1.0,1.0161592662553003,0.010068471818788956,miss_sensitive
10,18,DDoS-SYN_Flood,DoS-HTTP_Flood,ddos,dos,cross_family_attack,19654,0.000559682507377633,9.204458492889074,1.1591302683396154,7.055192234407522e-05,6.0,1.0,0.0018907032891651247,1.873376882622247e-05,miss_sensitive
11,18,DDoS-SlowLoris,DoS-HTTP_Flood,ddos,dos,cross_family_attack,3514,0.12919749573136027,1.9992869839148557,2.9121373226447425,0.3958127298191759,6.0,1.0,1.5750306766516087,0.015605970941971033,miss_sensitive
11,5,DDoS-SlowLoris,DDoS-HTTP_Flood,ddos,ddos,same_family_attack,3514,0.13801935116676153,1.7334663373337051,2.926063518648768,0.5163381299555774,2.0,1.0,0.6543574811223389,0.006483609486112513,miss_sensitive
11,24,DDoS-SlowLoris,Mirai-greip_flood,ddos,mirai,cross_family_attack,3514,0.006829823562891292,5.183458468709809,3.3544749201891877,0.016391611500619862,6.0,1.0,0.06966430519053346,0.0006902590143877859,miss_sensitive
12,19,DDoS-SynonymousIP_Flood,DoS-SYN_Flood,ddos,dos,cross_family_attack,17252,0.11749362392766056,-1.3062350668473899,2.2397806680728953,0.35984173730855257,6.0,1.0,1.4320060837086395,0.014188831787449705,miss_sensitive
12,10,DDoS-SynonymousIP_Flood,DDoS-SYN_Flood,ddos,ddos,same_family_attack,17252,0.5904822629260376,-1.8809903678783328,1.9922221172620436,0.6393292738722985,2.0,1.0,1.2298115367983362,0.012185415428337633,miss_sensitive
12,18,DDoS-SynonymousIP_Flood,DoS-HTTP_Flood,ddos,dos,cross_family_attack,17252,0.00017389288198469742,6.7457311483775495,2.8815623051383827,0.00011460063897456942,6.0,1.0,0.0008654805628778005,8.575492982667357e-06,miss_sensitive
13,20,DDoS-TCP_Flood,DoS-TCP_Flood,ddos,dos,cross_family_attack,17167,0.3450806780450865,0.4456994844768844,1.00173229560473,0.9961958231252381,6.0,1.0,4.023829503510974,0.03986955126533589,miss_sensitive
13,19,DDoS-TCP_Flood,DoS-SYN_Flood,ddos,dos,cross_family_attack,17167,0.00011650259218267607,7.0901287857438975,1.4635652584514443,0.0012963006402843264,6.0,1.0,0.004238409697401007,4.199568907345116e-05,miss_sensitive
13,11,DDoS-TCP_Flood,DDoS-SlowLoris,ddos,ddos,same_family_attack,17167,0.0012815285140094367,9.288090586240004,2.1338650694894596,0.00014392725884577505,2.0,1.0,0.0014254557728552116,1.4123928949457501e-05,miss_sensitive
14,21,DDoS-UDP_Flood,DoS-UDP_Flood,ddos,dos,cross_family_attack,18091,0.21165220275274998,0.5998742372406259,1.2065772871067773,0.991929707171988,6.0,1.0,3.610745729774214,0.03577656852849134,miss_sensitive
14,19,DDoS-UDP_Flood,DoS-SYN_Flood,ddos,dos,cross_family_attack,18091,0.000552761041401802,7.5507694238784575,1.2683515130864007,0.000950047836381692,6.0,1.0,0.004508426633350482,4.467111407864911e-05,miss_sensitive
14,25,DDoS-UDP_Flood,Mirai-udpplain,ddos,mirai,cross_family_attack,18091,0.0002211044165607208,8.141309100500925,1.6483421040174038,0.0005263533002738248,6.0,1.0,0.0022423731505036367,2.2218240410536733e-05,miss_sensitive
15,24,DDoS-UDP_Fragmentation,Mirai-greip_flood,ddos,mirai,cross_family_attack,29874,0.0006360045524536386,7.878360471274144,1.4876182548790866,0.3061553954171158,6.0,1.0,0.9203741999087083,0.009119398899614104,miss_sensitive
15,25,DDoS-UDP_Fragmentation,Mirai-udpplain,ddos,mirai,cross_family_attack,29874,0.00167369619066747,7.938447352854539,1.412065081883198,0.28830124401345203,6.0,1.0,0.8699248206123585,0.00861952828819651,miss_sensitive
15,9,DDoS-UDP_Fragmentation,DDoS-RSTFINFlood,ddos,ddos,same_family_attack,29874,0.0,8.934029046646229,0.9574222005022117,0.10652974328608544,2.0,1.0,0.10652974328608544,0.0010555350462840682,miss_sensitive
16,22,DNS_Spoofing,MITM-ArpSpoofing,spoofing_mitm,spoofing_mitm,same_family_attack,26131,0.14549768474226016,1.7624601396191686,2.123742850160811,0.9241799752190074,2.0,1.0,1.0696776599612676,0.010598751329796242,miss_sensitive
16,1,DNS_Spoofing,BenignTraffic,spoofing_mitm,benign,attack_to_benign,26131,0.025180819716046077,6.110534679198652,4.070811899308956,0.011951207167434783,12.0,1.0,0.22279216130088514,0.0022075049374607274,miss_sensitive
