source_family,target_family,edges,weight
ddos,dos,18,0.19152360682145123
dos,ddos,12,0.129622144988964
malware,reconnaissance,5,0.0881709954431673
web_application,reconnaissance,4,0.07116069360455991
reconnaissance,benign,5,0.06493058382670513
web_application,spoofing_mitm,2,0.05117050037170558
malware,benign,3,0.05096528850471173
reconnaissance,reconnaissance,9,0.04850160825839523
ddos,ddos,13,0.0481655248860543
ddos,mirai,8,0.04816152963291159
benign,reconnaissance,2,0.031772656539420116
web_application,benign,3,0.03025142704699983
mirai,mirai,4,0.029196663428506457
brute_force,benign,1,0.018770950980542468
benign,spoofing_mitm,1,0.015010646969514296
spoofing_mitm,reconnaissance,3,0.013752569089458017
brute_force,spoofing_mitm,1,0.013194685651165841
reconnaissance,spoofing_mitm,1,0.012215215572105783
spoofing_mitm,spoofing_mitm,1,0.011525792270659299
spoofing_mitm,benign,2,0.011299398383741843
brute_force,reconnaissance,1,0.009523083014045442
mirai,dos,1,0.004388599774245418
malware,spoofing_mitm,1,0.0041014574025937285
mirai,ddos,4,0.002624377538375458
