source_class,source_family,edges,total_weight,maximum_edge_weight
CommandInjection,web_application,3,0.05467884333675273,0.04570703262481837
SqlInjection,web_application,3,0.050694156277109055,0.03349396519926002
Backdoor_Malware,malware,3,0.04913765856588896,0.025342101250139665
BrowserHijacking,malware,3,0.04910298541389506,0.021315230573565137
XSS,web_application,3,0.04720962140940353,0.02621769514668027
BenignTraffic,benign,3,0.046783303508934414,0.019110046104700316
Recon-PingSweep,reconnaissance,3,0.04582113936144041,0.02862359397709107
Uploading_Attack,malware,3,0.04499709737068873,0.030008109906192886
DictionaryBruteForce,brute_force,3,0.04148871964575375,0.018770950980542468
DDoS-TCP_Flood,ddos,3,0.03782290056607835,0.03776775944524117
DoS-HTTP_Flood,dos,3,0.03598254431236491,0.03554404567846034
DDoS-UDP_Flood,ddos,3,0.033953908485221,0.033890545317850934
DDoS-HTTP_Flood,ddos,3,0.03341783867161031,0.03330561318300483
DoS-TCP_Flood,dos,3,0.0333773833660354,0.03329365938291146
DoS-SYN_Flood,dos,3,0.031609941839395334,0.021955966428596298
DDoS-SYN_Flood,ddos,3,0.02976418558882896,0.01879730859902869
DoS-UDP_Flood,dos,3,0.028652275471168328,0.01726216468881866
Recon-OSScan,reconnaissance,3,0.02856832754728425,0.015238504583708757
DDoS-SynonymousIP_Flood,ddos,3,0.026700203701356427,0.013440843168538658
DDoS-SlowLoris,ddos,4,0.023155648607692293,0.01478327540039897
MITM-ArpSpoofing,spoofing_mitm,3,0.021489201999855108,0.0092473456904618
Recon-PortScan,reconnaissance,3,0.02129652210148102,0.00824458269901093
DDoS-ACK_Fragmentation,ddos,4,0.0189428622271903,0.012859877798796071
DDoS-PSHACK_Flood,ddos,4,0.018638734946799206,0.013370038896773668
DDoS-RSTFINFlood,ddos,3,0.018408209296933063,0.011222784511773522
DDoS-UDP_Fragmentation,ddos,3,0.01795164872312956,0.008638654135675557
DDoS-ICMP_Fragmentation,ddos,3,0.016572958211292184,0.008997826523578755
DNS_Spoofing,spoofing_mitm,3,0.015088557744004052,0.011525792270659299
VulnerabilityScan,reconnaissance,3,0.015042477122362655,0.007461539994344411
Recon-HostDiscovery,reconnaissance,3,0.014918941524637807,0.0056291601224046596
Mirai-udpplain,mirai,3,0.014270622699542103,0.00772269431218148
DDoS-ICMP_Flood,ddos,3,0.012521562314285481,0.007302013164175413
Mirai-greip_flood,mirai,3,0.011167944708388078,0.01087071668995609
Mirai-greeth_flood,mirai,3,0.010771073333197151,0.010477262530518694
