tag,architecture,method,seed,condition,unit,lr_now,bn_var_max,eval_b2a,eval_a2b,eval_family_f1,eval_fine_f1,eval_awbir,eval_ece,batch_b2a,batch_a2b,batch_family_f1,batch_fine_f1,batch_awbir,batch_ece
B,shallow,fisher,307,cosine_decay,1,0.000962320368593084,0.40228718519210815,0.01825,0.044208790583954057,0.6523972827910846,0.568442399239701,0.09326457678945163,0.06893217206198145,0.041,0.030050605560925685,0.6894535329737635,0.5849267620271721,0.0678618481842779,0.04630912541625786
B,shallow,fisher,307,cosine_decay,2,0.0008550178566873383,0.3806782066822052,0.0115,0.03411610848922499,0.6326295597859284,0.5445894047692179,0.103738888505412,0.11684870597870128,0.00775,0.030770834517920433,0.6761157207722799,0.5831624786086563,0.08153920288215773,0.0748640457827139
B,shallow,fisher,307,cosine_decay,3,0.0006944282990207168,0.49426284432411194,0.0055,0.039451488789067686,0.586563437061156,0.5311890714913552,0.10646296807404282,0.09009005361918604,0.00675,0.030097989044938496,0.6677159007543866,0.5885937282093436,0.07779273444719798,0.07532609136154568
B,shallow,fisher,307,cosine_decay,4,0.0005049999999999971,1.3718279600143433,0.99925,5.6860180815374996e-05,0.19905190877230355,0.18076800683419336,0.20089680464367568,0.25758108942565994,0.00125,0.03189856143742537,0.6932793245940396,0.5942783931571894,0.08066966338686408,0.08954457276525206
B,shallow,fisher,307,cosine_decay,5,0.0003155717009792784,0.3933238983154297,0.00225,0.04220920755861337,0.6041775184970899,0.5501419726736051,0.10727945989529998,0.13437912983374323,0.0025,0.03712969807243987,0.6409674399078632,0.5789960512234094,0.08502138081454139,0.10125114490180959
B,shallow,fisher,307,cosine_decay,6,0.00015498214331265782,0.4025120437145233,0.0015,0.042569322037110745,0.6064857786565123,0.5384743374235786,0.1054627519490626,0.14311965240711802,0.0015,0.037404522279714185,0.6468883820016197,0.5728223350254098,0.08751159182333357,0.10808612601530306
B,shallow,fisher,307,cosine_decay,7,4.7679631406912874e-05,0.42499181628227234,0.001,0.03959363924110612,0.6407340088946955,0.560489970510367,0.0993823828497329,0.1352364918121856,0.00125,0.036362085631432305,0.67623485166312,0.5905250509884121,0.082274189189806,0.10392206754540577
B,shallow,fisher,307,cosine_decay,8,1e-05,1.455622911453247,1.0,3.7906787210249995e-05,0.19672816788276426,0.18919119567015064,0.2603408087383466,0.2692157925010871,0.00125,0.03761300960937056,0.6670847821981358,0.5856060481436502,0.08178609157193788,0.10666327073074483
B,shallow,saber_v2,307,cosine_decay,1,0.000962320368593084,0.4002451002597809,0.03075,0.03949887227308049,0.6508607059439444,0.5770627221606809,0.09495098064286746,0.045310510875238276,0.0245,0.028875495157407935,0.7122230011500109,0.6139025739605415,0.05659935458177828,0.023740536813772604
B,shallow,saber_v2,307,cosine_decay,2,0.0008550178566873383,0.37702393531799316,0.004,0.04189647656412881,0.6213571086413654,0.5198091767990753,0.10723972719499571,0.1384977996546038,0.00425,0.02685695873846212,0.6753094092071975,0.5910109248020796,0.07574604268264439,0.06867428886518556
B,shallow,saber_v2,307,cosine_decay,3,0.0006944282990207168,0.4843190908432007,0.00175,0.053116885578362805,0.5838713383357508,0.5284557019008637,0.11506433235074777,0.10500028641217339,0.0025,0.03280832433047137,0.674836078586289,0.5914133348400336,0.08291045801367887,0.08121636991381123
B,shallow,saber_v2,307,cosine_decay,4,0.0005049999999999971,1.3568005561828613,0.57725,0.02506586304277781,0.3114366535808657,0.25724570726489976,0.3511099701064094,0.11891751943055395,0.001,0.029055552396656623,0.6775379823842188,0.5977462507965771,0.07121016084880968,0.07740802175702023
