architecture,method,seed,unit,batch_index,loss,benign_fraction
shallow,fisher,307,1,0,1.0691243410110474,0.056640625
shallow,fisher,307,1,1,1.09168541431427,0.0498046875
shallow,fisher,307,1,2,0.9245643615722656,0.064453125
shallow,fisher,307,1,3,0.8975282311439514,0.052734375
shallow,fisher,307,1,4,0.8172026872634888,0.0625
shallow,fisher,307,1,5,1.0279858112335205,0.0537109375
shallow,fisher,307,1,6,1.0048025846481323,0.0400390625
shallow,fisher,307,1,7,0.8677006959915161,0.068359375
shallow,fisher,307,1,8,0.8204652070999146,0.0478515625
shallow,fisher,307,1,9,0.9330565929412842,0.0595703125
shallow,fisher,307,1,10,0.9475895762443542,0.048828125
shallow,fisher,307,1,11,0.8925217390060425,0.05859375
shallow,fisher,307,1,12,0.8244480490684509,0.0380859375
shallow,fisher,307,1,13,0.8135040402412415,0.05859375
shallow,fisher,307,1,14,0.7879117727279663,0.0615234375
shallow,fisher,307,1,15,0.9405650496482849,0.0439453125
shallow,fisher,307,1,16,0.8417296409606934,0.0546875
shallow,fisher,307,1,17,0.8956510424613953,0.046875
shallow,fisher,307,1,18,0.7494185566902161,0.041015625
shallow,fisher,307,1,19,0.8277044296264648,0.056640625
shallow,fisher,307,1,20,0.8757883310317993,0.0458984375
shallow,fisher,307,1,21,0.7843888998031616,0.052734375
shallow,fisher,307,1,22,0.7710696458816528,0.0693359375
shallow,fisher,307,1,23,0.8215686678886414,0.0537109375
shallow,fisher,307,1,24,0.872564435005188,0.0673828125
shallow,fisher,307,1,25,0.8628962635993958,0.0537109375
shallow,fisher,307,1,26,0.8443254232406616,0.04296875
shallow,fisher,307,1,27,0.7895726561546326,0.0673828125
shallow,fisher,307,1,28,0.8285580277442932,0.0576171875
shallow,fisher,307,1,29,0.8048979043960571,0.0595703125
shallow,fisher,307,1,30,0.8146086931228638,0.048828125
shallow,fisher,307,1,31,0.8202127814292908,0.046875
shallow,fisher,307,1,32,0.8252602219581604,0.0439453125
shallow,fisher,307,1,33,0.8068182468414307,0.052734375
shallow,fisher,307,1,34,0.9015175104141235,0.0537109375
