architecture,method,seed,unit,eval_family_f1,eval_b2a,eval_awbir,batch_family_f1,batch_b2a,batch_awbir,max_batch_loss,mean_batch_loss,final_batch_benign_fraction,bn_mean_absmax,bn_mean_l2,bn_var_max,bn_var_min,bn_var_l2
shallow,fisher,307,0,0.5114794765612651,0.628,0.13486013260172358,0.4981680707754099,0.36925,0.21002700658926815,,,,0.6532439589500427,2.1173317432403564,0.3842179477214813,2.1853213183931075e-05,1.2900645732879639
shallow,fisher,307,1,0.6454388367511256,0.04,0.10099261317686299,0.6849515298855113,0.04525,0.06607794402243362,2.157991886138916,0.7153488582823856,0.05678233504295349,0.6514512896537781,2.143064498901367,0.3974641263484955,4.172053741058335e-05,1.3291741609573364
shallow,fisher,307,2,0.6070874733918371,0.01825,0.1081437655594388,0.6578167706398624,0.006,0.08358871631778522,1.773277997970581,0.6117821741864026,0.04731861129403114,0.6551697254180908,2.150920867919922,0.377566933631897,3.0196868465282023e-05,1.254064917564392
shallow,fisher,307,3,0.6001541414836729,0.009,0.10712972933151316,0.6473418812997598,0.00275,0.08821952131928279,1.5421385765075684,0.5784854047089459,0.05678233504295349,0.655722439289093,2.1537604331970215,0.48690199851989746,3.265458872192539e-05,1.631598949432373
shallow,fisher,307,4,0.2138778194717133,1.0,0.1859999749486075,0.6796881281203705,0.003,0.07842583317166484,1.6565667390823364,0.5675828771524696,0.07570978254079819,0.6540508270263672,2.157358407974243,1.4113870859146118,5.9845955547643825e-05,4.756771564483643
shallow,fisher,307,5,0.6080062608615625,0.0025,0.10955892636932933,0.6428425946681996,0.001,0.08124976970849268,1.4618735313415527,0.5632316508141172,0.04416403919458389,0.6507790088653564,2.1624584197998047,0.3891841471195221,3.6888708564219996e-05,1.304304599761963
shallow,fisher,307,6,0.6026852876232113,0.00025,0.10800469349538126,0.6581615596525432,0.0005,0.09183189777659585,1.3692182302474976,0.5487604643481662,0.05362776294350624,0.6571517586708069,2.170231580734253,0.39980757236480713,6.801719428040087e-05,1.327365517616272
shallow,fisher,307,7,0.5872587510079694,0.00025,0.10886187049069039,0.6686183303161033,0.00075,0.08218823276557485,1.2529116868972778,0.5430428489033444,0.06940063089132309,0.650057852268219,2.1727428436279297,0.4238100051879883,3.548566746758297e-05,1.3992153406143188
shallow,fisher,307,8,0.2025110076636876,1.0,0.2676254752110874,0.643393689610094,0.00275,0.09018959687917195,1.3191759586334229,0.5358979316109205,0.04731861129403114,0.6489229202270508,2.1758649349212646,1.5333285331726074,2.9176640964578837e-05,5.108053207397461
shallow,saber_v2,307,0,0.46411956626980516,0.89725,0.11000644070767861,0.4777388885473631,0.72475,0.11584634224884653,,,,0.6532439589500427,2.11625599861145,0.3842179477214813,2.1853213183931075e-05,1.2967572212219238
shallow,saber_v2,307,1,0.6763347498361544,0.02975,0.08880110037508238,0.7177037248301626,0.03725,0.049198922891056436,2.33413028717041,0.6901835597368825,0.05678233504295349,0.6547913551330566,2.138561964035034,0.4042663872241974,3.5028409911319613e-05,1.3499904870986938
shallow,saber_v2,307,2,0.6275738594879292,0.00925,0.09792193294859652,0.6874663351335646,0.007,0.0802032565693158,1.774075984954834,0.5951233843408258,0.04731861129403114,0.6519866585731506,2.1438658237457275,0.38080665469169617,3.214756361558102e-05,1.2719597816467285
shallow,saber_v2,307,3,0.5848467702362941,0.00475,0.1266232443989293,0.6524167913528482,0.003,0.0809002453282894,1.6184782981872559,0.5711413126780217,0.05678233504295349,0.6542143821716309,2.150405168533325,0.48668479919433594,3.7248770240694284e-05,1.6679426431655884
shallow,saber_v2,307,4,0.3217670444404519,0.41675,0.34554769959245424,0.6514235996311459,0.001,0.08033049462921295,1.5051287412643433,0.5547820792730112,0.07570978254079819,0.6522374153137207,2.149296522140503,1.3661071062088013,4.573293699650094e-05,4.873501777648926
shallow,saber_v2,307,5,0.5985795584965259,0.00125,0.10162440163693605,0.6544487703422194,0.0015,0.0768397380187214,1.375257968902588,0.5501431612616992,0.04416403919458389,0.6552677750587463,2.1427767276763916,0.38900113105773926,7.406104850815609e-05,1.3055610656738281
shallow,saber_v2,307,6,0.6208629465070404,0.001,0.09713931396233084,0.6883125474456365,0.00075,0.07769688177046118,1.3579864501953125,0.5412160792198789,0.05362776294350624,0.652743935585022,2.1541378498077393,0.39777329564094543,2.737157956289593e-05,1.3376107215881348
shallow,saber_v2,307,7,0.5708212235502931,0.0005,0.11256212540770605,0.6747650682854754,0.001,0.07836309291810842,1.2327150106430054,0.5325832172219022,0.06940063089132309,0.6487645506858826,2.1519429683685303,0.4265635311603546,2.6079555027536117e-05,1.4072232246398926
shallow,saber_v2,307,8,0.24581850427176788,0.81675,0.28041420849377496,0.6532020863103392,0.00075,0.08807155447548794,1.246604561805725,0.526821001473651,0.04731861129403114,0.6454026699066162,2.154153347015381,1.4577714204788208,3.206907422281802e-05,5.187692165374756
deep,fisher,401,0,0.4746219927171988,0.5855,0.12933217778751332,0.48707077179920066,0.4415,0.2722771113211251,,,,1.51461660861969,8.438651084899902,6.158958435058594,0.006947793532162905,21.735332489013672
deep,fisher,401,1,0.5682311257968797,0.0,0.13952883466858657,0.5748889321575913,0.0,0.10692296522356837,1.2139908075332642,0.49006197699512616,0.05362776294350624,1.9419406652450562,8.406414985656738,5.160311698913574,0.007174840196967125,19.492610931396484
deep,fisher,401,2,0.41109279259547366,0.41,0.13935997055880234,0.5948390114079793,0.0,0.04733733581581334,0.886965274810791,0.44988059273279046,0.05362776294350624,1.9149396419525146,8.063457489013672,6.238556385040283,0.01614711806178093,19.69305992126465
deep,fisher,401,3,0.5870616557488214,0.0,0.06708661925570665,0.5855928846603632,0.0,0.07357006509802326,0.8988604545593262,0.44182010618339024,0.06624605506658554,1.9220536947250366,8.3551607131958,5.278719902038574,0.007253225427120924,20.09069061279297
