module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,8,56,"0,2,3,4,5,6,7,9,10,12,14,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,55,56,57,58,59,60,61,62",conv.2,conv.3,conv_in
conv.3,64,8,128,51,77,"0,1,3,4,5,8,9,14,16,17,18,19,20,21,23,24,28,32,33,34,37,38,40,42,43,45,46,51,52,53,54,56,57,61,62,63,65,66,67,68,69,71,72,74,77,78,79,81,82,85,86,87,90,91,93,94,95,97,99,100,104,105,107,108,109,110,111,113,114,115,116,117,118,119,122,124,126",conv.5,conv.7,conv_in
conv.7,128,51,128,126,2,"27,53",conv.9,conv.10,conv_in
conv.10,128,126,256,256,0,,conv.12,head,linear_in
