module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,61,3,"7,18,39",conv.2,conv.3,conv_in
conv.3,64,61,128,118,10,"1,24,38,51,71,77,108,109,118,126",conv.5,conv.7,conv_in
conv.7,128,118,128,90,38,"11,12,14,18,19,21,23,25,26,33,38,39,40,43,48,51,53,56,57,62,74,75,76,81,83,86,88,89,92,93,95,109,111,117,119,120,126,127",conv.9,conv.10,conv_in
conv.10,128,90,256,155,101,"2,4,5,6,7,10,14,24,29,32,34,35,39,40,42,44,47,48,49,50,52,54,56,57,61,64,65,66,68,70,72,75,79,81,84,86,87,90,92,97,99,102,103,106,107,108,111,115,117,119,121,123,124,125,127,132,135,137,139,143,145,148,149,156,158,159,162,163,170,171,173,174,179,182,183,186,188,191,196,197,201,210,214,215,216,217,218,221,222,223,234,235,240,241,242,244,245,246,248,250,252",conv.12,head,linear_in
