module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,64,0,,conv.2,conv.3,conv_in
conv.3,64,64,128,126,2,"108,109",conv.5,conv.7,conv_in
conv.7,128,126,128,116,12,"11,19,26,27,47,48,53,86,89,119,120,126",conv.9,conv.10,conv_in
conv.10,128,116,256,72,184,"0,1,2,3,4,5,6,9,10,12,13,14,15,18,22,23,24,25,26,28,29,30,31,32,33,34,35,37,41,42,43,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,63,67,68,70,72,75,76,77,79,80,81,82,83,84,86,87,89,90,92,93,95,96,97,98,99,102,105,106,107,108,110,111,112,113,114,115,116,117,118,119,120,121,123,124,125,127,129,130,131,133,137,138,139,140,141,142,143,144,145,148,149,150,153,156,157,158,159,161,162,163,164,165,166,167,168,171,172,173,174,176,177,178,179,180,182,183,186,188,191,192,193,195,196,197,198,199,200,202,203,205,206,207,208,209,210,212,213,214,215,216,217,219,222,223,227,228,229,230,231,234,235,236,237,238,239,240,241,242,244,245,246,248,249,250,252,253,254",conv.12,head,linear_in
