module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,51,13,"2,9,16,18,28,31,36,39,48,52,54,55,61",conv.2,conv.3,conv_in
conv.3,64,51,128,107,21,"6,11,21,23,27,29,32,43,47,51,62,63,76,79,85,90,92,104,112,118,120",conv.5,conv.7,conv_in
conv.7,128,107,128,91,37,"2,6,18,24,25,28,30,32,35,36,37,38,47,48,50,55,59,62,64,65,71,73,74,78,83,86,87,89,92,98,99,100,106,107,117,126,127",conv.9,conv.10,conv_in
conv.10,128,91,256,204,52,"1,3,5,7,8,9,17,20,22,34,39,41,46,52,56,64,69,91,93,94,99,109,117,118,120,123,130,132,138,139,157,163,166,167,172,177,181,182,184,189,202,213,218,229,232,238,239,240,241,242,245,249",conv.12,head,linear_in
