module_path,old_in_channels,new_in_channels,old_out_channels,new_out_channels,removed,removed_indices,batchnorm_path,downstream_path,downstream_kind
conv.0,1,1,64,63,1,39,conv.2,conv.3,conv_in
conv.3,64,63,128,112,16,"1,9,16,24,32,51,71,76,105,108,109,117,118,119,124,126",conv.5,conv.7,conv_in
conv.7,128,112,128,101,27,"4,11,14,18,19,21,25,26,33,48,51,53,56,57,59,62,74,76,86,88,89,93,95,103,111,117,127",conv.9,conv.10,conv_in
conv.10,128,101,256,135,121,"2,4,5,6,7,8,10,13,14,22,29,30,32,34,35,39,40,42,43,44,45,47,48,49,51,52,53,56,64,65,66,67,68,70,72,74,75,81,84,86,87,92,94,97,99,100,101,102,103,105,106,107,108,111,114,117,119,121,123,124,125,127,132,133,135,137,138,139,140,141,143,145,147,148,149,151,155,156,158,159,161,162,163,164,167,170,173,174,175,179,182,183,186,188,191,196,197,201,208,210,214,215,216,217,218,221,222,223,229,230,235,238,240,242,244,245,246,248,250,253,254",conv.12,head,linear_in
