module_path,channel_index,group_id
conv.10,56,conv.10:out:56
conv.10,47,conv.10:out:47
conv.10,182,conv.10:out:182
conv.10,124,conv.10:out:124
conv.10,163,conv.10:out:163
conv.10,217,conv.10:out:217
conv.10,222,conv.10:out:222
conv.10,114,conv.10:out:114
conv.10,214,conv.10:out:214
conv.10,183,conv.10:out:183
conv.10,44,conv.10:out:44
conv.10,121,conv.10:out:121
conv.10,248,conv.10:out:248
conv.10,111,conv.10:out:111
conv.10,223,conv.10:out:223
conv.7,89,conv.7:out:89
conv.10,241,conv.10:out:241
conv.10,102,conv.10:out:102
conv.10,24,conv.10:out:24
conv.10,90,conv.10:out:90
conv.10,86,conv.10:out:86
conv.10,70,conv.10:out:70
conv.10,191,conv.10:out:191
conv.10,234,conv.10:out:234
conv.10,54,conv.10:out:54
conv.10,32,conv.10:out:32
conv.10,158,conv.10:out:158
conv.10,245,conv.10:out:245
conv.10,29,conv.10:out:29
conv.10,115,conv.10:out:115
conv.10,42,conv.10:out:42
conv.7,53,conv.7:out:53
conv.10,143,conv.10:out:143
conv.10,48,conv.10:out:48
conv.10,97,conv.10:out:97
conv.10,4,conv.10:out:4
conv.10,75,conv.10:out:75
conv.10,118,conv.10:out:118
conv.10,107,conv.10:out:107
conv.10,186,conv.10:out:186
conv.10,229,conv.10:out:229
conv.10,193,conv.10:out:193
conv.10,61,conv.10:out:61
conv.10,68,conv.10:out:68
conv.10,171,conv.10:out:171
conv.10,216,conv.10:out:216
conv.10,37,conv.10:out:37
conv.7,27,conv.7:out:27
conv.10,112,conv.10:out:112
conv.10,57,conv.10:out:57
conv.10,252,conv.10:out:252
conv.10,99,conv.10:out:99
conv.10,119,conv.10:out:119
conv.10,26,conv.10:out:26
conv.10,212,conv.10:out:212
conv.10,178,conv.10:out:178
conv.10,87,conv.10:out:87
conv.10,2,conv.10:out:2
conv.10,208,conv.10:out:208
conv.10,35,conv.10:out:35
conv.10,197,conv.10:out:197
conv.10,242,conv.10:out:242
conv.10,164,conv.10:out:164
conv.7,11,conv.7:out:11
conv.10,0,conv.10:out:0
conv.10,49,conv.10:out:49
conv.10,145,conv.10:out:145
conv.10,177,conv.10:out:177
conv.10,127,conv.10:out:127
conv.10,179,conv.10:out:179
conv.10,173,conv.10:out:173
conv.10,253,conv.10:out:253
conv.10,41,conv.10:out:41
conv.10,96,conv.10:out:96
conv.10,33,conv.10:out:33
conv.10,1,conv.10:out:1
conv.10,6,conv.10:out:6
conv.10,117,conv.10:out:117
conv.10,46,conv.10:out:46
conv.7,19,conv.7:out:19
conv.10,254,conv.10:out:254
conv.10,205,conv.10:out:205
conv.10,244,conv.10:out:244
conv.10,50,conv.10:out:50
conv.10,130,conv.10:out:130
conv.10,172,conv.10:out:172
conv.10,13,conv.10:out:13
conv.10,79,conv.10:out:79
conv.10,148,conv.10:out:148
conv.10,249,conv.10:out:249
conv.3,108,conv.3:out:108
conv.10,12,conv.10:out:12
conv.10,77,conv.10:out:77
conv.10,106,conv.10:out:106
conv.10,203,conv.10:out:203
conv.10,231,conv.10:out:231
conv.7,26,conv.7:out:26
conv.10,165,conv.10:out:165
conv.10,192,conv.10:out:192
conv.10,80,conv.10:out:80
conv.10,133,conv.10:out:133
conv.10,30,conv.10:out:30
conv.10,168,conv.10:out:168
conv.10,238,conv.10:out:238
conv.10,137,conv.10:out:137
conv.10,161,conv.10:out:161
conv.10,108,conv.10:out:108
conv.10,196,conv.10:out:196
conv.10,72,conv.10:out:72
conv.10,76,conv.10:out:76
conv.10,144,conv.10:out:144
conv.10,59,conv.10:out:59
conv.7,48,conv.7:out:48
conv.10,51,conv.10:out:51
conv.10,10,conv.10:out:10
conv.10,58,conv.10:out:58
conv.10,207,conv.10:out:207
conv.10,81,conv.10:out:81
conv.10,83,conv.10:out:83
conv.10,43,conv.10:out:43
conv.10,82,conv.10:out:82
conv.10,138,conv.10:out:138
conv.10,180,conv.10:out:180
conv.10,95,conv.10:out:95
conv.10,92,conv.10:out:92
conv.10,34,conv.10:out:34
conv.10,149,conv.10:out:149
conv.10,174,conv.10:out:174
conv.7,47,conv.7:out:47
conv.10,25,conv.10:out:25
conv.10,125,conv.10:out:125
conv.10,188,conv.10:out:188
conv.10,246,conv.10:out:246
