module_path,channel_index,group_id
conv.0,39,conv.0:out:39
conv.0,52,conv.0:out:52
conv.0,23,conv.0:out:23
conv.0,29,conv.0:out:29
conv.0,61,conv.0:out:61
conv.0,40,conv.0:out:40
conv.0,31,conv.0:out:31
conv.0,60,conv.0:out:60
conv.0,45,conv.0:out:45
conv.0,46,conv.0:out:46
conv.0,14,conv.0:out:14
conv.0,19,conv.0:out:19
conv.0,49,conv.0:out:49
conv.0,36,conv.0:out:36
conv.0,27,conv.0:out:27
conv.0,28,conv.0:out:28
conv.0,48,conv.0:out:48
conv.0,25,conv.0:out:25
conv.0,12,conv.0:out:12
conv.0,16,conv.0:out:16
conv.0,30,conv.0:out:30
conv.0,21,conv.0:out:21
conv.0,10,conv.0:out:10
conv.0,50,conv.0:out:50
conv.0,53,conv.0:out:53
conv.0,38,conv.0:out:38
conv.0,17,conv.0:out:17
conv.0,42,conv.0:out:42
conv.0,2,conv.0:out:2
conv.0,9,conv.0:out:9
conv.0,35,conv.0:out:35
conv.0,56,conv.0:out:56
conv.0,44,conv.0:out:44
conv.0,5,conv.0:out:5
conv.0,0,conv.0:out:0
conv.0,37,conv.0:out:37
conv.0,34,conv.0:out:34
conv.0,55,conv.0:out:55
conv.0,32,conv.0:out:32
conv.0,59,conv.0:out:59
conv.0,3,conv.0:out:3
conv.0,33,conv.0:out:33
conv.0,4,conv.0:out:4
conv.0,51,conv.0:out:51
conv.0,26,conv.0:out:26
conv.0,22,conv.0:out:22
conv.0,47,conv.0:out:47
conv.0,43,conv.0:out:43
conv.0,20,conv.0:out:20
conv.0,7,conv.0:out:7
conv.0,58,conv.0:out:58
conv.0,18,conv.0:out:18
conv.0,62,conv.0:out:62
conv.0,6,conv.0:out:6
conv.0,41,conv.0:out:41
conv.0,57,conv.0:out:57
conv.7,53,conv.7:out:53
conv.3,110,conv.3:out:110
conv.3,71,conv.3:out:71
conv.3,46,conv.3:out:46
conv.3,40,conv.3:out:40
conv.3,108,conv.3:out:108
conv.3,114,conv.3:out:114
conv.3,79,conv.3:out:79
conv.3,52,conv.3:out:52
conv.3,63,conv.3:out:63
conv.3,118,conv.3:out:118
conv.3,113,conv.3:out:113
conv.3,8,conv.3:out:8
conv.3,65,conv.3:out:65
conv.3,97,conv.3:out:97
conv.3,124,conv.3:out:124
conv.3,78,conv.3:out:78
conv.3,51,conv.3:out:51
conv.3,119,conv.3:out:119
conv.3,16,conv.3:out:16
conv.3,33,conv.3:out:33
conv.3,117,conv.3:out:117
conv.3,122,conv.3:out:122
conv.3,17,conv.3:out:17
conv.3,91,conv.3:out:91
conv.3,1,conv.3:out:1
conv.3,69,conv.3:out:69
conv.3,34,conv.3:out:34
conv.3,42,conv.3:out:42
conv.3,56,conv.3:out:56
conv.3,86,conv.3:out:86
conv.3,57,conv.3:out:57
conv.3,109,conv.3:out:109
conv.3,81,conv.3:out:81
conv.3,20,conv.3:out:20
conv.3,66,conv.3:out:66
conv.3,77,conv.3:out:77
conv.3,126,conv.3:out:126
conv.3,0,conv.3:out:0
conv.3,111,conv.3:out:111
conv.3,23,conv.3:out:23
conv.3,68,conv.3:out:68
conv.3,21,conv.3:out:21
conv.3,107,conv.3:out:107
conv.3,45,conv.3:out:45
conv.3,43,conv.3:out:43
conv.3,67,conv.3:out:67
conv.3,104,conv.3:out:104
conv.3,95,conv.3:out:95
conv.3,28,conv.3:out:28
conv.3,85,conv.3:out:85
conv.3,99,conv.3:out:99
conv.3,87,conv.3:out:87
conv.3,62,conv.3:out:62
conv.3,53,conv.3:out:53
conv.3,37,conv.3:out:37
conv.3,116,conv.3:out:116
conv.3,14,conv.3:out:14
conv.3,74,conv.3:out:74
conv.3,100,conv.3:out:100
conv.3,3,conv.3:out:3
conv.3,115,conv.3:out:115
conv.3,82,conv.3:out:82
conv.3,9,conv.3:out:9
conv.3,32,conv.3:out:32
conv.3,24,conv.3:out:24
conv.3,5,conv.3:out:5
conv.7,27,conv.7:out:27
conv.3,94,conv.3:out:94
conv.3,54,conv.3:out:54
conv.3,61,conv.3:out:61
conv.3,105,conv.3:out:105
conv.3,90,conv.3:out:90
conv.3,38,conv.3:out:38
conv.3,93,conv.3:out:93
conv.3,18,conv.3:out:18
conv.3,19,conv.3:out:19
conv.3,72,conv.3:out:72
conv.3,4,conv.3:out:4
