architecture,method,score_column,regime,target_flops,realised_flops,prefix_length,parameters,checkpoint,checkpoint_sha256,removed_groups,pre_n,pre_fine_accuracy,pre_fine_macro_f1,pre_binary_accuracy,pre_binary_balanced_accuracy,pre_binary_attack_recall,pre_binary_attack_f1,pre_family_accuracy,pre_family_macro_f1,pre_exact_attack_type_rate,pre_attack_to_benign_rate,pre_benign_to_attack_rate,pre_same_family_attack_substitution_rate,pre_cross_family_attack_substitution_rate,pre_ece15,pre_nll,pre_brier,pre_hsr_miss_sensitive,pre_hsr_balanced_soc,pre_hsr_alert_fatigue,pre_awbir,post_n,post_fine_accuracy,post_fine_macro_f1,post_binary_accuracy,post_binary_balanced_accuracy,post_binary_attack_recall,post_binary_attack_f1,post_family_accuracy,post_family_macro_f1,post_exact_attack_type_rate,post_attack_to_benign_rate,post_benign_to_attack_rate,post_same_family_attack_substitution_rate,post_cross_family_attack_substitution_rate,post_ece15,post_nll,post_brier,post_hsr_miss_sensitive,post_hsr_balanced_soc,post_hsr_alert_fatigue,post_awbir,archive_awbir_difference,archive_macro_f1_difference,archive_family_f1_difference
DeepCNN1D-4block,random,random,minimal,0.4,0.4003793308957364,123,109756,results/saber/20b_depth_checkpoint_freeze/random_minimal_r40_checkpoint.pt,37526b36dc7189481927963e86f5acce6d39bc3c5f73713ff427cb058885aa62,results/saber/20b_depth_checkpoint_freeze/random_minimal_r40_removed_groups.csv,549253.0,0.3730721543623794,0.2781867459135135,0.944879682040881,0.5002439997158725,0.9992855946221256,0.9716568413503982,0.4910469310135766,0.2565416081135153,0.3945115951266384,0.0007144053778742,0.9987975951903808,0.1247763872654834,0.4799976122300038,0.2597374883291793,5.894036621267025,0.9189236963222212,0.2608655149205678,0.3292369818644595,0.3054965562318276,0.2054003074722509,549253.0,0.6601802812183092,0.4906731140738401,0.9199130455363922,0.9575534689662276,0.9153073387340582,0.9557753983813402,0.7967384793528666,0.5542742879194126,0.640600177542253,0.0846926612659417,0.0002004008016032,0.1444312004513655,0.1302759607404397,0.2401017421329265,1.6641732081704737,0.541221539234254,0.1644257442987718,0.1812989642295991,0.1529706710750783,0.1394191235226118,8.326672684688674e-17,0.0,0.0
DeepCNN1D-4block,random,random,standard,0.4,0.4003793308957364,123,109756,results/saber/20b_depth_checkpoint_freeze/random_standard_r40_checkpoint.pt,a84806278e4896a14874587742f4a4039310eaf383bcab8d78218d3c73c76af0,results/saber/20b_depth_checkpoint_freeze/random_standard_r40_removed_groups.csv,549253.0,0.3730721543623794,0.2781867459135135,0.944879682040881,0.5002439997158725,0.9992855946221256,0.9716568413503982,0.4910469310135766,0.2565416081135153,0.3945115951266384,0.0007144053778742,0.9987975951903808,0.1247763872654834,0.4799976122300038,0.2597374883291793,5.894036621267025,0.9189236963222212,0.2608655149205678,0.3292369818644595,0.3054965562318276,0.2054003074722509,549253.0,0.6423196596104164,0.4635655541262316,0.9190973922764192,0.9571693416391064,0.9144388836790144,0.9553045878277524,0.7935778229704707,0.5421666821977851,0.6217040590164313,0.0855611163209856,0.0001002004008016,0.159978664119712,0.132756160542871,0.2817531891407239,2.0880460016334226,0.5946009811676463,0.1688679897970516,0.186463797193643,0.1577345958966086,0.2197309854246895,0.1286210377754156,-0.0408500112910591,0.031914843926703
DeepCNN1D-4block,magnitude,magnitude,minimal,0.4,0.400804165391492,135,127355,results/saber/20b_depth_checkpoint_freeze/magnitude_minimal_r40_checkpoint.pt,35e4b5acc3e13c180e4908b6478218fda8d72dd7f23bbeafa50818182c12fe14,results/saber/20b_depth_checkpoint_freeze/magnitude_minimal_r40_removed_groups.csv,549253.0,0.029538300200454,0.0016877013858728,0.9454896013312628,0.5,1.0,0.9719811410806632,0.4042818154839391,0.0639760498571398,0.031241274530004,0.0,1.0,0.3963486375268865,0.5724100879431094,0.9704616997734128,26.81484771936112,1.9409233995468265,0.3466887451380936,0.4323796137663335,0.4000629946490961,0.3655040985205352,549253.0,0.6952351648511705,0.5286356372595078,0.9326667309964624,0.96322782296519,0.9289272558168196,0.9630831181354196,0.8280027601123708,0.5988862500986334,0.6778070258206516,0.0710727441831804,0.0024716098864395,0.1404220576030255,0.1106981723931424,0.1684882756559315,1.014673236511883,0.4302289883893881,0.1416921406589192,0.1566312792101272,0.1327790653851686,0.0963499169041643,6.938893903907227e-17,0.0,0.0
DeepCNN1D-4block,magnitude,magnitude,standard,0.4,0.400804165391492,135,127355,results/saber/20b_depth_checkpoint_freeze/magnitude_standard_r40_checkpoint.pt,6b5c0f37956421c8c5f7f4a492fbbe2fdc3f043dc5787ee68171f12159ae9e73,results/saber/20b_depth_checkpoint_freeze/magnitude_standard_r40_removed_groups.csv,549253.0,0.029538300200454,0.0016877013858728,0.9454896013312628,0.5,1.0,0.9719811410806632,0.4042818154839391,0.0639760498571398,0.031241274530004,0.0,1.0,0.3963486375268865,0.5724100879431094,0.9704616997734128,26.81484771936112,1.9409233995468265,0.3466887451380936,0.4323796137663335,0.4000629946490961,0.3655040985205352,549253.0,0.6480292324302279,0.500408250531322,0.9159986381503604,0.9555463754545322,0.9111595511762656,0.9535129754194492,0.795893695619323,0.5922130411732142,0.6277408807405168,0.0888404488237344,6.68002672010688e-05,0.1563893066416592,0.1270293637940895,0.2654086658834453,1.945993830419863,0.5744417181999033,0.1686951793314435,0.1856357634824024,0.1568271816448886,0.0903057574856701,0.025654471965704,-0.0699364064687809,-0.0802157411818909
DeepCNN1D-4block,taylor,taylor,minimal,0.4,0.4029346298503616,152,102063,results/saber/20b_depth_checkpoint_freeze/taylor_minimal_r40_checkpoint.pt,7a81d581805ce9e8847a7a0c795e943bfb537eeadf54beab251fc6e3684666e8,results/saber/20b_depth_checkpoint_freeze/taylor_minimal_r40_removed_groups.csv,549253.0,0.6730523092272596,0.4862858024717154,0.9524536051692024,0.8822267135669726,0.9610466135066904,0.9745041165381052,0.761397752948095,0.5334988901557627,0.6655369690340893,0.0389533864933094,0.1965931863727455,0.0934388316872483,0.2020708127853529,0.1018815103310252,1.982320323910532,0.4879868150874423,0.1497612818379387,0.1755624457217348,0.1533774053123059,0.1316393910849648,549253.0,0.6785725339688632,0.5527634518359201,0.9228934571135706,0.9592082760073593,0.918449952148319,0.9574907380176396,0.8090588490185762,0.6282428069184083,0.6600431724220268,0.0815500478516809,3.34001336005344e-05,0.1380092545343559,0.1203975251919362,0.209928449649397,1.2474162224529215,0.4972399254363336,0.1557702006179301,0.1715038424915294,0.1447001654975029,0.0340670570227058,6.938893903907227e-17,0.0,0.0
DeepCNN1D-4block,taylor,taylor,standard,0.4,0.4029346298503616,152,102063,results/saber/20b_depth_checkpoint_freeze/taylor_standard_r40_checkpoint.pt,4450bbae064fab3a86b24cd49e3403eebd180f6de107a74dd3ca07cbe464f7bd,results/saber/20b_depth_checkpoint_freeze/taylor_standard_r40_removed_groups.csv,549253.0,0.6730523092272596,0.4862858024717154,0.9524536051692024,0.8822267135669726,0.9610466135066904,0.9745041165381052,0.761397752948095,0.5334988901557627,0.6655369690340893,0.0389533864933094,0.1965931863727455,0.0934388316872483,0.2020708127853529,0.1018815103310252,1.982320323910532,0.4879868150874423,0.1497612818379387,0.1755624457217348,0.1533774053123059,0.1316393910849648,549253.0,0.6426892524938417,0.4578266053791966,0.9169563024689896,0.9560528137682276,0.912172427803656,0.9540672978737544,0.7502990425177468,0.4578323069921375,0.6220930344512847,0.087827572196344,6.68002672010688e-05,0.1138138271138985,0.1762655662384727,0.2779401222332557,2.160184202190901,0.5995386765151735,0.1843045615287186,0.2045585549828585,0.1712862742670499,0.3395493678908935,0.2789574584223723,-0.0963183079006861,-0.0997031718181168
DeepCNN1D-4block,fisher,fisher,minimal,0.4,0.401746704009149,165,102055,results/saber/20b_depth_checkpoint_freeze/fisher_minimal_r40_checkpoint.pt,35f3e162d9cb3fb92dbd39a95f9c02716eca222ff70151d4499c32a639de48a5,results/saber/20b_depth_checkpoint_freeze/fisher_minimal_r40_removed_groups.csv,549253.0,0.6139101652608179,0.430018567073451,0.9572910844364984,0.6989436411597176,0.9889026463808916,0.9776709139333574,0.7355572022364921,0.4717407384570629,0.6257247555905591,0.0110973536191083,0.5910153640614563,0.1286603647511231,0.2345175260392095,0.1242630698897902,1.884758728735608,0.5201731106841118,0.149688000490363,0.1871920590329047,0.175806777568807,0.1323905427857575,549253.0,0.6823431096416406,0.5062553631588194,0.9287377583736456,0.9622988976555752,0.924631195444751,0.9608389103610152,0.8190014437790963,0.5661093558864159,0.664031133439756,0.0753688045552489,3.34001336005344e-05,0.1445371096044196,0.1160629524005753,0.2067314369895174,1.123877130609836,0.4799900455317078,0.1489054224555897,0.1644349689487358,0.1392099815567689,0.1799054237439119,0.0,0.0,0.0
DeepCNN1D-4block,fisher,fisher,standard,0.4,0.401746704009149,165,102055,results/saber/20b_depth_checkpoint_freeze/fisher_standard_r40_checkpoint.pt,6539c2a1d3945aa583f769e1e23468ae8842f7cefc96e01f10d62100d38414f9,results/saber/20b_depth_checkpoint_freeze/fisher_standard_r40_removed_groups.csv,549253.0,0.6139101652608179,0.430018567073451,0.9572910844364984,0.6989436411597176,0.9889026463808916,0.9776709139333574,0.7355572022364921,0.4717407384570629,0.6257247555905591,0.0110973536191083,0.5910153640614563,0.1286603647511231,0.2345175260392095,0.1242630698897902,1.884758728735608,0.5201731106841118,0.149688000490363,0.1871920590329047,0.175806777568807,0.1323905427857575,549253.0,0.6556723404332794,0.5740561079731785,0.918339999963587,0.9568160242474192,0.9136320484948384,0.9548670019541666,0.7997097876570542,0.6401470755119729,0.6358207863080647,0.0863679515051616,0.0,0.1523416513740268,0.1254696108127468,0.2610150955426319,1.9649964333407552,0.566473118918586,0.1649813473936419,0.1816456168650876,0.1534505956271517,0.0468078364606629,-0.1450857376049932,0.0842989641971454,0.0775143628673663
DeepCNN1D-4block,saber_v2,v_c,minimal,0.4,0.4009350385773883,198,96904,results/saber/20b_depth_checkpoint_freeze/saber_v2_minimal_r40_checkpoint.pt,59f2c88a8e5677897f5f7dc4e05a875566e1916636651f12a7171628ff0cd423,results/saber/20b_depth_checkpoint_freeze/saber_v2_minimal_r40_removed_groups.csv,549253.0,0.6183798722992865,0.4636231893714591,0.892747058277333,0.9426208325322294,0.8866444706756812,0.9398765667722324,0.7161617688023552,0.5009349316387742,0.5964591681702557,0.1133555293243188,0.0014028056112224,0.1034193251468767,0.1867659773585487,0.1875624288002815,2.3241968693952466,0.6230465869968719,0.2117852185908254,0.2327299077110184,0.1936666709148607,0.099107670432561,549253.0,0.668653607718119,0.4973566596294221,0.9163299972872246,0.9557373442186308,0.911508088570862,0.9537047483962476,0.7962195927923926,0.5576641456682077,0.649552389406774,0.0884919114291381,3.34001336005344e-05,0.1349205585071045,0.1270351406569833,0.2131037272862485,1.2423998203559277,0.5072924292725239,0.1649848369816217,0.18124871416269,0.1525047655634106,0.1150555797181287,8.326672684688674e-17,5.551115123125783e-17,0.0
DeepCNN1D-4block,saber_v2,v_c,standard,0.4,0.4009350385773883,198,96904,results/saber/20b_depth_checkpoint_freeze/saber_v2_standard_r40_checkpoint.pt,4a15b402767717c00320b697d3e8b7c402d8bc958fa79f5d23e31b0ece36f7fe,results/saber/20b_depth_checkpoint_freeze/saber_v2_standard_r40_removed_groups.csv,549253.0,0.6183798722992865,0.4636231893714591,0.892747058277333,0.9426208325322294,0.8866444706756812,0.9398765667722323,0.7161617688023552,0.5009349316387742,0.5964591681702557,0.11335552932431886,0.0014028056112224449,0.10341932514687674,0.1867659773585487,0.1875624288002815,2.3241968693952466,0.6230465869968719,0.21178521859082547,0.2327299077110184,0.19366667091486073,0.09910767043256108,549253.0,0.6534292939683534,0.4828785646319105,0.9235780232424766,0.9594916064671182,0.9191836137358395,0.9578844604445033,0.7946629331109707,0.5481369371723059,0.6334599750054398,0.08081638626416053,0.0002004008016032064,0.14937619508851116,0.13634744364188842,0.25919508511091244,1.8390826050719873,0.5645539037230323,0.16441026873468753,0.18201338909391482,0.15384403908581293,0.1468174731422148,0.061169114466570404,-0.03334726534877308,-0.03809288189622584
