,prune50,prune80,distillation,int8,float16
Backdoor_Malware,-0.0062111801242236,-0.037267080745341616,-0.024844720496894408,-0.039337474120082816,0.0
BenignTraffic,0.02912394375605365,0.0064460104872917645,-0.02474867238903178,-0.5391269496676797,0.00046758625296416945
BrowserHijacking,-0.010356731875719217,-0.01380897583429229,-0.028768699654775604,-0.02416570771001151,0.0
CommandInjection,0.008652657601977753,-0.04573547589616811,-0.04573547589616811,-0.06798516687268233,0.0
DDoS-ACK_Fragmentation,-0.0068900929828081825,-0.028463442370727177,-0.0553548732356679,-0.35761589403973515,0.0
DDoS-HTTP_Flood,0.023616577911553582,0.011345218800648316,-0.025700393609631833,-0.6999305394767307,0.0004630701551284755
DDoS-ICMP_Flood,-0.00018491124260355818,-0.00018491124260355818,-0.00018491124260355818,-0.449026134122288,0.0
DDoS-ICMP_Fragmentation,0.0005012028869285645,-0.000400962309542896,-0.002806736166800383,-0.1317495322106389,-3.341352579522283e-05
DDoS-PSHACK_Flood,0.0002588527645475125,-0.3088113481051977,-0.23638434458480018,-0.13315386208324698,0.0
DDoS-RSTFINFlood,0.0,0.0,-5.945656697781132e-05,0.0,0.0
DDoS-SYN_Flood,-0.07153396082421776,-0.06919358941745102,-0.09015517679979648,-0.13335029254642583,0.007886034088018301
DDoS-SlowLoris,0.006829823562891302,0.008537279453614044,0.00313033579965849,-0.04354012521343198,-0.0002845759817872162
DDoS-SynonymousIP_Flood,0.09244769025676691,0.0938967136150235,0.11238625166637684,-0.41413087578971775,-0.007708804265924796
DDoS-TCP_Flood,-0.17625815470643053,-0.2655521901211556,0.021318732525629103,0.05900512581547068,0.005708294501397981
DDoS-UDP_Flood,0.1639398629228388,0.1221534379836392,0.13895644483749725,-0.44798806102144595,-0.0019898297590095204
DDoS-UDP_Fragmentation,0.0010376569037656713,-6.69456066946239e-05,-0.0004351464435147223,-0.16013389121338917,0.0
DNS_Spoofing,0.049443190080746935,0.06180398760093375,0.000612299567563368,-0.0025257357161991845,0.0004974933986452434
DictionaryBruteForce,0.011734693877550995,0.018877551020408112,0.015306122448979553,-0.4413265306122449,0.0
DoS-HTTP_Flood,-0.022008766203487795,-0.031241257110883103,-0.03319966427305787,-0.3451459479623239,-9.32574839129785e-05
DoS-SYN_Flood,-0.00036910584109994815,-0.0013841469041247778,-0.0063670757589738836,0.008351019654886022,-0.0004613823013749352
DoS-TCP_Flood,0.17590997200086156,0.2477385311221193,-0.04463708808959721,-0.37933448201593795,-0.004738315744130972
DoS-UDP_Flood,-0.07983682983682983,-0.055137170521785905,-0.06939214631522317,-0.009772279003048223,0.0010310202617894726
MITM-ArpSpoofing,0.0009823540112788853,3.638348189921592e-05,0.011861015099145,0.06330725850463889,-0.00014553392759686368
Mirai-greeth_flood,0.003598709896452279,0.0010524528942454925,-0.038261755219826776,-0.5175012731285011,0.0
Mirai-greip_flood,-0.003547776726584684,-0.008649817542911165,-0.06065008784970938,-0.06173131504257323,-3.378834977696421e-05
Mirai-udpplain,0.0007969507969507461,-0.0003465003465004113,-0.0018711018711019545,-0.2756063756063757,0.0
Recon-HostDiscovery,-0.06130803794308537,-0.080928607089366,-0.06689965052421365,-0.6751872191712431,-9.985022466307836e-05
Recon-OSScan,-0.011260794473229724,-0.04373056994818654,-0.024041450777202072,-0.10984455958549225,0.000138169257340226
Recon-PingSweep,0.0029411764705882353,-0.008823529411764706,-0.0058823529411764705,0.01764705882352941,0.0
Recon-PortScan,0.05458170640525051,0.03680319016366204,-0.008141563512503114,-0.03597241837667192,-0.0006646174295920904
SqlInjection,0.012706480304955525,0.01651842439644219,-0.0025412960609911064,-0.05844980940279543,0.0
Uploading_Attack,0.0,0.0851063829787234,-0.010638297872340425,-0.010638297872340425,0.0
VulnerabilityScan,-0.03811434302908734,0.00799063858241389,-0.06018054162487463,-0.6847876964226012,-0.0009361417586092324
XSS,0.006932409012131716,-0.008665511265164644,-0.022530329289428074,-0.022530329289428074,0.0
