label,M0,prune80,delta
ransomware,0.9487179487179487,0.0,-0.9487179487179487
mitm,0.14102564102564102,0.0,-0.14102564102564102
backdoor,0.0,0.0,0.0
scanning,0.6661721068249258,0.0,-0.6661721068249258
dos,0.621900826446281,0.5537190082644629,-0.06818181818181812
xss,0.6514111365369947,0.5148741418764302,-0.13653699466056446
ddos,0.6963788300835655,0.7136490250696379,0.017270194986072407
password,0.044580419580419584,0.0,-0.044580419580419584
injection,0.6453995970449966,0.6484217595701813,0.003022162525184724
normal,0.9540327129159617,0.9258319232938522,-0.02820078962210948
