architecture,method,regime,seed,raw_b2a,raw_a2b,raw_family_f1,raw_fine_f1,raw_awbir,raw_ece,raw_hsr_miss,raw_hsr_balanced,raw_hsr_fatigue,raw_teacher_correction_family,raw_teacher_degradation_family,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_awbir,trained_ece,trained_hsr_miss,trained_hsr_balanced,trained_hsr_fatigue,trained_teacher_correction_family,trained_teacher_degradation_family,batch_b2a,batch_a2b,batch_family_f1,batch_fine_f1,batch_awbir,batch_ece,batch_hsr_miss,batch_hsr_balanced,batch_hsr_fatigue,batch_teacher_correction_family,batch_teacher_degradation_family,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_awbir,recal_ece,recal_hsr_miss,recal_hsr_balanced,recal_hsr_fatigue,recal_teacher_correction_family,recal_teacher_degradation_family,final_is_collapse,collapse_epochs
shallow,random,minimal_ce,101,0.815,0.0009798865394533265,0.30149352650650846,0.18761186180797884,0.42023307327911497,0.6158980644158717,0.32260468607581366,0.40267331510374776,0.3666125140743124,0.06451664790091684,0.4876789448286955,0.057,0.027729069967337115,0.7961035404343856,0.701649247154966,0.08427876193016187,0.057885577177780555,0.12182188622593963,0.14209747466623773,0.12087341161331833,0.038716422711918934,0.04463567637124015,0.23575,0.025700532920749527,0.619806689482577,0.5178129108126744,0.2648001850654464,0.05524392773350842,0.1729330866977642,0.20726073668972173,0.18128840276660768,0.08669776419494933,0.19950136721891587,0.05525,0.027591542031975246,0.7925145320920676,0.69793063996829,0.0933883858701811,0.056104007983629266,0.12267036620020373,0.14310760817114362,0.12168248351294837,0.04592247064500563,0.05341804728968956,False,0
shallow,random,minimal_ce,211,0.815,0.0009798865394533265,0.30149352650650846,0.18761186180797884,0.42023307327911497,0.6158980644158717,0.32260468607581366,0.40267331510374776,0.3666125140743124,0.06451664790091684,0.4876789448286955,0.068,0.024153343647928486,0.7951743515068439,0.6845213393194873,0.10754954479999058,0.03843622499965914,0.12433381588118599,0.14599324433006272,0.12460672350008042,0.04796525655460833,0.062393437349203794,0.444,0.017448856799037304,0.6046860533560091,0.4989470031102656,0.2539383518026007,0.08547986798322142,0.17594498954479654,0.216438796847354,0.19587582435258163,0.08698729290654657,0.22041177416760496,0.066,0.024479972494412926,0.7955575319407644,0.6890707394492475,0.1040814438863929,0.04799021283495542,0.12315157364216396,0.14447482708701948,0.12324754704841563,0.049991957535788965,0.061878719639697606,False,0
shallow,random,minimal_ce,307,0.815,0.0009798865394533265,0.30149352650650846,0.18761186180797884,0.42023307327911497,0.6158980644158717,0.32260468607581366,0.40267331510374776,0.3666125140743124,0.06451664790091684,0.4876789448286955,0.0625,0.025322331098504385,0.8027700919789562,0.6993583967820373,0.1130163625777767,0.023359600893544205,0.11807141708219399,0.13815345021714653,0.11781405822744088,0.06614122567154576,0.06723500080424642,0.198,0.024153343647928486,0.656600443724732,0.5447975091934477,0.24117852580623447,0.0496955985929299,0.1664441584901614,0.1990349042946759,0.1732378960913624,0.08935177738459064,0.18970564580987614,0.07225,0.023998624720646382,0.7992586460749157,0.6978569651882476,0.11283253665307658,0.028551008534061017,0.11858747520240202,0.1392086215216342,0.11907350812288886,0.06839311565063536,0.07181920540453594,False,0
shallow,random,minimal_ce,401,0.815,0.0009798865394533265,0.30149352650650846,0.18761186180797884,0.42023307327911497,0.6158980644158717,0.32260468607581366,0.40267331510374776,0.3666125140743124,0.06451664790091684,0.4876789448286955,0.06875,0.02281244627815025,0.7969108327465967,0.7045571673205853,0.11016053573039551,0.0320368768981149,0.11705136453809446,0.13751970403731703,0.1175566993726878,0.08833842689400032,0.09002734437831751,0.23975,0.024514354478253394,0.6303052255354405,0.5133875607059769,0.25253652610182303,0.07475510521055206,0.17325746608760925,0.20794917162618626,0.1821360784944507,0.08800064339713688,0.20160849284220686,0.068,0.023070311156953755,0.7928795143532601,0.695681944186096,0.11703005659089116,0.03556812648406418,0.12031526459707254,0.14137365288724466,0.12074151520025736,0.0806820009650957,0.08857970082033136,False,0
shallow,random,minimal_ce,503,0.815,0.0009798865394533265,0.30149352650650846,0.18761186180797884,0.42023307327911497,0.6158980644158717,0.32260468607581366,0.40267331510374776,0.3666125140743124,0.06451664790091684,0.4876789448286955,0.05875,0.02521918514698298,0.7915873602182565,0.6782212550108159,0.13428021377521382,0.0330609604209227,0.12718755026540132,0.1490397297732025,0.12684574553643235,0.04350973138169535,0.062039568923918285,0.23225,0.024376826542891524,0.6412022964851279,0.510040956246034,0.25842550637511036,0.05724242549808431,0.17046405018497668,0.20447804407270387,0.17893356924561685,0.08592568763069004,0.19456329419334084,0.06325,0.02422210761560942,0.8006058177553479,0.697837066202384,0.10143880793693591,0.04728909177733213,0.12045064607795829,0.14122888853144605,0.12047611388129323,0.043992279234357404,0.05049059031687309,False,0
shallow,magnitude,minimal_ce,101,0.996,0.0007048306687295857,0.33934718063451125,0.11694169814812069,0.48190962073174637,0.7130246342536684,0.27251889979089594,0.34611548978607043,0.329393598198488,0.08111629403249156,0.3693742962843815,0.061,0.025047275227780642,0.7968458992020521,0.7013861890032388,0.08836609526693895,0.05540020624699325,0.12061551659428449,0.14122888853144605,0.12037638732507641,0.04418529837542223,0.05018497667685379,0.18775,0.02882929345023208,0.6516826638723352,0.5496610527330347,0.22822057241529464,0.053522456615773976,0.17181250335102674,0.20440405340196235,0.1773668972173074,0.08558790413382661,0.19067074151520025,0.05675,0.025820869864191163,0.7954388211999648,0.6972480519557841,0.10897509795224491,0.06004837282909729,0.12019060640180151,0.1404921988097153,0.11961235322502814,0.06700981180633746,0.07119189319607527,False,0
shallow,magnitude,minimal_ce,211,0.996,0.0007048306687295857,0.33934718063451125,0.11694169814812069,0.48190962073174637,0.7130246342536684,0.27251889979089594,0.34611548978607043,0.329393598198488,0.08111629403249156,0.3693742962843815,0.088,0.020801100223482895,0.7929903639659385,0.6828367556567643,0.12464791539661574,0.03497544237204337,0.12315157364216396,0.1455879041338266,0.1250281486247386,0.036287598520186586,0.0520186585169696,0.2665,0.02068076328004126,0.6329735337623393,0.5493343282535093,0.21553062199064546,0.04157918905930905,0.17518899790895928,0.21150072382177898,0.18579218272478687,0.06450056297249478,0.18925526781405821,0.0785,0.021196493037648274,0.7978105314496743,0.6922334514662957,0.09678594335610644,0.02697757522894121,0.12100423569781782,0.14275373974585812,0.1223258806498311,0.04407270387646775,0.05505870998874055,False,0
shallow,magnitude,minimal_ce,307,0.996,0.0007048306687295857,0.33934718063451125,0.11694169814812069,0.48190962073174637,0.7130246342536684,0.27251889979089594,0.34611548978607043,0.329393598198488,0.08111629403249156,0.3693742962843815,0.08975,0.020113460546673543,0.8076254423073713,0.711708700930696,0.09645494963160002,0.045556192271520975,0.11152082998230657,0.13179346951906062,0.11354833520990833,0.07503619108894966,0.06882740871803121,0.19775,0.027969743854220387,0.6251848509846539,0.5330250542705134,0.2428274563019723,0.08288927368043779,0.187591818133076,0.22369309956570693,0.19327167444104873,0.08616696155702107,0.229113720443944,0.077,0.021918514698298093,0.8001245965723612,0.7029253851102348,0.1026251987186262,0.04595478376298904,0.11716261862634712,0.1379797329901882,0.11821296445230818,0.06533697925044234,0.06855396493485603,False,0
shallow,magnitude,minimal_ce,401,0.996,0.0007048306687295857,0.33934718063451125,0.11694169814812069,0.48190962073174637,0.7130246342536684,0.27251889979089594,0.34611548978607043,0.329393598198488,0.08111629403249156,0.3693742962843815,0.066,0.0234485129791989,0.7925758257826074,0.6964818572654499,0.11131384039973351,0.046547702597778004,0.1203688810251461,0.14132861508766287,0.12062892070130289,0.0771111468553965,0.08468714814219076,0.256,0.027643115007735947,0.5966614354505859,0.5328298108975037,0.22389228844432327,0.08439037896092157,0.19046163744571334,0.22832234196557827,0.1988515361106643,0.0866655943381052,0.2391507157793148,0.06375,0.02386109678528451,0.7898733552681874,0.68921016099664,0.12539881487932375,0.036739598268574834,0.12311270173181062,0.14450056297249475,0.12318642432041178,0.0729129805372366,0.08552356442013834,False,0
shallow,magnitude,minimal_ce,503,0.996,0.0007048306687295857,0.33934718063451125,0.11694169814812069,0.48190962073174637,0.7130246342536684,0.27251889979089594,0.34611548978607043,0.329393598198488,0.08111629403249156,0.3693742962843815,0.07275,0.022915592229671652,0.7899979190706627,0.6755516919378144,0.1381615309069734,0.05388375849867093,0.12658168462817007,0.1490139938877272,0.12733955283898984,0.043767090236448446,0.06376065626507962,0.14175,0.03319580539797146,0.6141513183056212,0.526067133217837,0.24311731710782047,0.08311456242075907,0.18846576591067501,0.22268296606080104,0.19067074151520025,0.08578092327489142,0.22173073829821457,0.06425,0.025064466219700876,0.7949865501950187,0.6893878104128669,0.11063151405372366,0.03559956943648829,0.12369443997640878,0.14498311082515683,0.12361910889496541,0.03599806980858935,0.048142190767251083,False,0
