architecture,seed,unit,eval_b2a,batch_b2a,eval_family_f1,batch_family_f1,eval_awbir,is_collapse,bn_var_max
shallow,101,1,0.0555,0.28225,0.8028971763946237,0.6040307107121689,0.09042765679336642,False,6.875509738922119
shallow,101,2,0.06225,0.278,0.7975396885934308,0.5735093857351773,0.08043785287157414,False,7.96079683303833
shallow,101,3,0.104,0.21825,0.8084523439142436,0.5967132243573894,0.0929393168326934,False,6.520172119140625
shallow,101,4,0.052,0.356,0.7758134890612177,0.594157951085199,0.09142665949202285,False,6.743727207183838
shallow,101,5,0.06575,0.47075,0.7987590369732894,0.5844623707978062,0.11511394952685788,False,6.882954120635986
shallow,101,6,0.07375,0.404,0.7962151566450245,0.6181443701463232,0.11495385442433527,False,7.3727521896362305
shallow,101,7,0.05075,0.2815,0.7946405023578715,0.6284631040428043,0.08364660103518268,False,9.480669975280762
shallow,101,8,0.065,0.32525,0.8055139989156251,0.6043417859798044,0.08600730084571569,False,9.499448776245117
shallow,211,1,0.0675,0.36275,0.8048454744857735,0.6061324859173385,0.07270185192980039,False,8.138075828552246
shallow,211,2,0.0555,0.27475,0.8067675119265679,0.6232248949924412,0.06228787058176078,False,8.29865837097168
shallow,211,3,0.064,0.32375,0.7814058678247214,0.5840811154070253,0.12532456454591603,False,9.221284866333008
shallow,211,4,0.0925,0.2995,0.7986170323198535,0.6076194962588269,0.09461714506940423,False,9.294529914855957
shallow,211,5,0.06975,0.3065,0.7934624310385109,0.6107261677659658,0.11307807790660683,False,6.926255226135254
shallow,211,6,0.05425,0.3125,0.7834802472314205,0.6194052156843401,0.07550999935119054,False,9.89531135559082
shallow,211,7,0.07025,0.29425,0.8112916763654443,0.6149156244141596,0.09566554664615173,False,10.27546215057373
shallow,211,8,0.0715,0.26075,0.7850959335937051,0.6380044605458932,0.08963560089527901,False,9.341906547546387
shallow,307,1,0.06175,0.108,0.8101050726709284,0.6673604790334369,0.08696024272832655,False,7.182056427001953
shallow,307,2,0.06475,0.26425,0.7962413733118409,0.6270430397047239,0.11464874373234608,False,8.46502685546875
shallow,307,3,0.05925,0.276,0.7869978420860241,0.6138021259366823,0.1394394105157445,False,8.598675727844238
shallow,307,4,0.06725,0.26675,0.8044472489645215,0.6085272302342405,0.09992551505468077,False,5.300127983093262
shallow,307,5,0.0645,0.26275,0.796490470392202,0.6233531411400381,0.09983267096613627,False,4.850926399230957
shallow,307,6,0.0625,0.30375,0.7949167574550451,0.6276113225423275,0.12029609450877664,False,5.419700622558594
