architecture,seed,unit,eval_b2a,batch_b2a,eval_family_f1,batch_family_f1,eval_awbir,is_collapse,bn_var_max
shallow,307,7,0.07075,0.37375,0.8101740188937425,0.5990759248166374,0.05939206226659861,False,9.00918960571289
shallow,307,8,0.06625,0.308,0.81033369589819,0.5788573005890713,0.09205263449589701,False,7.801189422607422
shallow,401,1,0.06125,0.21275,0.7954627266130331,0.6358219473541221,0.08537231094507791,False,6.99724817276001
shallow,401,2,0.08525,0.46025,0.8016783526736061,0.5937096190290834,0.06696519928047258,False,7.30044412612915
shallow,401,3,0.051,0.36675,0.7875544891731109,0.6214661253440665,0.11246267021914369,False,6.739290714263916
shallow,401,4,0.06725,0.29425,0.8075621152037042,0.6313812350824975,0.06300201734030647,False,7.658640384674072
shallow,401,5,0.074,0.3435,0.7980360105146381,0.6215925553995428,0.07012234507510107,False,6.258386135101318
shallow,401,6,0.06025,0.38725,0.8068474589806313,0.6013069310768856,0.07383326961329915,False,9.98972225189209
shallow,401,7,0.0825,0.478,0.8108193463372313,0.5767430131092328,0.0525865082708867,False,9.153297424316406
shallow,401,8,0.0565,0.4135,0.7799402903195873,0.59577730105667,0.15051395244893487,False,6.105171203613281
shallow,503,1,0.0675,0.317,0.8020145355192471,0.5938597201826769,0.08381221937799506,False,6.261022090911865
shallow,503,2,0.08225,0.16975,0.7890386619063968,0.6185874209045857,0.07524519666918544,False,5.233838081359863
shallow,503,3,0.0575,0.30875,0.7986647298300383,0.6005403272190366,0.09543739206148309,False,5.990194797515869
shallow,503,4,0.06225,0.35675,0.798593239059576,0.5791151130511697,0.11116085977266935,False,5.50560188293457
shallow,503,5,0.0615,0.30775,0.7751352255625781,0.6119196574708232,0.10824386066668133,False,6.038598537445068
shallow,503,6,0.0785,0.39175,0.7744357670404973,0.6093448050776643,0.1257401500066603,False,6.419373035430908
shallow,503,7,0.076,0.3645,0.7885368876428741,0.6248357188841296,0.11630689416763958,False,9.003866195678711
shallow,503,8,0.07225,0.27075,0.8018115953956575,0.6106180007972773,0.10829749365969452,False,6.120451927185059
deep,101,1,0.0455,0.1695,0.8172373558027415,0.6421187293596187,0.04311134876745131,False,37.294158935546875
deep,101,2,0.059,0.27225,0.8077969598655751,0.606701108823946,0.10032064256252896,False,37.06841278076172
deep,101,3,0.04525,0.21125,0.796333782202813,0.6235766675435087,0.11075813288782131,False,38.190189361572266
deep,101,4,0.04025,0.21125,0.7580530228622103,0.6059487360733895,0.19590073862647142,False,39.741943359375
deep,101,5,0.04325,0.258,0.8144641043395288,0.6080092382582456,0.15022572872617582,False,40.633731842041016
deep,101,6,0.053,0.1575,0.7918570568975388,0.6433218085439757,0.1562154196139771,False,38.91012191772461
deep,211,1,0.045,0.24125,0.7899120077878395,0.5909966043223477,0.16490142177727066,False,35.81290054321289
deep,211,2,0.03875,0.2,0.7742841054459323,0.6135834123637097,0.17328247586764703,False,35.969417572021484
deep,211,3,0.04575,0.20775,0.7748145815157782,0.6683642431806068,0.16382413605495116,False,37.035789489746094
deep,211,4,0.049,0.09525,0.8008700272995578,0.6912089092637405,0.11203121011941512,False,35.10910415649414
deep,211,5,0.0575,0.16175,0.7961621116304415,0.6442181834984666,0.14908238015056052,False,37.9942626953125
deep,211,6,0.05275,0.1565,0.8013383468442737,0.64177269441279,0.1604879122729659,False,41.07766342163086
deep,307,1,0.05025,0.1495,0.7999515675669123,0.6297948910253847,0.14155219530030477,False,37.47452926635742
deep,307,2,0.052,0.21675,0.8021449958262531,0.5969284862389489,0.13775168866006615,False,36.67384338378906
deep,307,3,0.06525,0.29275,0.7694524144338936,0.6339699825163555,0.20828193570872747,False,36.05479431152344
deep,307,4,0.07275,0.20075,0.807835816487308,0.6059848259939776,0.13054849035484012,False,34.64072036743164
deep,307,5,0.04375,0.2725,0.7963791832210413,0.5869394110823437,0.14948015969143885,False,34.073692321777344
deep,307,6,0.04675,0.2715,0.8126374863339819,0.621430736546603,0.0842705626398226,False,38.776546478271484
deep,401,1,0.0475,0.18525,0.8087344841711032,0.6384658292146801,0.08128786212797766,False,39.93729019165039
deep,401,2,0.05575,0.214,0.7861043584066069,0.6545413298386314,0.16547101451519625,False,43.88008117675781
deep,401,3,0.04925,0.203,0.8132569649906136,0.6417911272851726,0.07301644961921135,False,44.0000114440918
deep,401,4,0.0455,0.16825,0.7761922313473688,0.6240685347588913,0.18511380756697998,False,52.763816833496094
deep,401,5,0.0475,0.23875,0.7909973329368771,0.6079943860336389,0.11830200602952488,False,54.69330978393555
deep,401,6,0.048,0.28725,0.7878274550841433,0.568892253777337,0.13108500872036707,False,52.18983840942383
deep,503,1,0.043,0.21575,0.8067167952588493,0.6179933305554237,0.10655857479221041,False,39.75627136230469
deep,503,2,0.04925,0.2225,0.7834055265969163,0.624977731266288,0.14487709826487613,False,37.9746208190918
deep,503,3,0.048,0.20175,0.7772067458929383,0.5858585962838857,0.18093835679996537,False,41.978118896484375
deep,503,4,0.04725,0.30325,0.8026353857345438,0.584284004483265,0.13291555068404548,False,44.561553955078125
deep,503,5,0.04125,0.19625,0.7650533245142527,0.6008699947928192,0.18282341365495666,False,45.01502990722656
deep,503,6,0.054,0.2635,0.7834589995768454,0.622469652574738,0.118538608782238,False,45.61482238769531
