architecture,regime,method,seed,epoch,eval_b2a,eval_a2b,eval_family_f1,eval_fine_f1,eval_awbir,eval_ece,eval_hsr_miss,eval_hsr_balanced,eval_hsr_fatigue,eval_teacher_correction_family,eval_teacher_degradation_family,batch_b2a,batch_a2b,batch_family_f1,batch_fine_f1,batch_awbir,batch_ece,batch_hsr_miss,batch_hsr_balanced,batch_hsr_fatigue,batch_teacher_correction_family,batch_teacher_degradation_family,is_collapse,bn_var_max
shallow,minimal_ce,random,101,1,0.057,0.027729069967337115,0.7961035404343856,0.701649247154966,0.08427876193016187,0.057885577177780555,0.12182188622593963,0.14209747466623773,0.12087341161331833,0.038716422711918934,0.04463567637124015,0.23575,0.025700532920749527,0.619806689482577,0.5178129108126744,0.2648001850654464,0.05524392773350842,0.1729330866977642,0.20726073668972173,0.18128840276660768,0.08669776419494933,0.19950136721891587,False,2.6057655811309814
shallow,minimal_ce,random,211,1,0.068,0.024153343647928486,0.7951743515068439,0.6845213393194873,0.10754954479999058,0.03843622499965914,0.12433381588118599,0.14599324433006272,0.12460672350008042,0.04796525655460833,0.062393437349203794,0.444,0.017448856799037304,0.6046860533560091,0.4989470031102656,0.2539383518026007,0.08547986798322142,0.17594498954479654,0.216438796847354,0.19587582435258163,0.08698729290654657,0.22041177416760496,False,3.3810579776763916
shallow,minimal_ce,random,307,1,0.0625,0.025322331098504385,0.8027700919789562,0.6993583967820373,0.1130163625777767,0.023359600893544205,0.11807141708219399,0.13815345021714653,0.11781405822744088,0.06614122567154576,0.06723500080424642,0.198,0.024153343647928486,0.656600443724732,0.5447975091934477,0.24117852580623447,0.0496955985929299,0.1664441584901614,0.1990349042946759,0.1732378960913624,0.08935177738459064,0.18970564580987614,False,3.0618717670440674
shallow,minimal_ce,random,401,1,0.06875,0.02281244627815025,0.7969108327465967,0.7045571673205853,0.11016053573039551,0.0320368768981149,0.11705136453809446,0.13751970403731703,0.1175566993726878,0.08833842689400032,0.09002734437831751,0.23975,0.024514354478253394,0.6303052255354405,0.5133875607059769,0.25253652610182303,0.07475510521055206,0.17325746608760925,0.20794917162618626,0.1821360784944507,0.08800064339713688,0.20160849284220686,False,3.5642409324645996
shallow,minimal_ce,random,503,1,0.05875,0.02521918514698298,0.7915873602182565,0.6782212550108159,0.13428021377521382,0.0330609604209227,0.12718755026540132,0.1490397297732025,0.12684574553643235,0.04350973138169535,0.062039568923918285,0.23225,0.024376826542891524,0.6412022964851279,0.510040956246034,0.25842550637511036,0.05724242549808431,0.17046405018497668,0.20447804407270387,0.17893356924561685,0.08592568763069004,0.19456329419334084,False,3.3788444995880127
shallow,minimal_ce,magnitude,101,1,0.061,0.025047275227780642,0.7968458992020521,0.7013861890032388,0.08836609526693895,0.05540020624699325,0.12061551659428449,0.14122888853144605,0.12037638732507641,0.04418529837542223,0.05018497667685379,0.18775,0.02882929345023208,0.6516826638723352,0.5496610527330347,0.22822057241529464,0.053522456615773976,0.17181250335102674,0.20440405340196235,0.1773668972173074,0.08558790413382661,0.19067074151520025,False,3.133070230484009
shallow,minimal_ce,magnitude,211,1,0.088,0.020801100223482895,0.7929903639659385,0.6828367556567643,0.12464791539661574,0.03497544237204337,0.12315157364216396,0.1455879041338266,0.1250281486247386,0.036287598520186586,0.0520186585169696,0.2665,0.02068076328004126,0.6329735337623393,0.5493343282535093,0.21553062199064546,0.04157918905930905,0.17518899790895928,0.21150072382177898,0.18579218272478687,0.06450056297249478,0.18925526781405821,False,3.93878173828125
shallow,minimal_ce,magnitude,307,1,0.08975,0.020113460546673543,0.8076254423073713,0.711708700930696,0.09645494963160002,0.045556192271520975,0.11152082998230657,0.13179346951906062,0.11354833520990833,0.07503619108894966,0.06882740871803121,0.19775,0.027969743854220387,0.6251848509846539,0.5330250542705134,0.2428274563019723,0.08288927368043779,0.187591818133076,0.22369309956570693,0.19327167444104873,0.08616696155702107,0.229113720443944,False,4.14573860168457
shallow,minimal_ce,magnitude,401,1,0.066,0.0234485129791989,0.7925758257826074,0.6964818572654499,0.11131384039973351,0.046547702597778004,0.1203688810251461,0.14132861508766287,0.12062892070130289,0.0771111468553965,0.08468714814219076,0.256,0.027643115007735947,0.5966614354505859,0.5328298108975037,0.22389228844432327,0.08439037896092157,0.19046163744571334,0.22832234196557827,0.1988515361106643,0.0866655943381052,0.2391507157793148,False,3.3718173503875732
shallow,minimal_ce,magnitude,503,1,0.07275,0.022915592229671652,0.7899979190706627,0.6755516919378144,0.1381615309069734,0.05388375849867093,0.12658168462817007,0.1490139938877272,0.12733955283898984,0.043767090236448446,0.06376065626507962,0.14175,0.03319580539797146,0.6141513183056212,0.526067133217837,0.24311731710782047,0.08311456242075907,0.18846576591067501,0.22268296606080104,0.19067074151520025,0.08578092327489142,0.22173073829821457,False,2.5994603633880615
shallow,minimal_ce,taylor,101,1,0.0825,0.01942582086986419,0.8133617303747823,0.7134568972881069,0.07811915838141757,0.052608601713395806,0.11098600611227281,0.13114042142512466,0.1127971690525977,0.064790091684092,0.057873572462602545,0.2035,0.019924359635550972,0.6541207486990084,0.5555369698973593,0.24694258094136493,0.04827880794692254,0.16315479062784838,0.1959852018658517,0.17078816149268136,0.08489625221167765,0.184976676853788,False,0.848065972328186
shallow,minimal_ce,taylor,211,1,0.05925,0.024634691421695033,0.8077162199842828,0.7118935288718307,0.0680025217193012,0.0323519808395185,0.11377540078279985,0.13306417886440405,0.1134743445391668,0.0289207013028792,0.02211677658034422,0.181,0.023379749011517965,0.6380735835938478,0.5397360495482366,0.2722421496910275,0.057655315835340684,0.17167712187014103,0.20513109216663988,0.1775872607366897,0.08627955605597555,0.19935660286311727,False,0.4529207646846771
shallow,minimal_ce,taylor,307,1,0.0695,0.022846828261990717,0.8118126894730239,0.7112310145070297,0.092101230299021,0.04506134533407748,0.11298589887941667,0.1326491877111147,0.11351294836737977,0.06741193501688918,0.06104230336175004,0.11975,0.03051401065841499,0.6606753998050809,0.5564681854264139,0.24618944929262093,0.049091513953659065,0.1707080049327114,0.2014508605436706,0.17228727682161815,0.08706771754865691,0.18996300466462923,False,0.6933916211128235
shallow,minimal_ce,taylor,401,1,0.0605,0.024634691421695033,0.7940563819077008,0.7036480499586752,0.0927835317433855,0.02276141665984063,0.11978446195914427,0.14029917966865046,0.11953997104712884,0.05798616696155702,0.06327810841241756,0.12175,0.03518996046071858,0.6509665060082755,0.5470903814199334,0.25842662582244813,0.06567344429733576,0.172726663449681,0.20303683448608653,0.17359819848801672,0.08956088145407753,0.1914749879363037,False,0.7027993202209473
shallow,minimal_ce,taylor,503,1,0.05675,0.025494241017706722,0.7910043035229731,0.6812735261402658,0.1393414777774929,0.04035947641792298,0.12702670098118063,0.1487566350329741,0.12645649026861833,0.045504262506031845,0.06419494933247546,0.1725,0.0210073921265257,0.6545734772815688,0.5715685348184198,0.21329925107513079,0.04668711025652326,0.15778242453487748,0.18873733311886762,0.16381856200739905,0.07157793147820492,0.15788965739102462,False,0.6157578229904175
