architecture,method,seed,tau,units_to_tau_f1,units_to_tau_guarded,guard_delayed,censored_f1,censored_guarded,auc_family_f1,auc_awbir,final_family_f1
deep,random,101,0.5798775553708971,1,1,False,False,False,0.593997250146891,0.10736379339925521,0.5187957684553886
deep,random,211,0.5798775553708971,1,1,False,False,False,0.6103435355141302,0.06296259449145385,0.6026217296025911
deep,random,307,0.5798775553708971,1,1,False,False,False,0.5062562069663041,0.1268820775465256,0.6648776320526666
deep,random,401,0.5798775553708971,1,1,False,False,False,0.5274941833740717,0.09415016168612556,0.6060453055072377
deep,random,503,0.5798775553708971,1,1,False,False,False,0.5916467557896286,0.11901784959165625,0.60250984040969
deep,magnitude,101,0.5798775553708971,1,1,False,False,False,0.615498104721553,0.08385030338668338,0.5683289213700206
deep,magnitude,211,0.5798775553708971,1,1,False,False,False,0.6555679660588226,0.06661496430516872,0.6612731958424027
deep,magnitude,307,0.5798775553708971,1,1,False,False,False,0.547059768391784,0.09954799527733303,0.6951323303555199
deep,magnitude,401,0.5798775553708971,1,1,False,False,False,0.6267371472257975,0.07157246756137305,0.7138435925783451
deep,magnitude,503,0.5798775553708971,1,1,False,False,False,0.6503385079712465,0.06657975543335136,0.6600155871354214
deep,taylor,101,0.5798775553708971,2,2,False,False,False,0.6061529113502914,0.06814811103612184,0.6538252394420349
deep,taylor,211,0.5798775553708971,1,1,False,False,False,0.607532937311281,0.0738839894356175,0.6181566620144339
deep,taylor,307,0.5798775553708971,1,1,False,False,False,0.5191566899761296,0.11405130508066119,0.6598338811421246
deep,taylor,401,0.5798775553708971,1,1,False,False,False,0.6026503530376462,0.05339208742405754,0.5927241190234525
deep,taylor,503,0.5798775553708971,1,1,False,False,False,0.6063423567882522,0.10210631639150562,0.6021420155965528
deep,fisher,101,0.5798775553708971,1,1,False,False,False,0.6232254503304909,0.0673698202613799,0.5529181864376151
deep,fisher,211,0.5798775553708971,1,1,False,False,False,0.5944727983568534,0.0883751043590097,0.6103974267062076
deep,fisher,307,0.5798775553708971,1,1,False,False,False,0.5210751862608293,0.12492309972125541,0.5819320387610489
deep,fisher,401,0.5798775553708971,3,3,False,False,False,0.5696294495597295,0.07768789575289557,0.6371650069593351
deep,fisher,503,0.5798775553708971,1,1,False,False,False,0.6283012870876662,0.07943393605013137,0.6606200805011974
deep,saber_v2,101,0.5798775553708971,1,1,False,False,False,0.5972288699075833,0.07822060315650059,0.5334994419101042
deep,saber_v2,211,0.5798775553708971,2,2,False,False,False,0.5967918218668288,0.07564543732564606,0.6065400327839677
deep,saber_v2,307,0.5798775553708971,1,1,False,False,False,0.5152293348877403,0.1135053104072807,0.6472716572949618
deep,saber_v2,401,0.5798775553708971,1,1,False,False,False,0.5679020846845944,0.062311385807236795,0.5960357825630068
deep,saber_v2,503,0.5798775553708971,3,3,False,False,False,0.622840235032302,0.0909812102896158,0.6372509617235673
shallow,random,101,0.5854929766091445,1,1,False,False,False,0.6097054078959867,0.11505771299995884,0.6278027427836829
shallow,random,211,0.5854929766091445,1,1,False,False,False,0.609003242582148,0.10884328450421554,0.5949535103053913
shallow,random,307,0.5854929766091445,1,1,False,False,False,0.5230375831860861,0.14521427660913072,0.2606455265620714
shallow,random,401,0.5854929766091445,3,3,False,False,False,0.607571972168863,0.12028252941397904,0.6450800488335713
shallow,random,503,0.5854929766091445,1,1,False,False,False,0.6041131925872999,0.1142426567645223,0.6163083964306784
shallow,magnitude,101,0.5854929766091445,2,2,False,False,False,0.6120739139468496,0.11231664686180493,0.6577967129061524
shallow,magnitude,211,0.5854929766091445,1,1,False,False,False,0.6076581281688339,0.1107529303094997,0.5960619300071341
shallow,magnitude,307,0.5854929766091445,1,1,False,False,False,0.5430838376505176,0.15717457885653965,0.3707737148003096
shallow,magnitude,401,0.5854929766091445,1,1,False,False,False,0.6048750371197484,0.11306404209350482,0.6335263648647619
shallow,magnitude,503,0.5854929766091445,1,1,False,False,False,0.6040630688911987,0.11507340528922021,0.6182569321587296
shallow,taylor,101,0.5854929766091445,1,1,False,False,False,0.6052679909828262,0.11114506328442741,0.637643479684027
shallow,taylor,211,0.5854929766091445,2,2,False,False,False,0.6123838814339166,0.10973588600693716,0.6192399358777423
shallow,taylor,307,0.5854929766091445,1,1,False,False,False,0.5234163151559984,0.13325881847392823,0.2862913630413102
shallow,taylor,401,0.5854929766091445,1,3,True,False,False,0.6066550772604037,0.10485639661683889,0.6393724942341291
shallow,taylor,503,0.5854929766091445,1,1,False,False,False,0.5994083064956113,0.10965013192357737,0.6235400137354116
shallow,fisher,101,0.5854929766091445,1,1,False,False,False,0.6142711528479865,0.10734441604512038,0.6349929852444574
shallow,fisher,211,0.5854929766091445,1,1,False,False,False,0.6163048433875636,0.10931034921143687,0.6070297988009987
shallow,fisher,307,0.5854929766091445,1,1,False,False,False,0.5083774472818474,0.13703963107286382,0.2025110076636876
shallow,fisher,401,0.5854929766091445,1,3,True,False,False,0.5953600151051344,0.10702059625692202,0.624336599252847
shallow,fisher,503,0.5854929766091445,1,1,False,False,False,0.6089169852603601,0.11174923206677674,0.6110185586537406
shallow,saber_v2,101,0.5854929766091445,2,2,False,False,False,0.5894299823962081,0.11102911306389292,0.5923101350855746
shallow,saber_v2,211,0.5854929766091445,1,1,False,False,False,0.623453180538478,0.10351566517630365,0.6047039272715999
shallow,saber_v2,307,0.5854929766091445,1,1,False,False,False,0.530825582103307,0.15632925335197623,0.2458185042717678
shallow,saber_v2,401,0.5854929766091445,1,3,True,False,False,0.5904332890820312,0.10908850717920658,0.6015235650573201
shallow,saber_v2,503,0.5854929766091445,1,1,False,False,False,0.5951525117925985,0.1080901614580828,0.6172275287954541
