architecture,method,seed,unit,fine_macro_f1,family_macro_f1,awbir,attack_to_benign_rate,benign_to_attack_rate,hsr_balanced_soc,ece15
shallow,random,101,0,0.0930792870513868,0.22617492963141902,0.43030784332930294,0.0018100490892894374,0.9665,0.40433702817698725,0.46359927770275483
shallow,random,101,1,0.543410725411538,0.5975122384447187,0.11266568985464509,0.04148897860161862,0.04125,0.15833165939263344,0.06372122840029722
shallow,random,101,2,0.5472906648279325,0.6336676186335519,0.1257461315913613,0.03883550349690112,0.00675,0.161965632475667,0.0953928007427996
shallow,random,101,3,0.5034432290754304,0.6088952473860286,0.1276872716084361,0.054358332859498495,0.002,0.17782180749073245,0.1516600259363383
shallow,random,101,4,0.5307749999056516,0.6169218361607409,0.11423219090802675,0.04717499668315612,0.00175,0.1703986413688574,0.1343304390453558
shallow,random,101,5,0.503311969890347,0.5956440045708121,0.12783478063041853,0.05590303443831618,0.001,0.18123299428425338,0.17289165808019247
shallow,random,101,6,0.5353904384867392,0.5864869226070234,0.09524991455584317,0.04746877428403556,0.001,0.16477237450010043,0.1375253102567874
shallow,random,101,7,0.5258571492131457,0.6107126525813348,0.11085011928958997,0.050899338526563184,0.00025,0.17340990851153193,0.15479954390517642
shallow,random,101,8,0.5449433426589189,0.6278027427836829,0.10619560556135012,0.06010121112185137,0.00025,0.17576377348843156,0.1552577508239217
shallow,random,211,0,0.0930792870513868,0.22617492963141902,0.43030784332930294,0.0018100490892894374,0.9665,0.40433702817698725,0.46359927770275483
shallow,random,211,1,0.539252693331693,0.607699499459497,0.11656822726385122,0.04106252724550331,0.03925,0.15841566078048247,0.07902846184748286
shallow,random,211,2,0.5516204965069254,0.6403216546763256,0.10374435449344355,0.029055552396656623,0.007,0.15160972224758495,0.08901807581573375
shallow,random,211,3,0.5321553439935587,0.5831804131890829,0.11290865835512014,0.050804571558537556,0.0015,0.1764923942221654,0.12404625549915005
shallow,random,211,4,0.5427530821671626,0.6275534666507522,0.09877450508903127,0.03581243721688368,0.003,0.15809426416610362,0.11235804989559005
shallow,random,211,5,0.5316602914668815,0.5986802730176031,0.10787641392207391,0.03603987794014518,0.002,0.16297912748123664,0.14377575419185962
shallow,random,211,6,0.5315124623979797,0.5847331437924735,0.10324827367301012,0.04432251094558481,0.002,0.1664158799145377,0.14210333702286188
shallow,random,211,7,0.5464660621590045,0.6349039795660582,0.11522775403932185,0.04678645211425106,0.001,0.1674165921002173,0.1444446561189648
shallow,random,211,8,0.536826770170776,0.5949535103053913,0.11239808919787264,0.06201550387596899,0.00025,0.17813042128522122,0.16020842896543647
shallow,random,307,0,0.0930792870513868,0.22617492963141902,0.43030784332930294,0.0018100490892894374,0.9665,0.40433702817698725,0.46359927770275483
shallow,random,307,1,0.5614582593273939,0.6173077555302269,0.0930774469012045,0.045412331077879495,0.0135,0.15584083563119738,0.04774251857155602
shallow,random,307,2,0.49710003541189246,0.6020253286221267,0.12661781205557554,0.03246716324557912,0.0135,0.1646189806614196,0.1270932912950527
shallow,random,307,3,0.5226852207349238,0.5841534630786531,0.11083061461951611,0.034646803510168495,0.036,0.15951133105677398,0.06153374896949077
shallow,random,307,4,0.2723352019441531,0.29102249801078006,0.2552839022457505,0.00020848732965637496,1.0,0.29434999360859004,0.09789197597890109
shallow,random,307,5,0.5456233022577511,0.5813783390163787,0.11430571161187557,0.046824358901461305,0.00175,0.16297912748123664,0.13024507565721108
shallow,random,307,6,0.5364255722968999,0.628222979428165,0.10932355271596719,0.05381816114175243,0.0,0.17118935008491445,0.1425548588842172
shallow,random,307,7,0.5408267133584149,0.6195447752402861,0.10796735591069931,0.042275544436231306,0.0,0.163642007998393,0.14957845350956978
shallow,random,307,8,0.27956780290551037,0.2606455265620714,0.24430781681245736,0.00022744072326149998,1.0,0.3035499716951845,0.15022925750895444
shallow,random,401,0,0.0930792870513868,0.22617492963141902,0.43030784332930294,0.0018100490892894374,0.9665,0.40433702817698725,0.46359927770275483
shallow,random,401,1,0.5289519863558793,0.5779743507455044,0.12653780845726845,0.04527965732264362,0.03925,0.16823286645605448,0.08995620324160392
shallow,random,401,2,0.42343701727691196,0.522461541194116,0.163095764258244,0.015409109000966623,0.61125,0.1927046620770256,0.04732966145220603
shallow,random,401,3,0.5296384758713899,0.5945198264327437,0.11932695979510048,0.04468262542408218,0.00325,0.1640200142437136,0.11948470430720404
shallow,random,401,4,0.5438123293384887,0.6317706569092617,0.11946363794638318,0.025549174579708497,0.007,0.1482606234363872,0.10207876330532213
shallow,random,401,5,0.5549124677368678,0.6470667913142951,0.10460559831912788,0.05514489869411118,0.00125,0.16480341849126204,0.131928883669232
shallow,random,401,6,0.5396918854544187,0.6155299482153113,0.11177526004001395,0.0507192812873145,0.002,0.1693741896605248,0.14420043520766856
shallow,random,401,7,0.5478396628037772,0.6261726137061013,0.1078760974954676,0.04088247000625462,0.0005,0.15745147093734593,0.1463893276426538
shallow,random,401,8,0.5500878721529656,0.6450800488335713,0.10957910900022726,0.045412331077879495,0.00025,0.16358722448457844,0.15189224972386092
shallow,random,503,0,0.0930792870513868,0.22617492963141902,0.43030784332930294,0.0018100490892894374,0.9665,0.40433702817698725,0.46359927770275483
shallow,random,503,1,0.5385358114574599,0.6165635284128235,0.12658870094111876,0.05172381114838612,0.0115,0.17052829568488523,0.09213308027675476
shallow,random,503,2,0.528319476576014,0.5923622912366207,0.11475490005363002,0.044587858456056555,0.01625,0.16982889282518582,0.10825478929484846
shallow,random,503,3,0.549016137464966,0.6139377241556354,0.11221217237437933,0.051069919069009304,0.0045,0.16650353353664105,0.11570272247604396
shallow,random,503,4,0.5336569768451387,0.6167067072082714,0.1226385959880888,0.04793313242736112,0.002,0.17031281386388122,0.14199752425338577
shallow,random,503,5,0.5271136078586324,0.5809295591162962,0.11353002784841874,0.05579879077348799,0.0015,0.17942696444549952,0.15908940729126073
shallow,random,503,6,0.53614226772558,0.6087459428999655,0.1117073280213733,0.06514281382081462,0.002,0.17988349372728768,0.15737759551815275
shallow,random,503,7,0.5265309004094207,0.5873513912381083,0.10773074077264969,0.04738348401281249,0.0015,0.17037672796333156,0.15192434735806065
shallow,random,503,8,0.5343687444336229,0.6163083964306784,0.10477878811652018,0.05287996815829874,0.0015,0.16940340753455926,0.16587835220657093
shallow,magnitude,101,0,0.007002536609875677,0.047885019589470314,0.5503774840251935,0.0,1.0,0.5348934460656307,0.9211712017761929
shallow,magnitude,101,1,0.5003485471045995,0.5853909327808512,0.12995365580324209,0.044910066147343684,0.02825,0.17584412264202626,0.11692829487566107
shallow,magnitude,101,2,0.5511736182447274,0.6396043441038769,0.10106567504022886,0.04453099827524118,0.00125,0.16142510180602984,0.10527313292874899
