method,k,realised_flops,parameters
random,45,0.41166751647317223,18360
magnitude,26,0.4045163947285849,19590
taylor,51,0.4014129667398808,18000
fisher,51,0.4039123784123,17971
saber_v2,52,0.4031142139943521,17822
