group_id,module_path,channel_index,magnitude,taylor,fisher,sbl_raw,sem_rank,saber_v2,random
conv.0:out:0,conv.0,0,0.5963926,1.8505532501731068,0.3641815243208839,1.61336113076743,0.734375,9.359428470145833,0.5118216247002567
conv.0:out:1,conv.0,1,0.5408777,4.527893603546545,2.3355282738230017,3.5823909098498916,0.859375,10.95252267783023,0.9504636963259353
conv.0:out:2,conv.0,2,0.49087393,1.5411587837152183,0.254192244638034,0.8924979710923253,0.421875,5.37669295093484,0.14415961271963373
conv.0:out:3,conv.0,3,0.28568873,2.3607921998482198,0.9828430901588945,1.1061572791350045,0.515625,6.571513606698137,0.9486494471372439
conv.0:out:4,conv.0,4,0.6919199,4.996359438169748,1.8772630802050116,3.987071288433185,0.90625,11.549933005711878,0.31183145201048545
conv.0:out:5,conv.0,5,0.5240145,0.5136876206379384,0.04695618264378254,0.2596741220777403,0.03125,0.39827355192109926,0.42332644897257565
conv.0:out:6,conv.0,6,0.47128242,35.34308696584776,149.94772628788314,14.298314296467538,1.0,12.744753661475176,0.8277025938204418
conv.0:out:7,conv.0,7,0.69825417,0.9378665909171104,0.18082959529419895,0.6859921077110016,0.28125,3.584461967289893,0.4091991363691613
conv.0:out:8,conv.0,8,0.506106,2.415290759410709,0.39127482338881237,1.7618935349787535,0.765625,9.757702022066931,0.5495936876730595
conv.0:out:9,conv.0,9,0.7264695,1.5778321373218205,0.7484223177052627,1.2893070403870297,0.59375,7.567197486500886,0.027559113243068367
conv.0:out:10,conv.0,10,0.6564346,0.7899656227673404,0.06173812006954904,1.0995656741754374,0.5,6.372376830737588,0.7535131086748066
conv.0:out:11,conv.0,11,0.7526178,6.424305635504425,5.662492613933864,3.31640847282506,0.84375,10.75338590186968,0.5381433132192782
conv.0:out:12,conv.0,12,0.6327402,1.681270556524396,0.35879724429469206,1.2970611149113722,0.609375,7.766334262461435,0.32973171649909216
conv.0:out:13,conv.0,13,0.46511784,0.4130105802032631,0.09261004704868014,0.5049679764387633,0.140625,1.7922309836449466,0.7884287034284043
conv.0:out:14,conv.0,14,0.6905606,14.925207598134875,46.05145989888115,6.9100030760178015,0.96875,12.346480109554077,0.303194829291645
conv.0:out:15,conv.0,15,0.6063435,0.4336158793303184,0.09659692860452651,0.6502879969481228,0.234375,2.9870516394082443,0.4534978894806515
conv.0:out:16,conv.0,16,0.48248407,0.30104410030980944,0.10595877090395334,0.5549342812477107,0.15625,1.9913677596054962,0.13404169724716475
conv.0:out:17,conv.0,17,0.6289548,0.34146570539451204,0.014785935452920285,0.44698133860856615,0.09375,1.1948206557632979,0.40311298644712923
conv.0:out:18,conv.0,18,0.55285335,2.0104489338118583,1.2620158205658072,1.3955212547161864,0.671875,8.562881366303634,0.20345524067614962
conv.0:out:19,conv.0,19,0.71112525,2.156532566063106,0.5145082246890524,1.8394330064002133,0.78125,9.956838798027482,0.2623133404418495
conv.0:out:20,conv.0,20,0.4963087,0.5260076505946927,0.38686148149463406,0.574241187365601,0.203125,2.588778087487145,0.7503646726300526
conv.0:out:21,conv.0,21,0.43830594,0.588924893643707,0.08384879185172167,0.762796478311202,0.3125,3.9827355192109923,0.2804087579860399
conv.0:out:22,conv.0,22,0.3886718,1.2591577071289066,0.15379399950506922,1.4655579172526814,0.703125,8.961154918224734,0.48519097443163506
conv.0:out:23,conv.0,23,0.7767041,2.2790157543495297,0.40964987156985444,0.9094498331114664,0.453125,5.774966502855939,0.9807371998012386
conv.0:out:24,conv.0,24,0.7491445,0.6169001122470945,0.029138872678061034,1.4154319996293339,0.6875,8.762018142264184,0.9616571936637868
conv.0:out:25,conv.0,25,0.77581835,1.6608542813919485,0.20709785701546934,0.9346195562029607,0.46875,5.9741032788164885,0.7247899407735336
conv.0:out:26,conv.0,26,0.72046286,1.0351606861804612,0.13036863350826877,0.5730224828585051,0.1875,2.3896413115265958,0.5412268555474342
conv.0:out:27,conv.0,27,0.8573185,1.0502039022394456,0.10584633229295548,0.8452106526083298,0.40625,5.17755617497429,0.2768912040453708
conv.0:out:28,conv.0,28,0.21959949,3.410609881626442,0.9691998193720792,1.7270087766655706,0.75,9.558565246106383,0.16065200877512686
conv.0:out:29,conv.0,29,0.55027294,0.6514043442439288,1.848287431456356,0.6525854708029328,0.25,3.186188415368794,0.9699254132161326
conv.0:out:30,conv.0,30,0.59448236,0.43524773058015853,0.014878984943152318,0.4842250250859479,0.109375,1.3939574317238475,0.5160685855478787
conv.0:out:31,conv.0,31,0.7843614,2.8510387325659394,2.4905579182673137,1.9330286280264772,0.8125,10.35511234994858,0.11586561247077032
conv.0:out:32,conv.0,32,0.4815359,1.4243141525657848,0.25033765495962257,1.4964937300776455,0.71875,9.160291694185283,0.6234897555375004
conv.0:out:33,conv.0,33,0.7755605,0.4782502954476513,0.7475509273176613,0.41790251056528405,0.0625,0.7965471038421985,0.776683114342298
conv.0:out:34,conv.0,34,0.6519731,12.58384880333324,25.00569536085098,3.8126590196495727,0.890625,11.350796229751328,0.6130033010530405
conv.0:out:35,conv.0,35,0.7064638,13.158592868596315,12.173691038427933,3.6956389445797413,0.875,11.15165945379078,0.9172977047909027
conv.0:out:36,conv.0,36,0.28359276,9.28215166357404,11.947881577953424,4.827215363487312,0.921875,11.749069781672429,0.03959287666420286
