variant,epoch,train_fine,train_family,train_binary,train_margin,train_kd,train_calibration,train_constraint_penalty,train_total,val_n,val_fine_accuracy,val_fine_macro_f1,val_binary_accuracy,val_binary_balanced_accuracy,val_binary_attack_recall,val_binary_attack_f1,val_family_accuracy,val_family_macro_f1,val_exact_attack_type_rate,val_attack_to_benign_rate,val_benign_to_attack_rate,val_same_family_attack_substitution_rate,val_cross_family_attack_substitution_rate,val_ece15,val_nll,val_brier,val_hsr_miss_sensitive,val_hsr_balanced_soc,val_hsr_alert_fatigue,val_awbir,proxy_attack_miss,proxy_benign_false_alert,proxy_family_nll,proxy_class_cvar,dual_attack_miss,dual_benign_false_alert,dual_family_nll,dual_class_cvar,selection_score
hsbd_fixed,1,0.6035645019182226,0.34503132264221087,0.08254057814048607,0.20245032875681337,0.21151453048809396,0.3053783170616033,0.0,1.1560958778807788,549253,0.6999925353161476,0.505059391754382,0.9460030259279422,0.8366396290960226,0.959384802614223,0.9710963843679953,0.8187683999905326,0.5387589345226402,0.6991910466327629,0.04061519738577698,0.28610554442217767,0.1256236604899165,0.13457009549154364,0.06017767364136146,0.7674358804367536,0.36158063659616213,0.1257134690206517,0.147854631654265,0.13368921061878586,0.2925255689540562,0.027958793565630913,0.6654367446899414,0.4222645163536072,3.898890733718872,0.0,0.0,0.0,0.0,0.09837873391431906
hsbd_fixed,2,0.5809714825752161,0.331308183643229,0.07751893299123606,0.158854680662459,0.14520811068667208,0.29542469592032905,0.0,1.0463862482508344,549253,0.7554624189581122,0.5660540906620624,0.9621777213779442,0.9149092829094163,0.967961518390643,0.979754883425395,0.8681827864390362,0.5866755301028569,0.7493284396885885,0.032038481609356975,0.13814295257181028,0.11921904516158849,0.09941403354046596,0.017000913178064674,0.6948254224098198,0.3206459731717264,0.09795880344152269,0.113751222114399,0.10130540934687657,0.21856040278487324,0.0278267003595829,0.5385626554489136,0.36148136854171753,4.0212273597717285,0.0,0.0,0.0,0.0,0.25436390520358465
hsbd_fixed,3,0.576497050739909,0.3289183289830197,0.07658342638004677,0.14860554043173402,0.13732426339839984,0.29339721817635067,0.0,1.0258553222701983,549253,0.7333523895181273,0.5505821837448056,0.9580958137688824,0.9158823758153501,0.9632610776160042,0.9775121057095176,0.8618796802202264,0.5850717226634905,0.7255605001222769,0.03673892238399578,0.13149632598530395,0.13593728637642424,0.10176329111730305,0.012670653289167685,0.726045151851752,0.3439351711646619,0.10605753025776221,0.12247215763955772,0.10877045733022853,0.2204119228625161,0.030501315370202065,0.5260763168334961,0.36327898502349854,3.916030168533325,0.0,0.0,0.0,0.0,0.2421876421614167
hsbd_fixed,4,0.5734871152354424,0.32701538608946623,0.07595914774482623,0.13965409584427324,0.12994912831228203,0.29198766094732664,0.0,1.0088018075862097,549253,0.7179751407821168,0.5398414855383334,0.9509970814906792,0.8971622469864453,0.9575843470123028,0.97365115757714,0.8511687692192851,0.572164548789247,0.7111279709924457,0.04241565298769721,0.16325985303941215,0.14087265290874676,0.10558372311111025,0.01905581234797886,0.7489121841720421,0.354135358444102,0.11444149296104589,0.13197888768927982,0.11753508856574293,0.1707174039752403,0.03181656450033188,0.5425912141799927,0.3756321668624878,3.8373360633850098,0.0,0.0,0.0,0.0,0.269468257124727
hsbd_fixed,5,0.5716273513066867,0.3258284353181392,0.07564347760914528,0.13776737010689954,0.1274957747803541,0.29111850640537185,0.0,1.002990414643093,549253,0.7368170952184149,0.5517155210066964,0.9569178502438767,0.9130719588050994,0.962282862165977,0.9768716126730622,0.8573735600897947,0.578642593857629,0.7294926181320321,0.03771713783402303,0.1361389445557782,0.1275069177933154,0.10528332624062944,0.020330834946910032,0.7099801121935971,0.3324530908285921,0.10738129787183685,0.12395162156601784,0.10983335548463094,0.17743893822963153,0.02894463948905468,0.5309211015701294,0.3665712773799896,3.839791774749756,0.0,0.0,0.0,0.0,0.27725203406197957
hsbd_fixed,6,0.5701867176454273,0.32492125605605504,0.07547086046660934,0.13170336649261732,0.12371976258726293,0.29042902631890244,0.0,0.992988926313633,549253,0.7450082202555106,0.5602461769940623,0.9511827882596909,0.9142724277353524,0.9556991640879393,0.9736979695456369,0.8623166373237834,0.585776343534579,0.7376379948123771,0.04430083591206074,0.12715430861723448,0.12407160999243232,0.09398955928312983,0.01853106416903495,0.7335600067896673,0.33381500465423397,0.10760326601159514,0.1228260928934389,0.10833477468489021,0.14010133288092097,0.03304658085107803,0.5044149160385132,0.370392382144928,3.8881702423095703,0.0,0.0,0.0,0.0,0.32284891776021907
hsbd_fixed,7,0.5690333160584993,0.32423321255207077,0.0753468927761668,0.12912130447800874,0.12219739054706277,0.289922809274452,0.0,0.9880356500851807,549253,0.7109328487964562,0.5307738347688986,0.9551663805204523,0.8937331452291073,0.9626833913266181,0.9759637205915511,0.8488547172250311,0.5737239436659991,0.7043690414066276,0.03731660867338195,0.17521710086840347,0.14587349055386636,0.1124408593661241,0.021013204547038797,0.752474027771076,0.36174826461221105,0.11381306368224965,0.13238452953374857,0.11851733172144714,0.2154976562348994,0.028312314301729202,0.6081005930900574,0.38423532247543335,3.7258541584014893,0.0,0.0,0.0,0.0,0.22584175789735117
hsbd_fixed,8,0.5684470085979898,0.32384787736332926,0.07518943451897825,0.1286881401739643,0.12131361723246797,0.2896545244453062,0.0,0.9862760687127843,549253,0.735426115105425,0.5514941038797517,0.953733525351705,0.9184068195893476,0.9580561241486348,0.9750978466869318,0.8584896213584632,0.57947003860348,0.7271626167648413,0.04194387585136517,0.12124248496993988,0.13015849786159792,0.10073500952219568,0.01771324511238683,0.7278205893907114,0.3413884176785038,0.10944227887694742,0.1253819278183278,0.1105696282041245,0.18353761310371192,0.031031884253025055,0.5532501935958862,0.37497255206108093,3.8331491947174072,0.0,0.0,0.0,0.0,0.2705504976814403
hsbd_fixed,9,0.567400500351372,0.3233752725955254,0.07510709291568855,0.12531696552660412,0.11900605952258464,0.28915990640007766,0.0,0.9803776684486516,549253,0.7343264397281398,0.5515157020249005,0.9523898822582672,0.9086945548395311,0.9577364710685078,0.9743848444479273,0.8570804346994918,0.5782411954319475,0.7271009968939733,0.042263528931492184,0.14034736138944556,0.12983114229761242,0.100804331876922,0.020101362794692157,0.7433868837883616,0.340111012576351,0.10998604771692948,0.12628642902269083,0.11182369509133314,0.19272843287222619,0.03139456361532211,0.5264893770217896,0.3716602325439453,3.9529306888580322,0.0,0.0,0.0,0.0,0.2592263335370305
hsbd_fixed,10,0.566649845167617,0.32283796672053333,0.0750280107580328,0.12456057569342573,0.11776125355089154,0.2888832844614588,0.0,0.9779123643833865,549253,0.7253451505954451,0.5415701823725667,0.9601385882280115,0.8985500592844927,0.9676746008669146,0.9786804758964931,0.8604377217784882,0.573394031965075,0.7193445956484817,0.03232539913308544,0.17057448229792918,0.142881075574846,0.10544892964358682,0.01655919424100529,0.743712470900872,0.352353608587484,0.10525371125267713,0.12298121266520165,0.11061769348551578,0.24939821436726387,0.02709261327981949,0.6016154885292053,0.37861040234565735,4.023897647857666,0.0,0.0,0.0,0.0,0.2010146049326095
