source_index,target_index,source_class,target_class,source_family,target_family,transition_type,support,confusion_rate,mean_margin,margin_std,vulnerability_probability,operational_cost,stability,raw_weight,normalized_weight,cost_profile
0,1,ARP_Spoofing,Benign,spoofing,benign,attack_to_benign,3202,0.1717676452217364,1.763518772781975,1.9497807643221774,0.5915933129657739,12.0,1.0,4.580165749125062,0.07750496028112938,miss_sensitive
0,9,ARP_Spoofing,Recon-Port_Scan,spoofing,recon,cross_family_attack,3202,0.018738288569643973,2.8425011320119906,2.1985093260359836,0.20110699266234885,6.0,1.0,0.6595358436959784,0.011160578496401091,miss_sensitive
0,6,ARP_Spoofing,MQTT-Malformed_Data,spoofing,mqtt,cross_family_attack,3202,0.05496564647095565,3.371896581844119,2.786770417388198,0.11844415911422476,6.0,1.0,0.5202294167555412,0.008803253526450573,miss_sensitive
1,0,Benign,ARP_Spoofing,benign,spoofing,benign_to_attack,38546,0.04661962330721735,3.5311164325629396,2.0359474815671903,0.5045706113081887,3.0,1.0,0.8267853519231091,0.013990752599741875,miss_sensitive
1,7,Benign,Recon-OS_Scan,benign,recon,benign_to_attack,38546,0.002879676230996731,4.487821770800074,2.155688499220324,0.19383406436198025,3.0,1.0,0.29507061088946546,0.004993145931778844,miss_sensitive
1,6,Benign,MQTT-Malformed_Data,benign,mqtt,benign_to_attack,38546,0.014995070824469466,4.857884567039389,2.134869324732597,0.1338794353127576,3.0,1.0,0.22331175920584057,0.0037788521148746776,miss_sensitive
2,4,MQTT-DDoS-Connect_Flood,MQTT-DoS-Connect_Flood,mqtt,mqtt,same_family_attack,34607,0.0008379807553385154,6.500023650574313,1.5523543538602451,0.9348391725576887,2.0,1.0,0.9356771533130271,0.01583340529048313,miss_sensitive
2,14,MQTT-DDoS-Connect_Flood,TCP_IP-DDoS-UDP,mqtt,ddos,cross_family_attack,34607,0.0,10.862421092620094,2.0421853843869355,0.01191713242696205,6.0,1.0,0.03575139728088615,0.0006049804260422843,miss_sensitive
2,3,MQTT-DDoS-Connect_Flood,MQTT-DDoS-Publish_Flood,mqtt,mqtt,same_family_attack,34607,0.00026006299303609094,9.89465598612408,2.10072100548157,0.03136655415654655,2.0,1.0,0.03162661714958264,0.0005351814410806288,miss_sensitive
3,13,MQTT-DDoS-Publish_Flood,TCP_IP-DDoS-TCP,mqtt,ddos,cross_family_attack,5525,0.0,9.867852036537627,2.1893530756180404,0.5094130170571806,6.0,1.0,1.5282390511715418,0.02586065951516005,miss_sensitive
3,12,MQTT-DDoS-Publish_Flood,TCP_IP-DDoS-SYN,mqtt,ddos,cross_family_attack,5525,0.00036199095022624434,11.629141070740255,3.295144305608454,0.08752899253345016,6.0,1.0,0.2636729504510292,0.004461838865944763,miss_sensitive
3,17,MQTT-DDoS-Publish_Flood,TCP_IP-DoS-TCP,mqtt,dos,cross_family_attack,5525,0.0005429864253393666,11.652771241695902,2.383334767048033,0.08548491355848634,6.0,1.0,0.2580836999514771,0.004367258306703688,miss_sensitive
