source_index,target_index,source_class,target_class,source_family,target_family,transition_type,robust_weight_raw,n_cost_profiles_present,n_cost_profiles_total,profile_weight_min,profile_weight_mean,profile_weight_max,aggregation,cvar_q,profile_weight__alert_fatigue,profile_weight__balanced_soc,profile_weight__miss_sensitive,robust_weight
15,11,TCP_IP-DoS-ICMP,TCP_IP-DDoS-ICMP,dos,ddos,cross_family_attack,0.09049519064585287,3,3,0.08516078757698325,0.08853457881629112,0.09049519064585287,cvar,0.75,0.08516078757698325,0.09049519064585287,0.08994775822603726,0.08356228858273669
18,14,TCP_IP-DoS-UDP,TCP_IP-DDoS-UDP,dos,ddos,cross_family_attack,0.08025459091566134,3,3,0.07552383856279032,0.0785158454729156,0.08025459091566134,cvar,0.75,0.07552383856279032,0.08025459091566134,0.07976910694029513,0.07410622861084938
0,1,ARP_Spoofing,Benign,spoofing,benign,attack_to_benign,0.07750496028112938,3,3,0.05870415084344516,0.06706322159682103,0.07750496028112938,cvar,0.75,0.05870415084344516,0.06498055366588854,0.07750496028112938,0.07156724916963393
13,17,TCP_IP-DDoS-TCP,TCP_IP-DoS-TCP,ddos,dos,cross_family_attack,0.07405123715353623,3,3,0.06968615273406363,0.07244688966809826,0.07405123715353623,cvar,0.75,0.06968615273406363,0.07405123715353623,0.07360327911669488,0.0683781182709298
17,13,TCP_IP-DoS-TCP,TCP_IP-DDoS-TCP,dos,ddos,cross_family_attack,0.06205311379044059,3,3,0.05839528050367452,0.06070871009240545,0.06205311379044059,cvar,0.75,0.05839528050367452,0.06205311379044059,0.061677735983101264,0.0572991798238929
16,12,TCP_IP-DoS-SYN,TCP_IP-DDoS-SYN,dos,ddos,cross_family_attack,0.06081420957752291,3,3,0.057229405745562754,0.059496647198216485,0.06081420957752291,cvar,0.75,0.057229405745562754,0.06081420957752291,0.060446326271563794,0.0561551889595459
11,15,TCP_IP-DDoS-ICMP,TCP_IP-DoS-ICMP,ddos,dos,cross_family_attack,0.05583448591833147,3,3,0.05254322092506684,0.05462481109685524,0.05583448591833147,cvar,0.75,0.05254322092506684,0.05583448591833147,0.055496726447167424,0.051556965534611816
14,18,TCP_IP-DDoS-UDP,TCP_IP-DoS-UDP,ddos,dos,cross_family_attack,0.05460162657378061,3,3,0.051383034709597424,0.053418662106720576,0.05460162657378061,cvar,0.75,0.051383034709597424,0.05460162657378061,0.0542713250367837,0.05041855643689029
12,16,TCP_IP-DDoS-SYN,TCP_IP-DoS-SYN,ddos,dos,cross_family_attack,0.05431775564532098,3,3,0.051115897067637674,0.05314094134708688,0.05431775564532098,cvar,0.75,0.051115897067637674,0.05431775564532098,0.053989171328301985,0.05015643306574869
1,0,Benign,ARP_Spoofing,benign,spoofing,benign_to_attack,0.05298468949919199,3,3,0.013990752599741875,0.03170908198764207,0.05298468949919199,cvar,0.75,0.05298468949919199,0.028151803863992346,0.013990752599741875,0.04892549408205572
6,0,MQTT-Malformed_Data,ARP_Spoofing,mqtt,spoofing,cross_family_attack,0.048169557530941536,3,3,0.04533011563701011,0.04712594622247421,0.048169557530941536,cvar,0.75,0.04533011563701011,0.048169557530941536,0.04787816549947098,0.044479252859474856
6,1,MQTT-Malformed_Data,Benign,mqtt,benign,attack_to_benign,0.04658885106314613,3,3,0.035287534249593425,0.040312238487138184,0.04658885106314613,cvar,0.75,0.035287534249593425,0.03906033014867499,0.04658885106314613,0.04301964545842043
8,0,Recon-Ping_Sweep,ARP_Spoofing,recon,spoofing,cross_family_attack,0.03649504770665253,3,3,0.03434378095871257,0.03570436897838619,0.03649504770665253,cvar,0.75,0.03434378095871257,0.03649504770665253,0.036274278269793465,0.03369913568377897
7,9,Recon-OS_Scan,Recon-Port_Scan,recon,recon,same_family_attack,0.0301875993525294,3,3,0.026570394712973806,0.027830033087328284,0.0301875993525294,cvar,0.75,0.0301875993525294,0.02673210519648165,0.026570394712973806,0.02787490551390642
8,1,Recon-Ping_Sweep,Benign,recon,benign,attack_to_benign,0.029708779380578396,3,3,0.02250215547245093,0.025706308960665194,0.029708779380578396,cvar,0.75,0.02250215547245093,0.02490799202896626,0.029708779380578396,0.0274327682866152
3,13,MQTT-DDoS-Publish_Flood,TCP_IP-DDoS-TCP,mqtt,ddos,cross_family_attack,0.026018050468482486,3,3,0.02448436931620748,0.025454359766616672,0.026018050468482486,cvar,0.75,0.02448436931620748,0.026018050468482486,0.02586065951516005,0.024024788788123017
10,9,Recon-VulScan,Recon-Port_Scan,recon,recon,same_family_attack,0.020715467347110047,3,3,0.018233253252392695,0.019097647843972585,0.020715467347110047,cvar,0.75,0.020715467347110047,0.018344222932415014,0.018233253252392695,0.019128440398117407
4,2,MQTT-DoS-Connect_Flood,MQTT-DDoS-Connect_Flood,mqtt,mqtt,same_family_attack,0.0204268893420099,3,3,0.017979253872996828,0.01883160696617952,0.0204268893420099,cvar,0.75,0.0204268893420099,0.01808867768353183,0.017979253872996828,0.01886197056288408
1,7,Benign,Recon-OS_Scan,benign,recon,benign_to_attack,0.018909653711147514,3,3,0.004993145931778844,0.011316623076442501,0.018909653711147514,cvar,0.75,0.018909653711147514,0.010047069586401143,0.004993145931778844,0.017460971451999912
2,4,MQTT-DDoS-Connect_Flood,MQTT-DoS-Connect_Flood,mqtt,mqtt,same_family_attack,0.017988912112846388,3,3,0.01583340529048313,0.016584028874214136,0.017988912112846388,cvar,0.75,0.017988912112846388,0.01592976921931289,0.01583340529048313,0.016610768534051863
9,7,Recon-Port_Scan,Recon-OS_Scan,recon,recon,same_family_attack,0.01535686134040064,3,3,0.013516737869805595,0.014157533834668848,0.01535686134040064,cvar,0.75,0.01535686134040064,0.013599002293800311,0.013516737869805595,0.014180361076574388
1,6,Benign,MQTT-Malformed_Data,benign,mqtt,benign_to_attack,0.014310974662913688,3,3,0.0037788521148746776,0.00856450935541141,0.014310974662913688,cvar,0.75,0.014310974662913688,0.007603701288445864,0.0037788521148746776,0.013214600534547071
5,17,MQTT-DoS-Publish_Flood,TCP_IP-DoS-TCP,mqtt,dos,cross_family_attack,0.01235014834289332,3,3,0.011622146459576172,0.01208257780389442,0.01235014834289332,cvar,0.75,0.011622146459576172,0.01235014834289332,0.01227543860921377,0.011403994538308126
0,9,ARP_Spoofing,Recon-Port_Scan,spoofing,recon,cross_family_attack,0.011228503062986436,3,3,0.010566618594093375,0.010985233384493634,0.011228503062986436,cvar,0.75,0.010566618594093375,0.011228503062986436,0.011160578496401091,0.010368279315232471
7,1,Recon-OS_Scan,Benign,recon,benign,attack_to_benign,0.010343622845533751,3,3,0.00783451270201813,0.00895009388415704,0.010343622845533751,cvar,0.75,0.00783451270201813,0.00867214610491924,0.010343622845533751,0.009551190411786698
5,3,MQTT-DoS-Publish_Flood,MQTT-DDoS-Publish_Flood,mqtt,mqtt,same_family_attack,0.008976895918241619,3,3,0.007901246636393359,0.008275825696130872,0.008976895918241619,cvar,0.75,0.008976895918241619,0.00794933453375764,0.007901246636393359,0.008289169423741895
0,6,ARP_Spoofing,MQTT-Malformed_Data,spoofing,mqtt,cross_family_attack,0.008856831141671672,3,3,0.008334749173719505,0.00866494461394725,0.008856831141671672,cvar,0.75,0.008334749173719505,0.008856831141671672,0.008803253526450573,0.008178302896617567
10,1,Recon-VulScan,Benign,recon,benign,attack_to_benign,0.006359464993432424,3,3,0.004816814187168382,0.005502695679667665,0.006359464993432424,cvar,0.75,0.004816814187168382,0.005331807858402188,0.006359464993432424,0.00587226177679051
