architecture,alpha,benign_to_attack_rate,binary_attack_recall,fine_macro_f1,family_macro_f1,attack_to_benign_rate,meets_criteria
shallow,0.25,0.04875,0.9717380092831356,0.694225248349492,0.8038199828250384,0.028261990716864364,True
shallow,0.35,0.04475,0.9709816056386453,0.6932617829301158,0.80062752499407,0.02901839436135465,True
shallow,0.5,0.08725,0.9815712566615094,0.7021807340842441,0.8025861757708169,0.018428743338490632,True
deep,0.25,0.04025,0.9677840811414818,0.6997961311465765,0.7899215856539207,0.032215918858518135,True
deep,0.35,0.03975,0.972425648959945,0.7356003183747968,0.8130477540988991,0.027574351040055012,True
deep,0.5,0.0645,0.9788894619219529,0.7156846311631095,0.8087835742126436,0.0211105380780471,True
