,mean_cos_to_others,min_angular_sep_deg,etf_gap,margin,support,mean_cos_to_others_lo,mean_cos_to_others_hi,margin_lo,margin_hi
Backdoor_Malware,0.1994834542274475,3.8916380405426025,0.5243847966194153,-2.1713497638702393,483.0,0.1901056505739689,0.1939085315912962,-2.263104313611984,-2.0949764132499693
BenignTraffic,0.18547703325748444,26.044204711914062,0.510135293006897,0.41987672448158264,29941.0,0.17286900207400321,0.1779363326728344,0.3826614908874035,0.4535913147032261
BrowserHijacking,0.14292363822460175,26.217824935913086,0.42690184712409973,-2.5229239463806152,869.0,0.12446169555187225,0.13640622198581695,-2.6094735503196715,-2.439453363418579
CommandInjection,0.1643705517053604,36.016624450683594,0.4406540095806122,-1.860253930091858,809.0,0.1401463821530342,0.1514868564903736,-1.939179915189743,-1.7783936351537704
DDoS-ACK_Fragmentation,-0.1191902607679367,60.082794189453125,0.24720749258995056,6.273435115814209,29898.0,-0.09477270711213351,-0.09258953891694546,6.197230517864227,6.352824401855469
DDoS-HTTP_Flood,-0.00998120941221714,24.2862491607666,0.18665632605552673,1.577798843383789,4319.0,-0.09118143692612649,-0.08863381519913674,1.5211934089660644,1.632192924618721
DDoS-ICMP_Flood,-0.09632265567779541,60.334007263183594,0.2645375430583954,8.672820091247559,16224.0,-0.10347650982439519,-0.09988547395914793,8.638010382652283,8.701958560943604
DDoS-ICMP_Fragmentation,-0.12506218254566193,63.989688873291016,0.21380871534347534,7.569300651550293,29928.0,-0.09877130333334208,-0.09664439558982849,7.499003303050995,7.6308797121047975
DDoS-PSHACK_Flood,-0.061890941113233566,64.97563171386719,0.25762268900871277,8.724419593811035,19316.0,-0.12420655842870473,-0.12239665668457747,8.675498795509338,8.771941447257996
DDoS-RSTFINFlood,-0.01779809221625328,64.97563171386719,0.12882214784622192,9.228641510009766,16819.0,-0.06686011347919703,-0.06490595806390047,9.17719075679779,9.279560923576355
DDoS-SYN_Flood,-0.07001274824142456,8.672783851623535,0.29081010818481445,0.0702769011259079,19655.0,-0.12309001944959164,-0.12120136190205813,0.05174242723733187,0.08567747604101897
DDoS-SlowLoris,-0.009228631854057312,25.416444778442383,0.20644183456897736,3.524600028991699,3514.0,-0.0850566003471613,-0.08157294746488333,3.4465149521827696,3.588887947797775
DDoS-SynonymousIP_Flood,-0.06506112962961197,8.672783851623535,0.28414103388786316,-0.3536074161529541,17253.0,-0.1183985834941268,-0.11654380969703197,-0.3713858753442764,-0.33508007004857066
DDoS-TCP_Flood,-0.1265225112438202,9.717820167541504,0.3569214940071106,0.19659411907196045,17168.0,-0.14838871993124486,-0.14562095403671266,0.18092661947011948,0.21460421197116375
DDoS-UDP_Flood,-0.12262578308582306,11.447196960449219,0.2682669162750244,0.5203897356987,18092.0,-0.09711839221417903,-0.09445684626698495,0.4894324354827404,0.5512979343533516
DDoS-UDP_Fragmentation,-0.1294901818037033,60.082794189453125,0.21645241975784302,8.363385200500488,29875.0,-0.0703067984431982,-0.0681277021765709,8.310864925384521,8.401758074760437
DNS_Spoofing,0.18426395952701569,27.216867446899414,0.5014331340789795,0.8230937123298645,26131.0,0.1739792637526989,0.17754013650119305,0.7692747741937638,0.8831713601946831
DictionaryBruteForce,0.1935303807258606,24.94551658630371,0.4956713616847992,-0.5684148073196411,1960.0,0.17558397576212884,0.1798731479793787,-0.6417641416192055,-0.4830098070204258
DoS-HTTP_Flood,-0.022070638835430145,24.2862491607666,0.22561584413051605,2.1422746181488037,10723.0,-0.09824408255517483,-0.0952662592753768,2.0765882074832915,2.2053935706615446
DoS-SYN_Flood,-0.053632646799087524,10.837540626525879,0.2819155156612396,-2.511444091796875,21674.0,-0.11615158524364233,-0.11421607974916696,-2.590443366765976,-2.4363339364528653
DoS-TCP_Flood,-0.12576432526111603,9.717820167541504,0.34621384739875793,-0.08867410570383072,18572.0,-0.1448957446962595,-0.14202380143105983,-0.11577472258359194,-0.055752170830965044
DoS-UDP_Flood,-0.12608268857002258,11.447196960449219,0.27597448229789734,1.2709919214248657,22308.0,-0.09622286763042212,-0.09345353282988071,1.198124998807907,1.3346941322088242
MITM-ArpSpoofing,0.13780251145362854,26.382080078125,0.42326563596725464,-5.51579475402832,27485.0,0.11256830766797066,0.12026467453688383,-5.659292221069336,-5.399988830089569
Mirai-greeth_flood,-0.16011390089988708,20.245527267456055,0.2652782201766968,4.894379138946533,29455.0,-0.09481957871466876,-0.09271835591644048,4.851348078250885,4.943649590015411
Mirai-greip_flood,-0.17032986879348755,20.245527267456055,0.28772401809692383,4.160343170166016,29596.0,-0.09946874435991049,-0.09730137847363948,4.11836187839508,4.199996280670166
Mirai-udpplain,-0.1328059881925583,58.27718734741211,0.2596641182899475,6.302726745605469,28860.0,-0.07411815263330937,-0.07157135475426912,6.255987346172333,6.340215253829956
Recon-HostDiscovery,0.1842046082019806,23.362268447875977,0.45053204894065857,0.8907137513160706,20030.0,0.16214059703052044,0.16600228175520898,0.8415830463171006,0.9423714980483056
Recon-OSScan,0.210808664560318,7.751548767089844,0.5270013213157654,-0.7691429853439331,14475.0,0.18822825588285924,0.19104337245225905,-0.7921546146273613,-0.747890205681324
Recon-PingSweep,0.20687322318553925,6.615623474121094,0.5190074443817139,-2.556483030319214,340.0,0.1886447362601757,0.19250102564692498,-2.618708598613739,-2.4891308724880217
Recon-PortScan,0.2093333899974823,7.751548767089844,0.5143252015113831,-0.7081945538520813,12037.0,0.18475141674280166,0.18758266195654869,-0.7349401816725731,-0.6735516160726547
SqlInjection,0.20835882425308228,6.615623474121094,0.5194486975669861,-2.029878616333008,787.0,0.1888466790318489,0.19178352057933806,-2.1113264322280885,-1.9439497113227844
Uploading_Attack,0.19794435799121857,7.556915760040283,0.5184013247489929,-2.3258001804351807,188.0,0.18682911098003388,0.1924598053097725,-2.5447786331176756,-2.0925532937049867
VulnerabilityScan,0.20405542850494385,11.163202285766602,0.5269665718078613,0.3682989478111267,29910.0,0.1892159480601549,0.1916278999298811,0.3344405733048916,0.40864417254924773
XSS,0.1977517306804657,3.8916380405426025,0.5226207971572876,-1.7092454433441162,577.0,0.18931720741093158,0.19334616884589195,-1.7859102100133897,-1.6228865385055542
