cell,accuracy,macro_f1,ece,size_mb,sparsity_pct
M0,0.7078,0.5451,0.0336,0.1189,0.0
prune50,0.693,0.5242,0.026,0.1189,49.0
prune80,0.5524,0.3377,0.1927,0.1189,78.4
distillation,0.6831,0.5104,0.0255,0.0216,0.0
int8,0.7089,0.5457,0.0331,0.0253,0.0
float16,0.7077,0.5452,0.0337,0.0595,0.0
