label,M0_recall,prune80_d_recall,M0_geom_cos,M0_margin,prune80_geom_cos,tier
DoS-UDP_Flood,0.6823112784651246,-0.6823112784651246,-0.12608268857002258,1.2709919214248657,-0.1818813979625702,measurable
DoS-HTTP_Flood,0.8669215704560291,-0.6540147346824583,-0.022070638835430145,2.1422746181488037,0.011170392856001854,measurable
Recon-HostDiscovery,0.7047428856714928,-0.6288067898152772,0.1842046082019806,0.8907137513160706,0.1874929517507553,measurable
BenignTraffic,0.6791022343943088,-0.5005844828162053,0.18547703325748444,0.41987672448158264,0.21154457330703735,measurable
Recon-PortScan,0.2467392207360638,-0.2439976738389965,0.2093333899974823,-0.7081945538520813,0.2261020988225937,measurable
DoS-SYN_Flood,0.1643905139798837,-0.1643905139798837,-0.053632646799087524,-2.511444091796875,-0.04628478363156319,measurable
DNS_Spoofing,0.612758792239103,-0.1503960812827676,0.18426395952701569,0.8230937123298645,0.21464864909648895,measurable
MITM-ArpSpoofing,0.1250500272876114,-0.1182826996543569,0.13780251145362854,-5.51579475402832,0.1821465641260147,measurable
Recon-OSScan,0.1145423143350604,-0.1144732297063902,0.210808664560318,-0.7691429853439331,0.22852638363838196,measurable
DictionaryBruteForce,0.3275510204081632,-0.1086734693877551,0.1935303807258606,-0.5684148073196411,0.1574847400188446,measurable
VulnerabilityScan,0.6740220661985958,0.0903376797057839,0.20405542850494385,0.3682989478111267,0.2170371413230896,measurable
DDoS-HTTP_Flood,0.7960175966658949,0.181755035887937,-0.00998120941221714,1.577798843383789,0.013160564005374908,measurable
DDoS-UDP_Flood,0.7421512270616847,0.2545876630554941,-0.12262578308582306,0.5203897356987,-0.17367379367351532,measurable
