label,auc_M0,auc_prune80,auc_drop,drop_ci_lo,drop_ci_hi,ci_includes_zero
DictionaryBruteForce,0.9424,0.9232,0.0192,-0.0114,0.0607,True
DoS-HTTP_Flood,0.9975,0.9976,-0.0002,-0.0009,0.0004,True
Recon-PortScan,0.9314,0.9202,0.0112,0.0049,0.0178,False
Recon-OSScan,0.9311,0.9131,0.018,0.0119,0.0249,False
Recon-HostDiscovery,0.9806,0.9712,0.0094,0.0055,0.0142,False
DoS-SYN_Flood,0.9863,0.9859,0.0004,-0.0014,0.0023,True
DoS-UDP_Flood,0.9927,0.9928,-0.0001,-0.0004,0.0003,True
DNS_Spoofing,0.9855,0.9635,0.0219,0.0191,0.0248,False
MITM-ArpSpoofing,0.9785,0.9763,0.0023,0.0006,0.0038,False
BenignTraffic,0.9701,0.964,0.0061,0.0043,0.008,False
