label,support_sub,M0_probe_auc,comp_probe_auc,probe_auc_drop,prune80_d_recall,tier
Backdoor_Malware,47,0.9255,0.9091,0.0164,-0.0041407867494824,floored
BenignTraffic,2245,0.9701,0.964,0.0061,-0.5005844828162053,measurable
BrowserHijacking,69,0.9686,0.9681,0.0005,-0.0195627157652474,floored
CommandInjection,69,0.9788,0.9566,0.0222,-0.0630407911001236,floored
DDoS-ACK_Fragmentation,2147,0.9999,0.9995,0.0004,-0.0519432737975784,robust
DDoS-HTTP_Flood,286,0.9972,0.9944,0.0029,0.181755035887937,measurable
DDoS-ICMP_Flood,1168,1.0,1.0,0.0,-0.0001849112426034,robust
DDoS-ICMP_Fragmentation,2216,0.9994,0.9998,-0.0004,0.0195134990644212,robust
DDoS-PSHACK_Flood,1360,1.0,1.0,0.0,-0.030751708428246,robust
DDoS-RSTFINFlood,1215,0.9997,0.9988,0.0009,-0.0004161959688447,robust
DDoS-SYN_Flood,1406,0.9865,0.985,0.0015,0.4169422538794199,unstable_confusable
DDoS-SlowLoris,268,0.9965,0.9971,-0.0006,-0.954183266932271,robust
DDoS-SynonymousIP_Flood,1253,0.9783,0.978,0.0003,-0.2816321799107401,unstable_confusable
DDoS-TCP_Flood,1243,0.993,0.9907,0.0023,-0.6396202236719478,unstable_confusable
DDoS-UDP_Flood,1322,0.9913,0.9914,-0.0002,0.2545876630554941,measurable
DDoS-UDP_Fragmentation,2283,0.9994,0.9982,0.0011,-0.0002343096234308,robust
DNS_Spoofing,1842,0.9855,0.9635,0.0219,-0.1503960812827676,measurable
DictionaryBruteForce,148,0.9424,0.9232,0.0192,-0.1086734693877551,measurable
DoS-HTTP_Flood,796,0.9975,0.9976,-0.0002,-0.6540147346824583,measurable
DoS-SYN_Flood,1622,0.9863,0.9859,0.0004,-0.1643905139798837,measurable
DoS-TCP_Flood,1335,0.9935,0.9932,0.0003,-0.4115334912771914,unstable_confusable
DoS-UDP_Flood,1647,0.9927,0.9928,-0.0001,-0.6823112784651246,measurable
MITM-ArpSpoofing,2027,0.9785,0.9763,0.0023,-0.1182826996543569,measurable
Mirai-greeth_flood,2110,0.9999,0.9993,0.0006,-0.0163299949074859,robust
Mirai-greip_flood,2153,0.9977,0.9985,-0.0008,-0.1720502770644683,robust
Mirai-udpplain,2120,0.9988,0.9994,-0.0006,-0.0746361746361745,robust
Recon-HostDiscovery,1410,0.9806,0.9712,0.0094,-0.6288067898152772,measurable
Recon-OSScan,1026,0.9311,0.9131,0.018,-0.1144732297063902,measurable
Recon-PingSweep,28,0.9368,0.9227,0.0141,0.0,floored
Recon-PortScan,816,0.9314,0.9202,0.0112,-0.2439976738389965,measurable
SqlInjection,68,0.8931,0.8869,0.0063,-0.0470139771283354,floored
Uploading_Attack,13,0.9545,0.8453,0.1093,-0.0212765957446808,floored
VulnerabilityScan,2199,0.9729,0.9632,0.0096,0.0903376797057839,measurable
XSS,43,0.9055,0.842,0.0635,-0.0277296360485268,floored
