label,recall_M0,recall_oneshot_noft,recall_prune80_ft,collapsed_oneshot,collapsed_prune80
DictionaryBruteForce,0.3276,0.0,0.2189,True,True
DDoS-HTTP_Flood,0.796,0.0,0.9778,True,False
DoS-HTTP_Flood,0.8669,0.0,0.2129,True,True
Recon-PortScan,0.2467,0.0,0.0027,True,True
Recon-OSScan,0.1145,0.0,0.0001,True,True
DDoS-UDP_Flood,0.7422,0.0,0.9967,True,False
Recon-HostDiscovery,0.7047,0.0005,0.0759,True,True
DoS-SYN_Flood,0.1644,0.0,0.0,True,True
DoS-UDP_Flood,0.6823,0.0,0.0,True,True
DNS_Spoofing,0.6128,0.0149,0.4624,True,True
MITM-ArpSpoofing,0.1251,0.0,0.0068,True,True
VulnerabilityScan,0.674,0.0,0.7644,True,False
BenignTraffic,0.6791,0.0,0.1785,True,True
