label,support,M0_class_effrank,comp_class_effrank,rank_change
Uploading_Attack,23,17.192,15.838,-1.354
Recon-PingSweep,41,29.595,26.361,-3.234
XSS,67,41.214,32.847,-8.367
Backdoor_Malware,70,43.126,33.691,-9.435
SqlInjection,93,51.305,41.626,-9.679
CommandInjection,95,32.322,29.264,-3.058
BrowserHijacking,100,41.538,31.297,-10.241
DictionaryBruteForce,221,65.787,33.667,-32.12
DDoS-SlowLoris,409,69.504,50.818,-18.686
DDoS-HTTP_Flood,459,63.746,49.036,-14.71
DoS-HTTP_Flood,1189,63.882,46.69,-17.192
Recon-PortScan,1287,78.727,54.743,-23.984
Recon-OSScan,1561,77.25,54.501,-22.749
DDoS-ICMP_Flood,1750,30.162,27.961,-2.201
DDoS-RSTFINFlood,1832,22.777,23.765,0.988
DDoS-TCP_Flood,1867,37.275,26.6,-10.675
DDoS-SynonymousIP_Flood,1904,33.834,30.547,-3.287
DDoS-UDP_Flood,1983,38.195,34.534,-3.661
DoS-TCP_Flood,2003,42.623,33.491,-9.132
DDoS-PSHACK_Flood,2035,30.386,26.608,-3.778
DDoS-SYN_Flood,2140,42.091,39.259,-2.832
Recon-HostDiscovery,2142,71.78,47.943,-23.837
DoS-SYN_Flood,2399,52.847,43.464,-9.383
DoS-UDP_Flood,2436,41.439,41.247,-0.192
DNS_Spoofing,2807,73.416,54.05,-19.366
MITM-ArpSpoofing,3041,63.526,44.008,-19.518
Mirai-udpplain,3167,56.453,45.241,-11.212
Mirai-greeth_flood,3171,55.47,40.926,-14.544
DDoS-ACK_Fragmentation,3230,62.567,45.434,-17.133
Mirai-greip_flood,3243,61.044,46.866,-14.178
DDoS-ICMP_Fragmentation,3276,63.651,48.19,-15.461
BenignTraffic,3306,68.492,50.768,-17.724
VulnerabilityScan,3320,76.954,58.444,-18.51
DDoS-UDP_Fragmentation,3333,59.658,48.02,-11.638
