strength,mean_target_recovery,macroF1_test,macroF1_delta,benign_FPR_proxy,n_other_classes_hurt
0.0,0.0,0.3377,0.0,0.0,0
0.25,0.2605,0.3735,0.0358,-0.2796,6
0.5,0.3976,0.2803,-0.0574,-0.2796,12
0.75,0.3711,0.1276,-0.2101,0.1764,14
1.0,0.3463,0.0515,-0.2862,0.1785,14
