label,recall_M0,recall_p80,drop,drop_ci_lo,drop_ci_hi,support_test
DoS-UDP_Flood,0.6823,0.0,0.6823,0.6762,0.6886,22308
DoS-HTTP_Flood,0.8669,0.2129,0.654,0.6452,0.6631,10723
Recon-HostDiscovery,0.7047,0.0759,0.6288,0.622,0.6355,20030
BenignTraffic,0.6791,0.1785,0.5006,0.4945,0.5068,29941
Recon-PortScan,0.2467,0.0027,0.244,0.2365,0.2512,12037
DoS-SYN_Flood,0.1644,0.0,0.1644,0.1594,0.169,21674
DNS_Spoofing,0.6128,0.4624,0.1504,0.1435,0.1569,26131
MITM-ArpSpoofing,0.1251,0.0068,0.1183,0.1146,0.122,27485
Recon-OSScan,0.1145,0.0001,0.1145,0.1095,0.1199,14475
DictionaryBruteForce,0.3276,0.2189,0.1087,0.0918,0.126,1960
VulnerabilityScan,0.674,0.7644,-0.0903,-0.0967,-0.084,29910
DDoS-HTTP_Flood,0.796,0.9778,-0.1818,-0.1931,-0.1695,4319
DDoS-UDP_Flood,0.7422,0.9967,-0.2546,-0.2605,-0.2482,18092
