support,baseline_recall,etf_cos_to_others,margin,sim_nearest_higher_freq,confusion_offdiag,pred_entropy,class,cell,delta_recall,tier
70.0,0.0,0.19924941658973694,-2.2873146533966064,0.9472248554229736,1.0,2.5627388954162598,Backdoor_Malware,prune50,0.0,floored
70.0,0.0,0.19924941658973694,-2.2873146533966064,0.9472248554229736,1.0,2.5627388954162598,Backdoor_Malware,prune80,-0.0041407867494824,floored
70.0,0.0,0.19924941658973694,-2.2873146533966064,0.9472248554229736,1.0,2.5627388954162598,Backdoor_Malware,distillation,-0.0041407867494824,floored
3306.0,0.6721113127646703,0.18354560434818268,0.4104631841182709,0.8648741841316223,0.3278886872353297,2.219165325164795,BenignTraffic,prune50,0.035603353261414,measurable
3306.0,0.6721113127646703,0.18354560434818268,0.4104631841182709,0.8648741841316223,0.3278886872353297,2.219165325164795,BenignTraffic,prune80,-0.5005844828162053,measurable
3306.0,0.6721113127646703,0.18354560434818268,0.4104631841182709,0.8648741841316223,0.3278886872353297,2.219165325164795,BenignTraffic,distillation,0.0382418756888547,measurable
100.0,0.01,0.15582434833049774,-2.60689640045166,0.9347395300865173,0.99,2.45395827293396,BrowserHijacking,prune50,-0.0115074798619103,floored
100.0,0.01,0.15582434833049774,-2.60689640045166,0.9347395300865173,0.99,2.45395827293396,BrowserHijacking,prune80,-0.0195627157652474,floored
100.0,0.01,0.15582434833049774,-2.60689640045166,0.9347395300865173,0.99,2.45395827293396,BrowserHijacking,distillation,-0.0184119677790564,floored
95.0,0.06315789473684211,0.16025947034358978,-2.012800931930542,0.8080860376358032,0.9368421052631578,2.200826644897461,CommandInjection,prune50,-0.0049443757725587,floored
95.0,0.06315789473684211,0.16025947034358978,-2.012800931930542,0.8080860376358032,0.9368421052631578,2.200826644897461,CommandInjection,prune80,-0.0630407911001236,floored
95.0,0.06315789473684211,0.16025947034358978,-2.012800931930542,0.8080860376358032,0.9368421052631578,2.200826644897461,CommandInjection,distillation,-0.0457354758961681,floored
3230.0,0.9696594427244583,-0.11967803537845612,6.338903903961182,0.5558789372444153,0.03034055727554197,0.36189600825309753,DDoS-ACK_Fragmentation,prune50,0.0003010234798316,robust
3230.0,0.9696594427244583,-0.11967803537845612,6.338903903961182,0.5558789372444153,0.03034055727554197,0.36189600825309753,DDoS-ACK_Fragmentation,prune80,-0.0519432737975784,robust
3230.0,0.9696594427244583,-0.11967803537845612,6.338903903961182,0.5558789372444153,0.03034055727554197,0.36189600825309753,DDoS-ACK_Fragmentation,distillation,-0.0044819051441568,robust
459.0,0.7930283224400871,-0.009454626590013504,1.5331584215164185,0.9129753112792969,0.20697167755991286,0.7116514444351196,DDoS-HTTP_Flood,prune50,0.0884463996295438,measurable
459.0,0.7930283224400871,-0.009454626590013504,1.5331584215164185,0.9129753112792969,0.20697167755991286,0.7116514444351196,DDoS-HTTP_Flood,prune80,0.181755035887937,measurable
