,n_pred_as,n_true,precision,ece_pred_side,overconf_gap_pred_side,mean_conf_on_true,frac_confidently_wrong
Backdoor_Malware,1.0,483.0,0.0,,0.17,0.4544,0.3188
BenignTraffic,9906.0,29941.0,0.5396,0.0932,-0.0796,0.446,0.211
BrowserHijacking,1.0,869.0,0.0,,0.3661,0.4468,0.2877
CommandInjection,2.0,809.0,0.0,,0.1332,0.485,0.487
DDoS-ACK_Fragmentation,27327.0,29898.0,0.9991,0.0681,-0.0681,0.9099,0.075
DDoS-HTTP_Flood,13127.0,4319.0,0.3217,0.4818,0.4818,0.9415,0.0144
DDoS-ICMP_Flood,28897.0,16224.0,0.5602,0.1384,0.1368,0.9971,0.0018
DDoS-ICMP_Fragmentation,36087.0,29928.0,0.8224,0.1146,0.1142,0.9904,0.0065
DDoS-PSHACK_Flood,18697.0,19316.0,0.9996,0.0677,-0.0677,0.9219,0.0244
DDoS-RSTFINFlood,16921.0,16819.0,0.9927,0.0043,0.0033,0.9985,0.001
DDoS-SYN_Flood,57652.0,19655.0,0.3203,0.4662,0.4662,0.7623,0.0559
DDoS-SlowLoris,0.0,3514.0,,,,0.7458,0.8779
DDoS-SynonymousIP_Flood,5083.0,17253.0,0.2038,0.2169,0.2169,0.7475,0.9352
DDoS-TCP_Flood,292.0,17168.0,0.5205,0.2046,-0.2037,0.3759,0.0707
DDoS-UDP_Flood,45037.0,18092.0,0.4004,0.485,0.485,0.9856,0.0027
DDoS-UDP_Fragmentation,32409.0,29875.0,0.9122,0.0532,0.0478,0.9886,0.0089
DNS_Spoofing,35856.0,26131.0,0.337,0.1142,0.1142,0.4885,0.2014
DictionaryBruteForce,574.0,1960.0,0.7474,0.2376,-0.2062,0.5218,0.3235
DoS-HTTP_Flood,2499.0,10723.0,0.9136,0.2734,-0.2734,0.6886,0.6513
DoS-SYN_Flood,0.0,21674.0,,,,0.8415,0.9951
DoS-TCP_Flood,2.0,18572.0,0.5,,0.0654,0.3391,0.0838
DoS-UDP_Flood,0.0,22308.0,,,,0.9237,0.975
MITM-ArpSpoofing,1135.0,27485.0,0.1639,0.2271,0.2271,0.5164,0.5828
Mirai-greeth_flood,33455.0,29455.0,0.8421,0.0904,0.0841,0.9808,0.0423
Mirai-greip_flood,41852.0,29596.0,0.5741,0.2226,0.0194,0.6813,0.1797
Mirai-udpplain,26356.0,28860.0,0.9995,0.102,-0.102,0.8745,0.0642
Recon-HostDiscovery,2159.0,20030.0,0.7045,0.2772,-0.2772,0.512,0.5008
Recon-OSScan,1.0,14475.0,1.0,,-0.4343,0.5474,0.5399
Recon-PingSweep,23.0,340.0,0.0,0.4919,0.4919,0.5782,0.6029
Recon-PortScan,77.0,12037.0,0.4286,0.1554,0.018,0.5745,0.6139
SqlInjection,0.0,787.0,,,,0.6083,0.6645
Uploading_Attack,1.0,188.0,0.0,,0.3552,0.4303,0.2713
VulnerabilityScan,113841.0,29910.0,0.2008,0.3516,0.3516,0.5995,0.0771
XSS,1.0,577.0,0.0,,0.1419,0.4424,0.2842
