corpus,architecture,model,parameters,flops_per_flow,params_mb,activations_mb_b256,latency_ms_b1_median,latency_ms_b1_p99,latency_ms_b256_median,latency_ms_b256_p99,size_kb,flops_per_flow_ratio,latency_ms_b1_median_ratio,latency_ms_b256_median_ratio,size_kb_ratio,parameters_ratio,activations_mb_b256_ratio
ciciot2023,shallow,dense,29730,2039680.0,0.120472,24.348672,0.2728394999849115,0.8043811599122804,24.97322700003224,30.699720819991384,122.3603515625,1.0,1.0,1.0,1.0,1.0,1.0
ciciot2023,shallow,random,18728,1224254.0,0.07612,18.904064,0.22448150002674083,0.30799114997307514,18.434930000012173,21.646285299939336,79.6728515625,0.6002186617508629,0.8227602676267733,0.7381877400140708,0.6511329082100928,0.6299360914900773,0.776389940280932
ciciot2023,shallow,magnitude,19590,1214596.0,0.079704,21.07392,0.23046950002481026,0.38650874004133534,16.748717500036037,21.21450239997784,82.7978515625,0.5954836052714151,0.8447072364432409,0.6706669306299268,0.676672226789149,0.6589303733602422,0.865505929851123
ciciot2023,shallow,taylor,18488,1221632.0,0.075136,18.520064,0.23371099985070032,0.6905840198760411,11.153422999882423,12.935701739979775,78.4228515625,0.5989331659868214,0.8565878469342779,0.44661520915450875,0.6409171807784704,0.6218634376051126,0.7606190596349567
ciciot2023,shallow,fisher,18023,1225532.0,0.073236,17.874944,0.23743700000977697,0.5005845698178744,11.517728000058014,13.864900939975085,76.3603515625,0.6008452306244116,0.8702442279175399,0.46120303155227577,0.6240612305162933,0.6062226707029936,0.7341239801497181
ciciot2023,shallow,saber_v2,18040,1229646.0,0.073304,17.87392,0.2729079999426176,0.8814831399536159,11.350996999908602,13.00280817001976,76.4228515625,0.6028622136805774,1.0002510631990964,0.4545266416668518,0.6245720168878744,0.6067944836865119,0.7340819244679956
ciciot2023,deep,dense,182690,7946624.0,0.7354,50.694144,0.6465325000135635,0.9838054999022455,55.04255099992861,60.86824396004657,725.9033203125,1.0,1.0,1.0,1.0,1.0,1.0
ciciot2023,deep,random,109756,4764960.0,0.44268,40.460288,0.5306005000420555,0.9301861600215486,39.813198500041835,43.87017107997053,440.7158203125,0.5996206691042636,0.8206865084600141,0.7233167390823415,0.6071274341640601,0.6007772729760797,0.7981254797398295
ciciot2023,deep,magnitude,127355,4761584.0,0.51298,32.242688,0.5309945000817606,0.8858301098780429,35.253430000011576,38.208936680102845,509.2158203125,0.599195834608508,0.8212959133077161,0.6404759474185218,0.7014926176302425,0.6971098582297882,0.6360239162929746
ciciot2023,deep,taylor,102063,4744654.0,0.411676,40.208384,0.5466195000281004,1.1732254599746705,38.153339000018605,57.87089637991357,410.4033203125,0.5970653701496383,0.8454632984678001,0.6931608057204341,0.5653691184878754,0.5586676884339592,0.7931563850846363
ciciot2023,deep,fisher,102055,4754094.0,0.41154,39.008256,0.521223500072665,0.8741065000981499,37.012464999975236,44.24675742003501,410.0908203125,0.598253295990851,0.8061829839361986,0.6724336777200468,0.5649386203881209,0.5586238984071378,0.7694824869712762
ciciot2023,deep,saber_v2,96904,4760544.0,0.390672,38.170624,0.5125039999711589,0.6160820700574731,36.16725100005169,40.37564449005003,389.7158203125,0.5990649614226117,0.792696422779067,0.6570780304150257,0.5368701442841287,0.5304285948875144,0.7529592372641699
iomt2024,shallow,dense,27795,2233984.0,0.112732,26.692608,0.26567700001578487,0.5290314300259523,25.801544000046306,35.82852641989575,114.7978515625,1.0,1.0,1.0,1.0,1.0,1.0
