tag,architecture,unit,eval_b2a,batch_b2a,eval_family_f1,eval_awbir,is_collapse,bn_var_max
pruned/shallow/fisher/s307,shallow,1,0.04,0.04525,0.6454388367511256,0.10099261317686299,False,0.3974641263484955
pruned/shallow/fisher/s307,shallow,2,0.01825,0.006,0.6070874733918371,0.1081437655594388,False,0.377566933631897
pruned/shallow/fisher/s307,shallow,3,0.009,0.00275,0.6001541414836729,0.10712972933151316,False,0.48690199851989746
pruned/shallow/fisher/s307,shallow,4,1.0,0.003,0.2138778194717133,0.1859999749486075,True,1.4113870859146118
pruned/shallow/fisher/s307,shallow,5,0.0025,0.001,0.6080062608615625,0.10955892636932933,False,0.3891841471195221
pruned/shallow/fisher/s307,shallow,6,0.00025,0.0005,0.6026852876232113,0.10800469349538126,False,0.39980757236480713
pruned/shallow/fisher/s307,shallow,7,0.00025,0.00075,0.5872587510079694,0.10886187049069039,False,0.4238100051879883
pruned/shallow/fisher/s307,shallow,8,1.0,0.00275,0.2025110076636876,0.2676254752110874,True,1.5333285331726074
pruned/shallow/saber_v2/s307,shallow,1,0.02975,0.03725,0.6763347498361544,0.08880110037508238,False,0.4042663872241974
pruned/shallow/saber_v2/s307,shallow,2,0.00925,0.007,0.6275738594879292,0.09792193294859652,False,0.38080665469169617
pruned/shallow/saber_v2/s307,shallow,3,0.00475,0.003,0.5848467702362941,0.1266232443989293,False,0.48668479919433594
pruned/shallow/saber_v2/s307,shallow,4,0.41675,0.001,0.3217670444404519,0.34554769959245424,True,1.3661071062088013
pruned/shallow/saber_v2/s307,shallow,5,0.00125,0.0015,0.5985795584965259,0.10162440163693605,False,0.38900113105773926
pruned/shallow/saber_v2/s307,shallow,6,0.001,0.00075,0.6208629465070404,0.09713931396233084,False,0.39777329564094543
pruned/shallow/saber_v2/s307,shallow,7,0.0005,0.001,0.5708212235502931,0.11256212540770605,False,0.4265635311603546
pruned/shallow/saber_v2/s307,shallow,8,0.81675,0.00075,0.24581850427176788,0.28041420849377496,True,1.4577714204788208
pruned/deep/fisher/s401,deep,1,0.0,0.0,0.5682311257968797,0.13952883466858657,False,5.160311698913574
pruned/deep/fisher/s401,deep,2,0.41,0.0,0.41109279259547366,0.13935997055880234,True,6.238556385040283
pruned/deep/fisher/s401,deep,3,0.0,0.0,0.5870616557488214,0.06708661925570665,False,5.278719902038574
pruned/deep/fisher/s401,deep,4,0.00025,0.00075,0.6026027767609637,0.03217289659257879,False,4.561915397644043
pruned/deep/fisher/s401,deep,5,0.0,0.0,0.6116233394969037,0.0495680573426563,False,4.459721565246582
pruned/deep/fisher/s401,deep,6,0.0,0.0,0.6371650069593351,0.038410996099043186,False,4.932578086853027
pruned/deep/saber_v2/s401,deep,1,0.00025,0.00025,0.6345925276068003,0.03717574883018491,False,8.901362419128418
pruned/deep/saber_v2/s401,deep,2,0.39725,0.0,0.42960357075664296,0.11048790965114756,True,9.780230522155762
pruned/deep/saber_v2/s401,deep,3,0.00025,0.001,0.596761887785386,0.03936064245904036,False,9.406031608581543
pruned/deep/saber_v2/s401,deep,4,0.00025,0.001,0.572487570848951,0.03468851524988179,False,9.966002464294434
pruned/deep/saber_v2/s401,deep,5,0.00075,0.001,0.5779311685467792,0.06689363760764636,False,11.662446975708008
pruned/deep/saber_v2/s401,deep,6,0.0,0.0,0.5960357825630068,0.08526186104552001,False,11.725090026855469
dense/shallow/s307,shallow,1,0.008,0.007,0.6623964290847049,0.08893319379413624,False,0.7322349548339844
dense/shallow/s307,shallow,2,0.00625,0.003,0.6254082090950064,0.0950488816575632,False,0.6391541957855225
dense/shallow/s307,shallow,3,0.00325,0.0025,0.5645496677579053,0.11355347247951841,False,0.7358516454696655
dense/shallow/s307,shallow,4,1.0,0.00125,0.19223030156108314,0.1335216210126074,True,1.3587929010391235
dense/shallow/s307,shallow,5,0.00225,0.00025,0.6126479594892784,0.09931114719655697,False,0.8607469797134399
dense/shallow/s307,shallow,6,0.00025,0.001,0.6087484685500479,0.10739977368455975,False,0.6810914874076843
dense/shallow/s307,shallow,7,0.00175,0.0005,0.6055025823236553,0.10817121579326057,False,0.737579882144928
dense/shallow/s307,shallow,8,1.0,0.00075,0.16797615492089418,0.13175526526365886,True,1.4440882205963135
dense/deep/s401,deep,1,0.0,0.0,0.5778587368439563,0.09308835839131893,False,11.281658172607422
dense/deep/s401,deep,2,0.22575,0.0,0.5239883833438451,0.13430767417199055,True,12.123311042785645
dense/deep/s401,deep,3,0.0,0.0005,0.5680492063392317,0.08189239605814021,False,13.546354293823242
dense/deep/s401,deep,4,0.0,0.0,0.6453299611410516,0.03536553367004164,False,15.13542366027832
dense/deep/s401,deep,5,0.0,0.00075,0.5708011132993625,0.11674874928541885,False,14.450758934020996
dense/deep/s401,deep,6,0.00025,0.0,0.5632669506708211,0.08750263083945099,False,14.204497337341309
