tag,architecture,unit,eval_b2a,batch_b2a,eval_family_f1,eval_awbir,is_collapse,bn_var_max
unweighted/shallow/fisher/s307,shallow,1,0.0105,0.038,0.5198580419763387,0.27397030804227895,False,0.3944937288761139
unweighted/shallow/fisher/s307,shallow,2,0.00125,0.00475,0.5421599551257634,0.18678032744581471,False,0.37765926122665405
unweighted/shallow/fisher/s307,shallow,3,0.00325,0.002,0.5518290433935338,0.1512709686441282,False,0.4905242621898651
unweighted/shallow/fisher/s307,shallow,4,1.0,0.002,0.18730645517899908,0.2240189908678727,True,1.3830920457839966
unweighted/shallow/fisher/s307,shallow,5,0.002,0.0035,0.557129177757568,0.14460030574849653,False,0.3981843888759613
unweighted/shallow/fisher/s307,shallow,6,0.0,0.0005,0.5770046032514968,0.14441488927261395,False,0.4164712727069855
unweighted/shallow/fisher/s307,shallow,7,0.00025,0.0005,0.5784131820559074,0.15680353402525038,False,0.44196927547454834
unweighted/shallow/fisher/s307,shallow,8,1.0,0.00125,0.15080402763554165,0.24879094696595716,True,1.5219663381576538
unweighted/shallow/saber_v2/s307,shallow,1,0.01425,0.037,0.5254374752129868,0.28209492355665167,False,0.4021187126636505
unweighted/shallow/saber_v2/s307,shallow,2,0.00575,0.0055,0.5257879842082368,0.22149795702198533,False,0.37411215901374817
unweighted/shallow/saber_v2/s307,shallow,3,0.00275,0.002,0.5279636479146383,0.2126867363457965,False,0.4808773398399353
unweighted/shallow/saber_v2/s307,shallow,4,0.6205,0.00125,0.31343859362779064,0.3534430829463214,True,1.3826262950897217
unweighted/shallow/saber_v2/s307,shallow,5,0.003,0.00175,0.5295776229368057,0.17826854991131888,False,0.37872546911239624
unweighted/shallow/saber_v2/s307,shallow,6,0.0065,0.012,0.5578186730872189,0.1522889973931921,False,0.38280168175697327
unweighted/shallow/saber_v2/s307,shallow,7,0.00225,0.0005,0.5387902325146722,0.1628429086747682,False,0.40916597843170166
unweighted/shallow/saber_v2/s307,shallow,8,0.9695,0.00125,0.1708842575069905,0.33952918607955396,True,1.517540693283081
unweighted/deep/fisher/s401,deep,1,0.0005,0.0005,0.5779129921257984,0.15495444627200478,False,5.209806442260742
unweighted/deep/fisher/s401,deep,2,0.27275,0.0,0.46667707114594936,0.1263234420070145,True,5.702056884765625
unweighted/deep/fisher/s401,deep,3,0.0,0.0,0.5578768474813453,0.13710085802980154,False,5.3704752922058105
unweighted/deep/fisher/s401,deep,4,0.00025,0.0,0.5836237371969669,0.07300107483174287,False,5.279881477355957
unweighted/deep/fisher/s401,deep,5,0.0,0.00025,0.5938528889045531,0.09240531702256861,False,5.51706075668335
unweighted/deep/fisher/s401,deep,6,0.0,0.0,0.6001693860814004,0.08528239780758422,False,5.456954002380371
unweighted/deep/saber_v2/s401,deep,1,0.00025,0.00025,0.5361542334405756,0.13745858817152656,False,8.827034950256348
unweighted/deep/saber_v2/s401,deep,2,0.41775,0.0,0.43752734621671013,0.12663807094082935,True,11.11024284362793
unweighted/deep/saber_v2/s401,deep,3,0.00025,0.00025,0.5517588548154776,0.13169777227726884,False,10.895153999328613
unweighted/deep/saber_v2/s401,deep,4,0.0005,0.00025,0.5090661142017381,0.1209164613261156,False,10.998273849487305
unweighted/deep/saber_v2/s401,deep,5,0.0,0.0,0.5812734395957339,0.10969182344317824,False,11.544973373413086
unweighted/deep/saber_v2/s401,deep,6,0.0,0.0,0.5785996290816819,0.1109209959501354,False,11.36471176147461
