tag,architecture,unit,eval_b2a,batch_b2a,eval_family_f1,eval_awbir,is_collapse,bn_var_max
pruned/shallow/fisher/s307,shallow,1,0.04125,0.047,0.641134624440981,0.0947047277272415,False,0.2905683219432831
pruned/shallow/fisher/s307,shallow,2,0.0195,0.01675,0.6343954864987307,0.10270563787822344,False,0.29906758666038513
pruned/shallow/fisher/s307,shallow,3,0.017,0.0045,0.5775582066264597,0.11369885617766848,False,0.2970111668109894
pruned/shallow/fisher/s307,shallow,4,0.0025,0.00325,0.595983981658905,0.10871704431739154,False,0.3010920286178589
pruned/shallow/fisher/s307,shallow,5,0.0045,0.00275,0.613303195693189,0.10881787545295839,False,0.3021235466003418
pruned/shallow/fisher/s307,shallow,6,0.00075,0.001,0.6295517942216576,0.11005684096016924,False,0.30203890800476074
pruned/shallow/fisher/s307,shallow,7,0.00275,0.0015,0.5986693475981181,0.1046235620783283,False,0.31129416823387146
pruned/shallow/fisher/s307,shallow,8,0.00175,0.00275,0.6402154790119786,0.10835263736838509,False,0.3068336546421051
pruned/shallow/saber_v2/s307,shallow,1,0.02675,0.044,0.6701602809962085,0.07345274134364092,False,0.29945874214172363
pruned/shallow/saber_v2/s307,shallow,2,0.01675,0.00675,0.6274984974186723,0.10308088951888664,False,0.3041122257709503
pruned/shallow/saber_v2/s307,shallow,3,0.005,0.00525,0.639689484385435,0.09270325428150217,False,0.297840416431427
pruned/shallow/saber_v2/s307,shallow,4,0.00225,0.00275,0.561705735136499,0.12183977792763159,False,0.30088722705841064
pruned/shallow/saber_v2/s307,shallow,5,0.0045,0.00425,0.6010727335136482,0.0985790624959643,False,0.2998792231082916
pruned/shallow/saber_v2/s307,shallow,6,0.00175,0.001,0.589720702437447,0.10516917040422837,False,0.2974083125591278
pruned/shallow/saber_v2/s307,shallow,7,0.00325,0.0025,0.6014435003773981,0.1124197825528307,False,0.3035900890827179
pruned/shallow/saber_v2/s307,shallow,8,0.00525,0.0025,0.5965093820784422,0.11239177046339915,False,0.299580842256546
pruned/deep/fisher/s401,deep,1,0.0,0.00025,0.65492221607242,0.03446554774599952,False,4.767721652984619
pruned/deep/fisher/s401,deep,2,0.0,0.0,0.5867745328461835,0.07888685599300455,False,4.5250091552734375
pruned/deep/fisher/s401,deep,3,0.0,0.0,0.5651627211497637,0.09317263555482086,False,4.602724552154541
pruned/deep/fisher/s401,deep,4,0.0,0.0,0.6118916793175531,0.05151692711028931,False,4.802786827087402
pruned/deep/fisher/s401,deep,5,0.0,0.0,0.5862256787998974,0.06832804515793497,False,4.696268081665039
pruned/deep/fisher/s401,deep,6,0.0,0.0,0.6225760406565208,0.0523654916523841,False,4.771951198577881
pruned/deep/saber_v2/s401,deep,1,0.0,0.00025,0.6290968317546405,0.03327810107659726,False,8.469374656677246
pruned/deep/saber_v2/s401,deep,2,0.0,0.0,0.6009606567201211,0.043039682034684286,False,8.492500305175781
pruned/deep/saber_v2/s401,deep,3,0.0,0.00025,0.5703059566113837,0.057382651832066256,False,9.275235176086426
pruned/deep/saber_v2/s401,deep,4,0.0,0.0005,0.6066556428164133,0.06379892435058382,False,10.15915298461914
pruned/deep/saber_v2/s401,deep,5,0.0,0.00075,0.5854484368632688,0.06067016942557309,False,11.252999305725098
pruned/deep/saber_v2/s401,deep,6,0.0,0.0,0.609592214963823,0.0700615054492895,False,10.503080368041992
dense/shallow/s307,shallow,1,0.006,0.00775,0.679755208870434,0.07258176440401924,False,0.45551738142967224
dense/shallow/s307,shallow,2,0.00175,0.00325,0.6500248643124854,0.10199535462717906,False,0.6359676718711853
dense/shallow/s307,shallow,3,0.0025,0.002,0.5894938896181297,0.1169394650241559,False,0.49063995480537415
dense/shallow/s307,shallow,4,0.0015,0.00075,0.5837704405034424,0.10804552514449031,False,0.6031133532524109
dense/shallow/s307,shallow,5,0.001,0.00025,0.5808435267475985,0.12280536048378182,False,0.5746330618858337
dense/shallow/s307,shallow,6,0.00075,0.0005,0.6376716674532937,0.10042306677131115,False,0.551910936832428
dense/shallow/s307,shallow,7,0.0005,0.0,0.6131057162038105,0.10748102911650532,False,0.42527201771736145
dense/shallow/s307,shallow,8,0.00225,0.00075,0.6391312063602498,0.10506512264025145,False,0.47127771377563477
dense/deep/s401,deep,1,0.0,0.00025,0.6257495588659672,0.05575503175353086,False,8.096050262451172
dense/deep/s401,deep,2,0.0,0.0,0.5597551283331259,0.12135435967525716,False,8.774930953979492
dense/deep/s401,deep,3,0.0,0.00125,0.5550222594400154,0.12461712995547579,False,8.136326789855957
dense/deep/s401,deep,4,0.0,0.00025,0.6194117256226386,0.05574100313146378,False,8.776460647583008
dense/deep/s401,deep,5,0.0,0.0005,0.6082179301491792,0.07117754273017425,False,9.112608909606934
dense/deep/s401,deep,6,0.0,0.0,0.566444211698356,0.15801356058797078,False,9.148189544677734
