architecture,method,budget,b2a_before,b2a_batchstats,b2a_after,a2b_before,a2b_after,family_f1_before,family_f1_after,hsr_balanced_before,hsr_balanced_after
shallow,random,0.25,0.973,0.80525,0.9045,0.00039802126570762493,0.01111616534940581,0.2905329246436693,0.39534633199631475,0.3034057084421395,0.22591077591716732
shallow,random,0.4,0.9665,0.61775,0.7015,0.0018100490892894374,0.024241390420954873,0.22617492963141902,0.36991256310366427,0.40433702817698725,0.2699950694837567
shallow,random,0.55,0.99925,0.5905,0.66875,0.0015731316692253747,0.0579689543412748,0.13670570056269582,0.2896065417968273,0.45769069228100295,0.34729825971037787
shallow,magnitude,0.25,1.0,0.816,0.95525,6.633687761793749e-05,0.009779951100244499,0.08435317316741187,0.359876042468839,0.5303372838333851,0.2388816858713318
shallow,magnitude,0.4,1.0,0.948,0.9795,0.0,0.004454047497204374,0.047885019589470314,0.3048042817453274,0.5348934460656307,0.31374335749895
shallow,magnitude,0.55,1.0,0.987,0.9995,0.0,0.0007012755633896249,0.03851643893185471,0.25853915185255794,0.5547068168952356,0.34387246397983967
shallow,taylor,0.25,0.93775,0.3775,0.54425,0.011864824396808249,0.04509960008339493,0.34415052281682756,0.4741117262947782,0.29910337649056806,0.19666368400869233
shallow,taylor,0.4,0.966,0.55925,0.774,0.009476696802562499,0.024175053543336933,0.25735805857833277,0.42612803951806755,0.39284892533007065,0.20059896641770605
shallow,taylor,0.55,0.99975,0.8835,0.96625,0.00015162714884099998,0.009808381190652186,0.06685240088888017,0.3688113026454302,0.5449078723909351,0.2463523310385128
shallow,fisher,0.25,0.6025,0.42825,0.51975,0.02913136597107712,0.03974526638994712,0.49736875818967463,0.5184028231148364,0.17314694764522195,0.18167674074615145
shallow,fisher,0.4,0.628,0.36925,0.39,0.025350163946854683,0.05541024620458293,0.5114794765612651,0.4916839809352639,0.18301711071748142,0.1983144938916382
shallow,fisher,0.55,0.9265,0.35,0.4685,0.024411970963400996,0.05345804666325506,0.301003418830023,0.4551867908399603,0.35398002227862896,0.21733350377093186
shallow,saber_v2,0.25,0.7065,0.50425,0.6595,0.02897973882223612,0.032021758495858685,0.49398037103326115,0.5051895781690354,0.16379722795420099,0.17026533481857525
shallow,saber_v2,0.4,0.89725,0.72475,0.83775,0.017958340440855935,0.02320843046947556,0.46411956626980516,0.4800838703587273,0.1941016416792973,0.18945599970782126
shallow,saber_v2,0.55,0.853,0.73025,0.80025,0.03935672182104206,0.04141316502719812,0.45393074838617953,0.47165785167112684,0.2177553368273041,0.20066470663428354
deep,random,0.4,0.99975,0.5335,0.525,0.00045488144652299997,0.03147211008131006,0.2421576126742941,0.5362334965069454,0.3506619674585928,0.21935866766494402
deep,magnitude,0.4,1.0,0.488,0.47375,0.0,0.03412558518602756,0.06723723647231633,0.3359828625950974,0.4191632731323387,0.34862219462756344
deep,taylor,0.4,0.19675,0.0025,0.002,0.027529804211444058,0.056149428555182804,0.5168817214484864,0.5572311072922926,0.21221672358065047,0.19721699749821953
deep,fisher,0.4,0.5855,0.4415,0.421,0.008860711510395936,0.019313508083622373,0.4746219927171988,0.5152185305179416,0.2279742882708497,0.2180785595588101
deep,saber_v2,0.4,0.0015,0.01,0.00525,0.08664543886582893,0.07603153844695892,0.49103751507231613,0.5566240905080572,0.24400759664724894,0.21632731323387083
