architecture,method,regime,seed,raw_b2a,raw_family_f1,raw_awbir,raw_hsr_balanced,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_awbir,trained_ece,trained_hsr_miss,trained_hsr_balanced,trained_hsr_fatigue,trained_teacher_correction_family,trained_teacher_degradation_family,trained_recall_malware,trained_recall_benign,trained_recall_web_application,trained_recall_ddos,trained_recall_spoofing_mitm,trained_recall_brute_force,trained_recall_dos,trained_recall_mirai,trained_recall_reconnaissance,batch_b2a,batch_family_f1,batch_awbir,batch_hsr_balanced,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_awbir,recal_ece,recal_hsr_miss,recal_hsr_balanced,recal_hsr_fatigue,recal_teacher_correction_family,recal_teacher_degradation_family,recal_recall_malware,recal_recall_benign,recal_recall_web_application,recal_recall_ddos,recal_recall_spoofing_mitm,recal_recall_brute_force,recal_recall_dos,recal_recall_mirai,recal_recall_reconnaissance,trained_is_collapse
shallow,random,minimal_ce,101,0.9665,0.22617492963141902,0.43030784332930294,0.40433702817698725,0.04125,0.04148897860161862,0.5975122384447187,0.543410725411538,0.11266568985464509,0.06372122840029722,0.1382286968219475,0.15833165939263344,0.13567685031317908,0.08132612625773818,0.08527053925238764,0.1644993498049415,0.95875,0.0934622467771639,0.955276339605169,0.6835,0.295048494129658,0.5465,0.9905,0.7287471693494094,0.0215,0.6204666576346507,0.10094403317387357,0.1536659301327587,0.03025,0.04578192225317943,0.6101357296770709,0.542355477143224,0.10881757664337215,0.0641047604802766,0.14067873730087713,0.16032395317835685,0.13715965742042696,0.08475922645678494,0.08765362210332171,0.19375812743823148,0.96975,0.15976058931860038,0.964178978827293,0.732875,0.32465543644716693,0.521375,0.9905,0.6925148417895832,False
shallow,random,minimal_ce,211,0.9665,0.22617492963141902,0.43030784332930294,0.40433702817698725,0.03925,0.04106252724550331,0.607699499459497,0.539252693331693,0.11656822726385122,0.07902846184748286,0.13824847975749163,0.15841566078048247,0.13612516206789504,0.0856266320921824,0.08597359434634137,0.17685305591677503,0.96075,0.11786372007366483,0.9627688681230795,0.757375,0.41449719244512506,0.526625,0.992,0.6940449231899137,0.033,0.6405591517165977,0.09193980395258809,0.14539909789813918,0.03525,0.040531832224559805,0.6294917126235777,0.5524546418423406,0.1103378859010145,0.06852690484224211,0.13656084317914818,0.15644893263453918,0.13435474151312066,0.08713317872208323,0.08529793100929493,0.25097529258777634,0.96475,0.2007366482504604,0.9632739824051858,0.753125,0.38437978560490044,0.538625,0.9919166666666667,0.6822326947793622,False
shallow,random,minimal_ce,307,0.9665,0.22617492963141902,0.43030784332930294,0.40433702817698725,0.0135,0.045412331077879495,0.6173077555302269,0.5614582593273939,0.0930774469012045,0.04774251857155602,0.13703639451434416,0.15584083563119738,0.13308102481693176,0.08322528806997681,0.07937218093168495,0.32249674902470743,0.9865,0.09484346224677716,0.9498884539293682,0.689,0.3460949464012251,0.6491875,0.991,0.6650957830956606,0.019,0.6609560580558597,0.07754412074301682,0.13722539763700442,0.029,0.033016811660127744,0.6363001480946424,0.5643777004960898,0.1004148035844409,0.044142092304955916,0.12883712861342925,0.14856010664524022,0.12781906831504172,0.08719709282153357,0.07792954840123445,0.28738621586475943,0.971,0.18232044198895028,0.9586227217241234,0.709,0.3731495661051557,0.5823125,0.9906666666666667,0.7241569251484179,False
shallow,random,minimal_ce,401,0.9665,0.22617492963141902,0.43030784332930294,0.40433702817698725,0.03925,0.04527965732264362,0.5779743507455044,0.5289519863558793,0.12653780845726845,0.08995620324160392,0.14710666958845406,0.16823286645605448,0.14416920801300195,0.08196526725224156,0.09598071620313726,0.0988296488946684,0.96075,0.08609576427255985,0.9519930967714779,0.637375,0.2685043389484431,0.53075,0.9923333333333333,0.7173021604749372,0.0295,0.6283188535726317,0.09167306701757075,0.1532806194189295,0.05125,0.03762248630617312,0.614568719033397,0.5539187689791073,0.10954338310179251,0.07069158793615998,0.13696258894712174,0.1576669527583499,0.135627545150746,0.08368181735176494,0.08702361169445408,0.1892067620286086,0.94875,0.20257826887661143,0.956581218167277,0.7235,0.296579887697805,0.5565,0.9916666666666667,0.6841911989717853,False
shallow,random,minimal_ce,503,0.9665,0.22617492963141902,0.43030784332930294,0.40433702817698725,0.0115,0.05172381114838612,0.6165635284128235,0.5385358114574599,0.12658870094111876,0.09213308027675476,0.1503077007359252,0.17052829568488523,0.1454027501323935,0.08464965942915578,0.09800770621427658,0.26527958387516254,0.9885,0.2767034990791897,0.9663257145262449,0.708,0.2884124553343543,0.48825,0.992,0.6371258950976192,0.0305,0.6367006921062937,0.0976464740751296,0.1458720622340717,0.02825,0.035784007126475996,0.6219400910528767,0.5435340005267877,0.11847845643751215,0.08229904295529131,0.1374039005861836,0.15829878928434468,0.13591698471539965,0.08582750497616917,0.09016453315315644,0.2555266579973992,0.97175,0.21685082872928177,0.9629582859788693,0.742125,0.29249617151607965,0.492875,0.99225,0.6984515576228655,False
shallow,magnitude,minimal_ce,101,1.0,0.047885019589470314,0.5503774840251935,0.5348934460656307,0.02825,0.044910066147343684,0.5853909327808512,0.5003485471045995,0.12995365580324209,0.11692829487566107,0.15349047071212482,0.17584412264202626,0.1511422362630339,0.07951827030185717,0.09826336261207794,0.14629388816644995,0.97175,0.1514732965009208,0.9703876752115166,0.75175,0.3215926493108729,0.4831875,0.9905833333333334,0.6017504131219781,0.0225,0.624171107517093,0.09850051905855821,0.1579445225616771,0.014,0.051212069521047746,0.6018421062998756,0.5104110768010448,0.12442828939814093,0.11323873330689446,0.15297687527011317,0.1738573072076843,0.14904037544968135,0.08618359781596392,0.09740508756231625,0.18725617685305593,0.986,0.20303867403314918,0.966788735951509,0.6145,0.3118938233792751,0.5165625,0.9914166666666666,0.6835179631556398,False
shallow,magnitude,minimal_ce,211,1.0,0.047885019589470314,0.5503774840251935,0.5348934460656307,0.022,0.03715812816284756,0.639190150604273,0.5347562329485617,0.1059358278821981,0.08069128085303863,0.13872555285696023,0.15955150563357134,0.13768010080166543,0.08659447416957324,0.08336224685451325,0.5162548764629389,0.978,0.19797421731123388,0.957233657448331,0.703125,0.3067891781521184,0.5859375,0.9911666666666666,0.6693188077605728,0.02025,0.6358849511488895,0.07988405566037235,0.14902028816128265,0.0165,0.042882053031595306,0.6236827119399474,0.5307962692936427,0.1207920395887293,0.09434821366390604,0.14644698477627022,0.16765398732674713,0.143990248534541,0.08542575920819562,0.09359763335220321,0.38751625487646296,0.9835,0.21178637200736647,0.9609378288504441,0.682875,0.3042368555385401,0.530625,0.9908333333333333,0.6556704816696248,False
shallow,magnitude,minimal_ce,307,1.0,0.047885019589470314,0.5503774840251935,0.5348934460656307,0.0245,0.045213320445025684,0.6387430652166213,0.5524256934915517,0.10004885678140267,0.05783020771802612,0.13894468691221853,0.15828965869870895,0.1361689888789467,0.08394660433520205,0.07590255839009515,0.2672301690507152,0.9755,0.3001841620626151,0.9608536431367597,0.623875,0.38284839203675347,0.6235,0.9900833333333333,0.6952077850541649,0.02825,0.6661461502394102,0.0668215334387791,0.1342689140081445,0.03125,0.036381039025037434,0.64418487176606,0.5481766892377556,0.09607830083776313,0.06922002242923947,0.13395406098013793,0.15407680648636804,0.13324720147550265,0.08689578349555341,0.07568342433483684,0.28023407022106633,0.96875,0.2767034990791897,0.95548680388938,0.66875,0.3660030627871363,0.630875,0.9914166666666666,0.7074484362568089,False
shallow,magnitude,minimal_ce,401,1.0,0.047885019589470314,0.5503774840251935,0.5348934460656307,0.0255,0.04061712249578287,0.6192100053188987,0.5516665208960329,0.1323225433770676,0.07175138004844667,0.14043297237084787,0.160972224758496,0.13802980223151512,0.08471357352860613,0.08949800040174577,0.19700910273081926,0.9745,0.2223756906077348,0.9628951466936061,0.674375,0.29606942317508933,0.520125,0.9919166666666667,0.7060407613685048,0.0255,0.6697825147754035,0.0813760059763926,0.14211391318639177,0.02075,0.04259775212751843,0.6387461366975484,0.558726202924554,0.1268668070988814,0.07699511036385796,0.1410850483616686,0.16132101312978214,0.13806267233980388,0.08595533317506984,0.09112324464491152,0.2925877763328999,0.97925,0.3052486187845304,0.9635686324030812,0.701125,0.3042368555385401,0.5258125,0.9914166666666666,0.6610563681987882,False
shallow,magnitude,minimal_ce,503,1.0,0.047885019589470314,0.5503774840251935,0.5348934460656307,0.02475,0.04710865980553818,0.6070477697954806,0.5131575255778783,0.13230645291364695,0.11145963741246599,0.1545404880602375,0.1766421358265919,0.15159054801774985,0.0805591570643341,0.10004382681105166,0.2665799739921977,0.97525,0.2094843462246777,0.9752914930336322,0.729125,0.3124042879019908,0.4790625,0.99075,0.5787379888610074,0.039,0.6394061570054423,0.08905248356461781,0.14802870656123884,0.02475,0.042872576334792745,0.616449751304704,0.5121581620109591,0.12927987390215617,0.11093420193678964,0.14853256271190568,0.1702488997644309,0.14667007541863736,0.0844031336169902,0.09324154051240846,0.24642392717815345,0.97525,0.214548802946593,0.9682198930841436,0.681625,0.3067891781521184,0.506625,0.9905833333333334,0.6689515882244935,False
