architecture,regime,normalisation,contrast,mean,ci_lo,ci_hi
shallow,minimal_ce,trained,random-magnitude,-0.0050258926678938805,-0.017446439175246815,0.007394653839459053
shallow,minimal_ce,trained,random-taylor,0.009216268992348758,-0.0026943170408764375,0.021126855025573953
shallow,minimal_ce,trained,random-fisher,0.008690859907393638,-0.011870563848009733,0.02925228366279701
shallow,minimal_ce,trained,random-saber_v2,0.011818864877905738,-0.0002276599581284549,0.02386538971393993
shallow,minimal_ce,trained,magnitude-taylor,0.014242161660242638,-0.007534438804335474,0.03601876212482075
shallow,minimal_ce,trained,magnitude-fisher,0.01371675257528752,-0.01387371043391983,0.04130721558449487
shallow,minimal_ce,trained,magnitude-saber_v2,0.01684475754579962,0.006830273238387429,0.02685924185321181
shallow,minimal_ce,trained,taylor-fisher,-0.0005254090849551197,-0.016918774204540767,0.015867956034630527
shallow,minimal_ce,trained,taylor-saber_v2,0.00260259588555698,-0.013584849998262519,0.01879004176937648
shallow,minimal_ce,trained,fisher-saber_v2,0.0031280049705120993,-0.016120442679297076,0.02237645262032127
shallow,minimal_ce,recal,random-magnitude,-0.00997064103150774,-0.0205684943851598,0.0006272123221443219
shallow,minimal_ce,recal,random-taylor,0.0029176165769156798,-0.0051510948819987485,0.010986328035830108
shallow,minimal_ce,recal,random-fisher,0.005886538492979343,-0.004537896454879576,0.01631097344083826
shallow,minimal_ce,recal,random-saber_v2,0.012335288926369665,0.004517062979490441,0.020153514873248887
shallow,minimal_ce,recal,magnitude-taylor,0.01288825760842342,0.00036325462722527034,0.025413260589621567
shallow,minimal_ce,recal,magnitude-fisher,0.015857179524487085,-0.0007574128729665973,0.03247177192194077
shallow,minimal_ce,recal,magnitude-saber_v2,0.022305929957877405,0.013193529099066821,0.03141833081668799
shallow,minimal_ce,recal,taylor-fisher,0.002968921916063663,-0.006627158113434768,0.012565001945562095
shallow,minimal_ce,recal,taylor-saber_v2,0.009417672349453985,-0.001025374919417947,0.019860719618325917
shallow,minimal_ce,recal,fisher-saber_v2,0.0064487504333903215,-0.008396740041669893,0.021294240908450536
deep,minimal_ce,trained,random-magnitude,-0.006911368748182642,-0.021801059206376528,0.007978321710011244
deep,minimal_ce,trained,random-taylor,0.009109867154384478,-0.03423448074166074,0.052454215050429694
deep,minimal_ce,trained,random-fisher,-0.010621884274719362,-0.044925885344651494,0.023682116795212767
deep,minimal_ce,trained,random-saber_v2,-0.011389417118175243,-0.061340002659904885,0.03856116842355439
deep,minimal_ce,trained,magnitude-taylor,0.01602123590256712,-0.020040022204435598,0.05208249400956984
deep,minimal_ce,trained,magnitude-fisher,-0.0037105155265367206,-0.041075371288027955,0.03365434023495451
deep,minimal_ce,trained,magnitude-saber_v2,-0.004478048369992599,-0.04874362008988953,0.03978752334990433
deep,minimal_ce,trained,taylor-fisher,-0.01973175142910384,-0.08239798318518328,0.042934480326975596
deep,minimal_ce,trained,taylor-saber_v2,-0.02049928427255972,-0.06867005333860716,0.027671484793487727
deep,minimal_ce,trained,fisher-saber_v2,-0.0007675328434558787,-0.08118441931745267,0.07964935363054092
deep,minimal_ce,recal,random-magnitude,-0.0034057597366339773,-0.01493033265127171,0.008118813178003755
deep,minimal_ce,recal,random-taylor,0.00658100736564732,-0.029279357269760605,0.042441372001055244
deep,minimal_ce,recal,random-fisher,0.002685481439215822,-0.019134724575304587,0.024505687453736234
deep,minimal_ce,recal,random-saber_v2,-0.0059114749924608165,-0.03906076896159385,0.02723781897667222
deep,minimal_ce,recal,magnitude-taylor,0.009986767102281299,-0.028760472685628525,0.048734006890191126
deep,minimal_ce,recal,magnitude-fisher,0.006091241175849799,-0.02305924818758237,0.035241730539281965
deep,minimal_ce,recal,magnitude-saber_v2,-0.002505715255826839,-0.028591293676543214,0.02357986316488954
deep,minimal_ce,recal,taylor-fisher,-0.0038955259264314987,-0.02673357792993843,0.018942526077075434
deep,minimal_ce,recal,taylor-saber_v2,-0.012492482358108136,-0.05291913531406242,0.027934170597846145
deep,minimal_ce,recal,fisher-saber_v2,-0.008596956431676638,-0.053673195347763436,0.036479282484410167
deep,standard_ce,trained,random-magnitude,0.0026222256870186604,-0.006517949314801851,0.011762400688839172
deep,standard_ce,trained,random-taylor,0.01632994883985938,-0.0001507813901026299,0.032810679069821394
deep,standard_ce,trained,random-fisher,0.00022036567150345853,-0.015845904224287895,0.01628663556729481
deep,standard_ce,trained,random-saber_v2,0.010661798221704058,-0.010409620874283203,0.03173321731769132
deep,standard_ce,trained,magnitude-taylor,0.01370772315284072,-0.0012281727688029636,0.028643619074484407
deep,standard_ce,trained,magnitude-fisher,-0.0024018600155152016,-0.01875281166137284,0.013949091630342435
deep,standard_ce,trained,magnitude-saber_v2,0.008039572534685398,-0.016940002479767523,0.03301914754913832
deep,standard_ce,trained,taylor-fisher,-0.01610958316835592,-0.03375559393829672,0.0015364276015848825
deep,standard_ce,trained,taylor-saber_v2,-0.005668150618155321,-0.021759502978797418,0.010423201742486779
deep,standard_ce,trained,fisher-saber_v2,0.0104414325502006,-0.008147602392548279,0.02903046749294948
deep,standard_ce,recal,random-magnitude,0.004914666702822061,-0.004494132884562218,0.01432346629020634
deep,standard_ce,recal,random-taylor,0.0178610993050152,0.002304033305518167,0.033418165304512235
deep,standard_ce,recal,random-fisher,0.008008795032039879,-0.0010018458770925647,0.01701943594117232
deep,standard_ce,recal,random-saber_v2,0.014306873196031822,-0.0006356132546527712,0.029249359646716416
deep,standard_ce,recal,magnitude-taylor,0.012946432602193136,0.0013530895673774124,0.024539775637008862
deep,standard_ce,recal,magnitude-fisher,0.003094128329217817,-0.013078424336920417,0.019266680995356052
deep,standard_ce,recal,magnitude-saber_v2,0.009392206493209761,-0.007212666574348121,0.025997079560767643
deep,standard_ce,recal,taylor-fisher,-0.00985230427297532,-0.03375876916419987,0.014054160618249227
deep,standard_ce,recal,taylor-saber_v2,-0.003554226108983377,-0.0144837974143233,0.007375345196356546
deep,standard_ce,recal,fisher-saber_v2,0.006298078163991944,-0.016721292884430757,0.029317449212414644
shallow,full_ce,trained,random-magnitude,-0.001917079204460856,-0.007314381776325398,0.0034802233674036866
shallow,full_ce,trained,random-taylor,0.006657144576430479,-0.006993477164321803,0.02030776631718276
shallow,full_ce,trained,random-fisher,0.0003415381380201782,-0.00810351200640371,0.008786588282444064
shallow,full_ce,trained,random-saber_v2,0.0025797393429954187,-0.008399081383484223,0.013558560069475062
shallow,full_ce,trained,magnitude-taylor,0.008574223780891335,-0.0025453178905044706,0.01969376545228714
shallow,full_ce,trained,magnitude-fisher,0.002258617342481034,-0.005177736974016662,0.00969497165897873
shallow,full_ce,trained,magnitude-saber_v2,0.004496818547456274,-0.0019636195298318683,0.010957256624744418
shallow,full_ce,trained,taylor-fisher,-0.006315606438410301,-0.01866022893496469,0.006029016058144088
shallow,full_ce,trained,taylor-saber_v2,-0.0040774052334350604,-0.01098356654952306,0.0028287560826529374
shallow,full_ce,trained,fisher-saber_v2,0.0022382012049752403,-0.00848034584904596,0.012956748258996441
shallow,full_ce,recal,random-magnitude,-0.0008072330989351811,-0.005716275911753653,0.004101809713883291
shallow,full_ce,recal,random-taylor,0.007083094039591095,0.0009248375114694835,0.013241350567712706
shallow,full_ce,recal,random-fisher,0.0031725552129675955,-0.0004297740319720656,0.0067748844579072565
shallow,full_ce,recal,random-saber_v2,0.0023407688502128403,-0.003809512638651519,0.0084910503390772
shallow,full_ce,recal,magnitude-taylor,0.007890327138526276,0.0016669057708192606,0.014113748506233292
shallow,full_ce,recal,magnitude-fisher,0.003979788311902777,-0.0013299639675544202,0.009289540591359974
shallow,full_ce,recal,magnitude-saber_v2,0.0031480019491480216,-0.002313099932220344,0.008609103830516388
shallow,full_ce,recal,taylor-fisher,-0.0039105388266234995,-0.009892134870719958,0.00207105721747296
shallow,full_ce,recal,taylor-saber_v2,-0.004742325189378255,-0.007923978136122233,-0.0015606722426342763
shallow,full_ce,recal,fisher-saber_v2,-0.000831786362754755,-0.0050677107974531465,0.003404138071943636
