architecture,method,seed,raw_awbir,is_collapse,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_awbir,trained_ece,trained_hsr_balanced,trained_hsr_miss,trained_hsr_fatigue,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_awbir,recal_ece,recal_hsr_balanced,recal_hsr_miss,recal_hsr_fatigue
shallow,random,101,0.43030784332930294,False,0.02425,0.05061503762248631,0.5921201406109338,0.5410252694172174,0.11307168584473355,0.06685180981669304,0.16240572670331074,0.14324443186452646,0.13859955077518674,0.0315,0.04331798108451318,0.6112797829665944,0.5404430129542648,0.10723231490353635,0.07607535484828562,0.1587297529263527,0.13894316514794594,0.13606033490988112
shallow,random,211,0.43030784332930294,False,0.04575,0.03856067928962681,0.6058040307630754,0.5523773088704504,0.10410911640497175,0.056537773106037956,0.1478570515512865,0.12898854415855568,0.12736436515038074,0.04075,0.03792574060385512,0.6250412608275975,0.5555295033544025,0.10487264295015393,0.0657509632075048,0.15373532258359052,0.13383079807405515,0.13213966143788464
shallow,random,307,0.43030784332930294,False,0.0185,0.04486268266333087,0.6127152716110538,0.5573328962757694,0.10779776128368396,0.05448753852496726,0.1565986742389657,0.1375340114314932,0.13388816858713318,0.03125,0.03450465305813006,0.6305665508665448,0.5602472876057296,0.10373715157038582,0.05304129683118898,0.15076605613484048,0.1308937930278848,0.12967166414053796
shallow,random,401,0.43030784332930294,False,0.033,0.04668220844942287,0.5949883671525794,0.5394019686646685,0.1273726667851302,0.09510556561238658,0.16673727652891657,0.1461426319217448,0.14280966381183688,0.043,0.0387407365288755,0.6253311077720398,0.5587413879499765,0.11104894644545109,0.0749062961326563,0.15673563302350213,0.13644138468374695,0.1347528350468399
shallow,random,503,0.43030784332930294,False,0.01375,0.04672011523663312,0.6132126652509443,0.541030305797203,0.12691133254611817,0.08675293338532358,0.16598856850678403,0.14570055940054663,0.1418016471576487,0.0275,0.03641894581224768,0.6239785298396561,0.5459352939656127,0.119674709703632,0.0804991705696109,0.1594729825971038,0.13849120115897567,0.13683186939610306
shallow,random,613,0.43030784332930294,False,0.04325,0.03797312408786793,0.6188594778797741,0.5364770808939513,0.12860153935829408,0.09189144310863054,0.1588831467650335,0.1381054339158647,0.13686747868008253,0.0305,0.03913875779458312,0.6310906655579311,0.5542072895644976,0.1116580415177474,0.0752572978651332,0.1578641734080824,0.13755988142412787,0.13537645404576248
shallow,random,719,0.43030784332930294,False,0.0445,0.02976630465684881,0.6449990417498249,0.5665859332299705,0.0928582237446381,0.05408588241084911,0.14394185643067145,0.12432509754508987,0.12428187943974726,0.033,0.03380337749474043,0.6281352945062737,0.5536539480304313,0.10892840789963357,0.06469693484218636,0.1522159931337996,0.13197348477931375,0.13083490075053414
shallow,random,823,0.43030784332930294,False,0.0185,0.04578192225317943,0.593598621837582,0.5299287066048862,0.11889329618626865,0.0925373914434192,0.16484176695093222,0.14455086649257684,0.14099085115319296,0.02225,0.041659559144064745,0.5933297566707529,0.5292361369779872,0.11833700004059014,0.08583910197361946,0.16264677416409487,0.14202549868215214,0.13936104161720933
shallow,random,907,0.43030784332930294,False,0.01725,0.05745721271393643,0.5844208436855758,0.5199095921105397,0.12913433263145305,0.09789485733927727,0.1775387593360238,0.15701792029607445,0.15135863114260148,0.0375,0.03685487386516556,0.6077165188860714,0.5378096438967781,0.11834966783780776,0.07241868577918893,0.16097405087562316,0.13972078669125837,0.13842606964810722
shallow,random,1013,0.43030784332930294,False,0.02,0.04528913401944618,0.6300468005875004,0.5496378132018566,0.12428295079293598,0.07279598702396016,0.16565073683826081,0.1451321804447204,0.14129855188911816,0.03425,0.03875021322567806,0.6090528949130496,0.5342662226461529,0.1265064071819776,0.08498842220850135,0.16354887602490825,0.14220050157350425,0.14030605723051076
