method,target_flops,prior,eval_b2a,eval_a2b,eval_family_f1,eval_fine_f1,eval_awbir,eval_ece,eval_hsr_balanced,eval_hsr_miss,eval_hsr_fatigue,batch_b2a,batch_a2b,batch_family_f1,batch_fine_f1,batch_awbir,batch_ece,batch_hsr_balanced,batch_hsr_miss,batch_hsr_fatigue,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_awbir,recal_ece,recal_hsr_balanced,recal_hsr_miss,recal_hsr_fatigue
random,0.25,balanced,0.00125,0.06010121112185137,0.6341134857858248,0.5374916818160169,0.13496816941055606,0.23740438863598504,0.18876024908237615,0.16693982335360324,0.16084257044246816,0.0035,0.04084456321904437,0.6373995666964541,0.5539870046658831,0.1131306397362956,0.21106189325313274,0.16643779332006353,0.14522500806535063,0.1429867971731707,0.0015,0.06158905251985368,0.6033821749379243,0.5209092911128931,0.13113400198252773,0.23691976682859198,0.1891346030934424,0.16748841937388528,0.1610416172093278
random,0.25,natural,0.0014696058784235137,0.08641801765024176,0.6309023193509209,0.542118147023129,0.13469734063872002,0.23760171113803627,0.1807724309198129,0.16424155474192523,0.15273325771547902,0.0033400133600534404,0.04925160741210022,0.6530867021879003,0.5616995194349895,0.12159970455800706,0.18733180226241844,0.1443309367449973,0.12799141136537565,0.12334497945391285,0.0017702070808283234,0.08830320057460529,0.6019534961378388,0.5261537796811692,0.1308759341176698,0.2354485880359179,0.18112054007897999,0.16482461937698414,0.15295319279093605
random,0.4,balanced,0.023,0.038826026800098556,0.5880388408857505,0.5085296703057703,0.110695855620619,0.12287908042352311,0.1642154087763189,0.1428708387355965,0.14131498694326255,0.00025,0.040219101230075244,0.6030279053805043,0.5452140636587639,0.08995400317784866,0.15762493265075797,0.1578331294169208,0.13798369277405453,0.13518653786453863,0.0005,0.049060859346866055,0.6014414475871159,0.5346925967379021,0.10725369868429867,0.17692131971365652,0.1706561238837859,0.15008704491639427,0.1455689267909644
random,0.4,natural,0.023613894455577822,0.057085033496176676,0.6065923273627893,0.5207710792070477,0.11104188790267491,0.11022933593056843,0.14066049707511838,0.1258908311227552,0.12102054972844936,0.0006680026720106881,0.05029529397492456,0.6282416124849819,0.5682884964945067,0.08578159134025373,0.137780621712674,0.13686297571428832,0.1219689893971145,0.11659909003683185,0.001569806279225117,0.07119983516684543,0.6038894421267968,0.5409838847334182,0.10725827063471835,0.17325719698368056,0.15967650609099995,0.14426214634543036,0.1352078186191063
random,0.55,balanced,0.0,0.04604726976365118,0.6243394448888995,0.5297665218452807,0.11434766715124618,0.18391616916968495,0.16620222421066086,0.1458961061095792,0.1424088311024269,0.00125,0.040721366160611054,0.6077957500374035,0.545917797218397,0.09059269069417389,0.15487812908330423,0.15198407625865124,0.13318100472964337,0.13049706908201092,0.0,0.04604726976365118,0.6136269500323585,0.5332522112201786,0.11434564120165623,0.1788906245830919,0.1664944029510053,0.14613958839319954,0.14232665583170506
random,0.55,natural,0.0,0.06612582392507024,0.6243011346902714,0.5360033639787198,0.1143065150600418,0.17661164344887695,0.15550939184674456,0.1400113730223898,0.1321915401463442,0.0017368069472277889,0.048325383728117725,0.6508364311052932,0.5828600077827149,0.07915686298087779,0.12569601571744862,0.1269130983353755,0.11335243806891664,0.10845912539394413,0.0,0.06674394825471344,0.6166749200128627,0.5406316526214227,0.1141863935044631,0.1699748174338302,0.15348773698095414,0.13842406565523235,0.13024671690459588
magnitude,0.25,balanced,0.00075,0.06558821857053505,0.6179399795097995,0.5454040167036391,0.11770377206963345,0.18335921553433676,0.1800204525118241,0.16054232635147886,0.15274008874929237,0.0005,0.04778150527852012,0.670098498086995,0.5891612095161324,0.08895268320520372,0.15735414860072047,0.15447307390296014,0.13639573175556813,0.1320291813516919,0.00075,0.05976952673376168,0.6137518287324055,0.5258695137151527,0.1186175803196435,0.19136151253509423,0.17708953452274429,0.15716553143051928,0.15061631453041396
magnitude,0.25,natural,0.0007682030728122912,0.09058121017575142,0.6189857422103785,0.5528134212862809,0.1171657404073058,0.18474075282506752,0.173822264056819,0.15911534999960553,0.14617635224568643,0.0007348029392117569,0.05898177014632794,0.6613506268337361,0.621444547944593,0.08246039046090484,0.13895505899039162,0.13937839210709818,0.12543308821253593,0.11795748043251471,0.0007014028056112224,0.083818429348004,0.6150196618161972,0.5328009237022278,0.1182933493458831,0.18877250209340324,0.16982665547570974,0.1547208966845273,0.14319357381753034
magnitude,0.4,balanced,0.001,0.061560622429445995,0.6401756129613955,0.540364819916325,0.11097993619489853,0.1793352034342418,0.17385182885630285,0.154752774176269,0.1479565749347163,0.0005,0.04293891321241068,0.6808149691985456,0.5845143470467853,0.08327822796388289,0.14580527275460867,0.15003560928397947,0.1319202230297718,0.1286937784189478,0.001,0.05749511950114668,0.6401346481372521,0.5421473285286007,0.11246701180490827,0.1823564435611594,0.17348477931374517,0.15379406268451393,0.14776209346067457
magnitude,0.4,natural,0.0007014028056112224,0.0833697596632474,0.6359839932260621,0.5446992611421093,0.11038532145769599,0.1817593835332296,0.1675016795538668,0.15271271466276318,0.14142881331553947,0.0008684034736138944,0.05099044314315259,0.6874963072549278,0.6031528372111742,0.07705785291013856,0.1305869231835665,0.13121421275805503,0.11736849867001181,0.11184153750639506,0.000501002004008016,0.07883107104963673,0.640934866282796,0.547912532548819,0.11199991517595312,0.18257065375111323,0.16502267625302,0.14993439574597986,0.1395027428161521
magnitude,0.55,balanced,0.00075,0.05013172608555562,0.6360582491670077,0.535031595123436,0.12366388127825953,0.20178489718905382,0.17584047040777195,0.15457701040278057,0.15030222238454374,0.00025,0.03785940372623718,0.6547433402022195,0.5620985970767864,0.10339257039767286,0.18333489947238177,0.15969759500374353,0.13915849479252265,0.1371843100016435,0.00075,0.053420139876044805,0.6211073153568586,0.5253827502768966,0.12134614463416567,0.21014539485969386,0.17789485217581855,0.15681704741208768,0.15207903434926315
magnitude,0.55,natural,0.00046760187040748166,0.07026976024093369,0.6364279657969802,0.5414556568645362,0.1230833814102573,0.19312541657884158,0.16278800479924552,0.14672351964091837,0.13816911332300413,0.0006012024048096192,0.04838315235705634,0.6659520344888795,0.5927606447691476,0.09281701942045373,0.15673977007719653,0.13671331790632005,0.1215438665484455,0.11667756025001227,0.0004008016032064128,0.07507611016862663,0.6200150144901999,0.5306806259151337,0.12080518173865847,0.20349388594488804,0.16700391258673145,0.15099507877062118,0.14173705013900698
taylor,0.25,balanced,0.0,0.05013172608555562,0.6011965730823795,0.5258756549796776,0.10504995892483203,0.17688143782652005,0.16523438213327002,0.14574545144658912,0.1411515494603824,0.00025,0.04026648471408806,0.6443847706252579,0.5790072092347325,0.08894106111908615,0.1528740353050869,0.1501890031226603,0.13162119635020056,0.1288663464874637,0.0,0.05158166069634768,0.5917945584223779,0.5213467155888426,0.10874136826985843,0.19056852882099648,0.1702068990705064,0.1501220454946647,0.145367140848414
taylor,0.25,natural,0.0004008016032064128,0.07226277793931599,0.5979920239926345,0.5314094664174314,0.10486883694673473,0.1703301639013817,0.1543714827228982,0.14002472448944295,0.13079091056398418,0.0007348029392117569,0.049103334597824434,0.6656251212707254,0.6032827762379012,0.08729698353294989,0.12875919652347467,0.12812164885763028,0.11449580915655748,0.10910691429996741,0.00023380093520374083,0.07435015106496468,0.59224843325798,0.5277077126826987,0.10849735172537887,0.18542683164509396,0.15925629900974597,0.1444266121441303,0.1349689487358285
taylor,0.4,balanced,0.00075,0.05183753151001687,0.6384718278243731,0.5525944195676923,0.1005925005691698,0.15808934903366648,0.16850861014225454,0.14874104441725558,0.1434360219864502,0.00075,0.042067057106574934,0.6571780163930927,0.5703568366676962,0.0831352893364064,0.1374269180856718,0.15417724292836144,0.13522929944059944,0.1319561366666058,0.0005,0.04634104736453062,0.6340693266655886,0.5464076967407102,0.10132264522948964,0.1610985296361621,0.16517594638520114,0.14508348398799634,0.14084658790014792
taylor,0.4,natural,0.0005678022712090849,0.07362611758226734,0.6397652126579659,0.5584209888389945,0.10020851108040865,0.15932244255231895,0.1595763700881015,0.14457469205144685,0.13477759793756247,0.0010688042752171009,0.05069967437749488,0.678211733476843,0.5950069266983538,0.07573441628655816,0.11844676219082792,0.13461228250005006,0.12015167266572357,0.11452117694395843,0.00033400133600534405,0.06639733648108173,0.6334283864372688,0.5514938822669382,0.10074766551645348,0.15884172191203594,0.15378195476401585,0.1386100758666771,0.1302326978641901
taylor,0.55,balanced,0.00275,0.061759633062299805,0.6292292944217124,0.5427233254059475,0.11287994084111062,0.1660899711115967,0.1775661510929311,0.15786402123165513,0.15089023209948688,0.0095,0.03849434241200887,0.6588251214099252,0.5842085437072786,0.07533206493480574,0.1196297414019487,0.14582275707163855,0.12761363013823707,0.12531637479227917,0.00275,0.05238717992456549,0.6442768752318828,0.5499621926585325,0.10904459999334891,0.16017318637611686,0.16939610306605066,0.1495506230102932,0.14455908401964904
taylor,0.55,natural,0.0012024048096192384,0.08651044745654354,0.6326957213615455,0.5496593449295534,0.11231631412834121,0.17035637621636823,0.1701886016098228,0.15543990352958167,0.14336544361159612,0.016800267201068805,0.04457042284710762,0.6873115241397737,0.5999223218723875,0.07084682479521236,0.1047610324827462,0.12381252355471886,0.10997163420136076,0.10631512253915773,0.0017034068136272545,0.075130027555636,0.6457127242561769,0.5564024458182554,0.10850962220657458,0.16259546031399483,0.1612637527696708,0.1462023572621967,0.13648009205229647
fisher,0.25,balanced,0.00025,0.04819847993783287,0.6472227757846758,0.5461355181495098,0.11124489736491947,0.17520505211705176,0.1650590748890634,0.14528663951839205,0.14132046529464398,0.0,0.03713917476924243,0.694132884882914,0.5797870740328563,0.09281524267156341,0.1653105530235937,0.14653859498548236,0.12807929000566096,0.12633260897353957,0.0,0.05036864350561968,0.6436210581855267,0.5401381590771224,0.11123144639858722,0.19293348657479026,0.16842643487153267,0.148443539501957,0.14408520662515295
fisher,0.25,natural,0.00046760187040748166,0.06919911498460465,0.6383800559222248,0.5510297941210004,0.11100899344637417,0.17536579679286657,0.15566596814218586,0.14061977510060633,0.13223268694026252,0.0010354041416165665,0.050447418031129586,0.7233867430178789,0.6040469318560052,0.08899160349978516,0.149334018378399,0.1307146251363215,0.11686432906753962,0.11180202930161512,0.00023380093520374083,0.07225122421352825,0.6362334882898837,0.5437266045101008,0.11074159747018454,0.1940920666785689,0.15964082126087614,0.14441629510140744,0.13554718863620224
fisher,0.4,balanced,0.00575,0.048264816815450806,0.6011902700608391,0.5316896031165724,0.10804116431965084,0.15531752800113463,0.1660013513266741,0.14603230401197934,0.14197604134329175,0.00175,0.042180777468205685,0.6318809441800874,0.5670041983201655,0.08670728082652014,0.13145162630804244,0.1533974909150673,0.13458863668182344,0.13128777779806797,0.00375,0.04996114554310949,0.6252481459675554,0.5487882594981607,0.09766025868942944,0.15618620042454245,0.16287869103924327,0.14372074408185873,0.13928434469786893
fisher,0.4,natural,0.0033400133600534404,0.06962660283875043,0.6003087899224018,0.5366174546168809,0.10780179327182296,0.15235792948959215,0.15449346658097451,0.13967091061253498,0.1311983730630511,0.0037408149632598532,0.04976382258868929,0.6606065916775542,0.5924101504378465,0.07561669726670213,0.11317772630563241,0.13308875873231463,0.11869818341153045,0.11331444707630181,0.002471609886439546,0.07147327334382154,0.6192643458312603,0.551665772306797,0.09752291037023923,0.15691386477832783,0.15507644018330352,0.14045955749596875,0.13157470236848956
fisher,0.55,balanced,0.001,0.04614203673167681,0.6059775114560139,0.5344320623951244,0.11193579120255207,0.17909122815215472,0.17152900787056483,0.15034117954992302,0.14631946093022405,0.0,0.04501430981217187,0.5952129897140457,0.5659125598637327,0.0867859185555669,0.13547395097375273,0.1575099066854148,0.13848663586615778,0.13426160953963587,0.00025,0.05298421182312693,0.6036486407916829,0.5364787911957165,0.11005500853833167,0.17272613357744837,0.17348477931374517,0.15307655082997024,0.1477803546319461
fisher,0.55,natural,0.0007348029392117569,0.06699042773818487,0.6090788137025417,0.5424676190581885,0.11137459453403618,0.1705001246929842,0.15677620331614028,0.14119328129902492,0.1328773807334689,0.0004342017368069472,0.05605290065914006,0.5772917293689164,0.5786730705897751,0.08067495354327091,0.11164026162749323,0.13324533502775587,0.11986476784529776,0.11286838669975403,0.0004008016032064128,0.07564609397415431,0.6036966491365107,0.5432645626903017,0.10945603430053874,0.17133703837956224,0.16267730899967775,0.1474793947415854,0.13755628098526546
saber_v2,0.25,balanced,0.00025,0.06308637061465855,0.6269320370441348,0.5442848650507035,0.1141430006282217,0.1663259637576987,0.1774164094885046,0.1579751100235569,0.1504227461149358,0.0005,0.04362123538219518,0.667892425942624,0.5945799579118578,0.08096764257075754,0.10900340953053597,0.14503387447270868,0.1278616777146753,0.12385000273917568,0.00025,0.06096359053088456,0.6064061471103587,0.538810936251503,0.11179611274869647,0.1663590953925808,0.17696535855809792,0.15725835905114954,0.1500766969193404
saber_v2,0.25,natural,0.0001336005344021376,0.08668182772239479,0.6246763597155197,0.5494100883528846,0.11365921112205289,0.17222248759812575,0.1693409048289222,0.15477506115882236,0.14240686896566793,0.00036740146960587844,0.05140445165054601,0.7143891874627861,0.6180314977939417,0.08403245764438354,0.09907364119055247,0.12409836632662907,0.11151069422166714,0.10533506416897132,0.0001336005344021376,0.0848293803544298,0.606965503544553,0.5449676992841951,0.11142469656805663,0.17005741207470706,0.1680107345795107,0.15337467433040877,0.1413525278878768
saber_v2,0.4,balanced,0.001,0.061835446636720304,0.6557340685065003,0.5703998452838512,0.11260272338500295,0.19868922398533426,0.1738846989645916,0.15482429709708248,0.14814831723306734,0.00075,0.044474138094425804,0.673945206119328,0.5923736109856074,0.1157201511846737,0.18394173678466239,0.16336991654644728,0.14327638891425162,0.13994631215646172,0.00075,0.06030022175470518,0.6327091469721823,0.5414800862629665,0.11722966176442083,0.20472710119914642,0.17683935647632437,0.1570422685244365,0.15069392450831795
saber_v2,0.4,natural,0.0007348029392117569,0.08549564520818852,0.6472118950014003,0.5722671153926967,0.11199817678914505,0.20875156223363392,0.17183483749747383,0.1566582248981799,0.14511436441858305,0.004208416833667334,0.05332237013130809,0.6311543187298538,0.570531192380795,0.11823255238435917,0.1669570910549187,0.14365037605620726,0.12805392050657893,0.12230028784549196,0.000501002004008016,0.08351225561462933,0.6297787522555497,0.545434232176372,0.11672349004833653,0.21112363611229742,0.17159159804316043,0.15614616579244903,0.14504554367477282
saber_v2,0.55,balanced,0.00075,0.04797103921457137,0.5758437371437165,0.5325375813465705,0.10283932040511819,0.14613139286244436,0.16613648399408337,0.1461433928038811,0.1413670312813864,0.00075,0.03625784196660412,0.664733154054706,0.5893523782089498,0.06598137270036357,0.09366189421610586,0.1346523986048465,0.11802575433854995,0.11599495991672906,0.00075,0.04747825098083812,0.5917867009914244,0.5357209152903065,0.09910318934184213,0.1493947142251817,0.16310512956301018,0.1435381323691435,0.13916564708460402
saber_v2,0.55,natural,0.0004342017368069472,0.06843849470357953,0.586086934290512,0.5396663344161374,0.10321389055017326,0.14345162153752222,0.1517861531935192,0.13726719137932186,0.1284182334916696,0.0010688042752171009,0.046455605771471155,0.7153641108604315,0.6223109999664175,0.06014719702596936,0.08129647967746755,0.11540765366779973,0.1034790281831263,0.0989103382230047,0.0004008016032064128,0.0672927502296303,0.5983959705771206,0.5424840246339516,0.0993006856479329,0.14701696462821515,0.14939381305154456,0.13509348151034223,0.12667022301198172
