architecture,normalisation,metric,contrast,mean,ci_lo,ci_hi,half_width,p,p_holm,significant_holm
shallow,trained,awbir,random-magnitude,-0.00028090854673546784,-0.004550410614144351,0.003988593520673416,0.004269502067408884,0.8919194113226585,0.8919194113226585,False
shallow,trained,awbir,random-taylor,0.007314636197081432,0.0025901627410713024,0.012039109653091563,0.00472447345601013,0.004304522237898862,0.030131655665292034,True
shallow,trained,awbir,random-fisher,0.01506897514081961,0.008495017837024832,0.021642932444614387,0.006573957303794778,0.00012511837395192448,0.0011260653655673204,True
shallow,trained,awbir,random-saber_v2,0.010695491133270976,0.0015866645863729465,0.019804317680169006,0.009108826546898029,0.023766890839202692,0.11459249115909743,False
shallow,trained,awbir,magnitude-taylor,0.007595544743816901,0.0019789323915694983,0.013212157096064304,0.005616612352247403,0.01068903261905606,0.06413419571433636,False
shallow,trained,awbir,magnitude-fisher,0.015349883687555077,0.009858317440003327,0.020841449935106827,0.005491566247551749,1.2353512354566534e-05,0.00012353512354566535,True
shallow,trained,awbir,magnitude-saber_v2,0.010976399680006443,0.0016937519496705578,0.02025904741034233,0.009282647730335885,0.022918498231819486,0.11459249115909743,False
shallow,trained,awbir,taylor-fisher,0.007754338943738176,0.0036603872498969557,0.011848290637579396,0.00409395169384122,0.0008311238504303667,0.006648990803442933,True
shallow,trained,awbir,taylor-saber_v2,0.003380854936189543,-0.00297539042807394,0.009737100300453026,0.006356245364263483,0.2794795327151331,0.579574499520755,False
shallow,trained,awbir,fisher-saber_v2,-0.004373484007548632,-0.011159039514309195,0.0024120714992119305,0.006785555506760563,0.19319149984025166,0.579574499520755,False
shallow,trained,hsr_balanced,random-magnitude,-0.006753894194773659,-0.010529220919300636,-0.002978567470246681,0.0037753267245269778,0.001373635361214551,0.010340973209285806,True
shallow,trained,hsr_balanced,random-taylor,-0.00039243257062507726,-0.0051630019498504045,0.00437813680860025,0.004770569379225327,0.8651209682030404,0.8651209682030404,False
shallow,trained,hsr_balanced,random-fisher,0.0029525574770365897,-0.002354877554107138,0.008259992508180318,0.0053074350311437275,0.25869000010488985,0.5173800002097797,False
shallow,trained,hsr_balanced,random-saber_v2,0.005784591223681082,0.0005616890506923988,0.011007493396669765,0.005222902172988683,0.031750064338677775,0.15875032169338887,False
shallow,trained,hsr_balanced,magnitude-taylor,0.0063614616241485815,0.002782523162453738,0.009940400085843425,0.0035789384616948436,0.0014510406870075607,0.010340973209285806,True
shallow,trained,hsr_balanced,magnitude-fisher,0.009706451671810248,0.006487655672420961,0.012925247671199534,0.003218795999389287,4.662689042668649e-06,4.196420138401784e-05,True
shallow,trained,hsr_balanced,magnitude-saber_v2,0.012538485418454742,0.008978542210641241,0.01609842862626824,0.0035599432078135,5.522933027423522e-07,5.522933027423522e-06,True
shallow,trained,hsr_balanced,taylor-fisher,0.0033449900476616667,-0.0005671075160667027,0.007257087611390036,0.003912097563728369,0.08946846235578573,0.35787384942314293,False
shallow,trained,hsr_balanced,taylor-saber_v2,0.006177023794306159,0.0027485568877172375,0.009605490700895081,0.003428466906588922,0.0012926216511607257,0.010340973209285806,True
shallow,trained,hsr_balanced,fisher-saber_v2,0.0028320337466444926,-0.000878638071094387,0.006542705564383373,0.0037106718177388797,0.12666938344976578,0.38000815034929736,False
shallow,trained,b2a,random-magnitude,-0.0023500000000000005,-0.009872157816316942,0.005172157816316941,0.007522157816316942,0.5210238120731026,1.0,False
shallow,trained,b2a,random-taylor,-0.0008750000000000005,-0.012549004666774744,0.010799004666774742,0.011674004666774743,0.8769959197613171,1.0,False
shallow,trained,b2a,random-fisher,7.500000000000041e-05,-0.010448349514783095,0.010598349514783096,0.010523349514783096,0.9882539235205843,1.0,False
shallow,trained,b2a,random-saber_v2,-0.0041625,-0.01632307231888263,0.00799807231888263,0.01216057231888263,0.4824391946903023,1.0,False
shallow,trained,b2a,magnitude-taylor,0.0014750000000000002,-0.0068565403146528415,0.009806540314652843,0.008331540314652842,0.7150752906331262,1.0,False
shallow,trained,b2a,magnitude-fisher,0.0024250000000000005,-0.0037003898322293476,0.008550389832229348,0.006125389832229348,0.417610961702391,1.0,False
shallow,trained,b2a,magnitude-saber_v2,-0.0018124999999999999,-0.011335174965667674,0.0077101749656676745,0.009522674965667674,0.6947941837531422,1.0,False
shallow,trained,b2a,taylor-fisher,0.000950000000000001,-0.007544069589390112,0.009444069589390114,0.008494069589390113,0.817419357622396,1.0,False
