matching,method,seed,parameters,raw_awbir,raw_hsr_balanced,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_awbir,trained_hsr_balanced,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_awbir,recal_hsr_balanced
params,magnitude_l2,101,109547,0.42112087893502287,0.676654918646482,0.00325,0.05158166069634768,0.6058735024302501,0.4826373526784657,0.08820338047556785,0.18455470133854385,0.006,0.046710638539830554,0.6219197543604671,0.4878251194158654,0.08478485963773788,0.18235057796607074
params,magnitude_l2,211,109547,0.42112087893502287,0.676654918646482,0.00275,0.038826026800098556,0.6451783295943256,0.5015410987988029,0.0670083763567417,0.17881521520790344,0.003,0.03440988609010443,0.6497794208606309,0.5088538580716775,0.06519438348361352,0.17420609557897043
params,magnitude_l2,307,109547,0.42112087893502287,0.676654918646482,0.0055,0.03208809537347662,0.6017561658727406,0.4922031886956854,0.13171127653896067,0.16923905699311553,0.005,0.035139591743901744,0.6045703927053019,0.4893970835627425,0.1182394745909767,0.1727105056518325
params,magnitude_l2,401,109547,0.42112087893502287,0.676654918646482,0.00575,0.02923560963590531,0.6677671559500424,0.5115378219891252,0.08283672414413616,0.1694015814174321,0.00575,0.027539280908246623,0.6687589679350228,0.516306053046087,0.07877377171516146,0.16596848121838534
params,magnitude_l2,503,109547,0.42112087893502287,0.676654918646482,0.0045,0.04035177498531112,0.6173257666031589,0.4938065825043626,0.08414336986550232,0.1779277222841073,0.0035,0.04068345937340081,0.6175585162527507,0.4956094255105157,0.08641848148323851,0.17750223699348075
params,magnitude_l2,613,109547,0.42112087893502287,0.676654918646482,0.00775,0.0384374822311935,0.6605326806551158,0.5094343325146371,0.06601695185769293,0.17604682164314017,0.00675,0.039915846932393244,0.6653614153230971,0.511993318996614,0.0698955711735476,0.1757309033801428
params,magnitude_l2,719,109547,0.42112087893502287,0.676654918646482,0.00325,0.05745721271393643,0.6141126231560102,0.49399274529749765,0.0981047615183147,0.18740892240828327,0.0035,0.04562081840753587,0.6162805650033477,0.4847152235964065,0.08999973720622695,0.18114351454502292
params,magnitude_l2,823,109547,0.42112087893502287,0.676654918646482,0.01425,0.034144538579632684,0.6290429035472147,0.49532811771887164,0.08608985208718357,0.17419331275908037,0.01325,0.03529121889274275,0.6306848169269871,0.4954683990288847,0.07883296912313552,0.17536020160333082
params,magnitude_l2,907,109547,0.42112087893502287,0.676654918646482,0.00675,0.03459942002615568,0.6474984556808359,0.493949298426834,0.07838442443888223,0.17733788645203702,0.006,0.032827277724076495,0.6505817641429099,0.4993345947887653,0.07376457020243954,0.17584047040777195
params,magnitude_l2,1013,109547,0.42112087893502287,0.676654918646482,0.005,0.040645552586190556,0.6296930600499241,0.4987179898728784,0.09717205678002648,0.17765745694928872,0.0075,0.03520592862151968,0.6413731322822872,0.5044259506605585,0.08385165978992629,0.17388835119884588
params,magnitude_l2,1109,109547,0.42112087893502287,0.676654918646482,0.00475,0.03512063835029662,0.6523813354265353,0.49177594487198156,0.07623426135803839,0.17341538686291338,0.00425,0.034154015276435246,0.6553568496027564,0.5002230412210745,0.06823955842469702,0.17010098427713155
params,magnitude_l2,1201,109547,0.42112087893502287,0.676654918646482,0.0085,0.03000322207691287,0.6406257288243168,0.5117279595239369,0.07057993364238513,0.17022333412465077,0.008,0.029936885199294935,0.6367765037720428,0.5059377393867747,0.06899344677894195,0.1720677124230748
params,magnitude_l2,1303,109547,0.42112087893502287,0.676654918646482,0.003,0.028231079774833683,0.6172623462226619,0.49666199446262677,0.09288322450423833,0.16766494402951004,0.00375,0.026601087924792936,0.6395050346487224,0.5117420841080229,0.07450181619285608,0.16410949398294408
params,magnitude_l2,1409,109547,0.42112087893502287,0.676654918646482,0.00475,0.04212391728739031,0.6018958554036222,0.49854360710720064,0.09640542655288448,0.17664396194371906,0.0055,0.03841852883758837,0.6054165524434109,0.5093182686877287,0.09064593253444117,0.17311772977118753
params,magnitude_l2,1511,109547,0.42112087893502287,0.676654918646482,0.01325,0.036087261424157996,0.6105048701147745,0.4871722686879681,0.10393713348347645,0.17727397235258668,0.01425,0.03562290328083243,0.6145609595056414,0.4858161248432964,0.09795373349797822,0.17670970216029655
params,magnitude_l2,1607,109547,0.42112087893502287,0.676654918646482,0.0055,0.03290309129849699,0.634674147936686,0.4900443607679154,0.093067525785992,0.17291685688720076,0.00475,0.035973541062527245,0.6313993287467352,0.4938021389549376,0.09268999788542982,0.17347564872810942
params,magnitude_l2,1709,109547,0.42112087893502287,0.676654918646482,0.00325,0.041669035840867306,0.600141586886433,0.4720036049997931,0.13492779937945,0.18258066872409195,0.00475,0.04029491480449574,0.6176338814351533,0.48059097140197976,0.1139001231183878,0.1789046949471339
params,magnitude_l2,1801,109547,0.42112087893502287,0.676654918646482,0.0035,0.03895870055533443,0.6387635779861477,0.48703291065215454,0.08755417751539418,0.17845364401672723,0.00375,0.03351907659066356,0.6482118918054254,0.5017211942098541,0.07861498954928606,0.17123317689596612
params,magnitude_l2,1907,109547,0.42112087893502287,0.676654918646482,0.00275,0.033026288356930306,0.6102613046829326,0.4924763315353341,0.0799630995843343,0.17372582677452933,0.0025,0.029804211444059057,0.6209697506386949,0.4982035369807637,0.07229898416174867,0.17066525446942166
params,magnitude_l2,2003,109547,0.42112087893502287,0.676654918646482,0.0035,0.03532912567995299,0.6661548046037191,0.502622262324361,0.05992148563413194,0.1700023739522653,0.00425,0.03254297681999962,0.6698082717052779,0.5051865758270003,0.06652338125417735,0.1672011102792133
