method,seed,parameters,raw_awbir,raw_hsr_balanced,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_awbir,trained_hsr_balanced,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_awbir,recal_hsr_balanced
random,101,106681,0.29756143468723406,0.29004021232105515,0.0435,0.02729929516933127,0.7826172492977439,0.6805750550186217,0.1537305305822392,0.14917162618626348,0.04325,0.02788378889461922,0.7976343267009907,0.702430192564448,0.08808442143309603,0.1397651600450378
random,211,106681,0.29756143468723406,0.29004021232105515,0.04125,0.029310641223998624,0.8142536003265337,0.7250888485839838,0.07164612604704046,0.13069326041499116,0.04425,0.028984012377514183,0.7907302951011456,0.6791831591491142,0.17032859460526864,0.14568763069004342
random,307,106681,0.29756143468723406,0.29004021232105515,0.052,0.025253567130823447,0.8182843894636544,0.7250396529559344,0.09179946361147198,0.12730577448930352,0.052,0.0246690734055355,0.801493899801303,0.6988227752453512,0.12710667994884517,0.1391507157793148
random,401,106681,0.29756143468723406,0.29004021232105515,0.0495,0.024703455389375968,0.7880126210841917,0.6826443938385549,0.14289439819083957,0.14464211034260896,0.04575,0.025958397799553033,0.8000343274647533,0.6965917989127771,0.105229557337514,0.1393694708058549
random,503,106681,0.29756143468723406,0.29004021232105515,0.04425,0.02707581227436823,0.7848612613947182,0.6691261109516732,0.1843908740993438,0.14924239987132057,0.044,0.02702423929860753,0.7905337872203817,0.6816559671278004,0.16342957796131524,0.14509892230979574
random,613,106681,0.29756143468723406,0.29004021232105515,0.044,0.027574351040055012,0.7924608967479743,0.6867476364903657,0.1505477363822573,0.1441080907189963,0.04375,0.02865738353102974,0.8203193079247314,0.734536908466232,0.06948942268298325,0.12386359980698085
random,719,106681,0.29756143468723406,0.29004021232105515,0.0455,0.030152999828090082,0.7982409265816103,0.6938081488126814,0.14111165685558805,0.14110664307543833,0.046,0.030720302561457795,0.793753566356766,0.6959549149620483,0.11104916954456895,0.14280842850249315
random,823,106681,0.29756143468723406,0.29004021232105515,0.05275,0.024531545470173628,0.7934078824231124,0.6724886208571599,0.17701864874632006,0.14357728808106804,0.05375,0.025047275227780642,0.8192419545320758,0.7228178236041333,0.09170107512230276,0.12628599002734436
random,907,106681,0.29756143468723406,0.29004021232105515,0.064,0.026646037476362384,0.8007257306668064,0.6686743159317297,0.12702315652351606,0.13721730738298216,0.046,0.02702423929860753,0.7930246413045666,0.6894815791786502,0.12825906084952984,0.14356120315264598
random,1013,106681,0.29756143468723406,0.29004021232105515,0.05575,0.02389547876912498,0.7961926760312167,0.69179135149317,0.10311704518859229,0.14101978446195915,0.053,0.024703455389375968,0.7903816089924841,0.6872392377152462,0.13028486417542184,0.14358693903812128
random,1109,106681,0.29756143468723406,0.29004021232105515,0.06175,0.023379749011517965,0.7918769155033005,0.6884604848956389,0.15824837021811416,0.14195914428180795,0.0635,0.02272649131854908,0.7921672205480751,0.6951777884134758,0.13538178030527057,0.13975872607366896
random,1201,106681,0.29756143468723406,0.29004021232105515,0.05775,0.023070311156953755,0.7906961505361355,0.675214918511173,0.16837536524583252,0.14564259289046164,0.0565,0.023878287777204743,0.790302345479791,0.6783054075904627,0.16448357853713583,0.14536593212160204
random,1303,106681,0.29756143468723406,0.29004021232105515,0.0375,0.03185490802819323,0.7850343963976073,0.6835065966627687,0.172130224656807,0.147698246742802,0.04425,0.02888086642599278,0.7927502613191105,0.6913240911365296,0.15344394749987314,0.1440341000482548
random,1409,106681,0.29756143468723406,0.29004021232105515,0.04275,0.02788378889461922,0.7970222749112491,0.6930577645275896,0.11078102410784248,0.14285346630207496,0.044,0.026955475330926595,0.8006908925419015,0.6986936015219787,0.1029489845944976,0.1396236126749236
random,1511,106681,0.29756143468723406,0.29004021232105515,0.0605,0.022795255286230016,0.8004845349692866,0.7011156632461539,0.11600000865289256,0.1357053241113077,0.05625,0.023706377858002406,0.7951662986474023,0.6995509843249175,0.09893617586363206,0.13831429950136723
random,1607,106681,0.29756143468723406,0.29004021232105515,0.065,0.022984356197352587,0.821209708125021,0.7323019512657837,0.05462196229121132,0.12381212803603023,0.0585,0.025373904074265086,0.7858160433678005,0.6769439365297408,0.16303548994880998,0.14583882901721087
random,1709,106681,0.29756143468723406,0.29004021232105515,0.053,0.023998624720646382,0.8114055582960199,0.7144588786547285,0.09267944416087415,0.13404857648383464,0.05775,0.02250300842358604,0.8084413325400792,0.7061998425723932,0.12637384726093231,0.1355123049702429
random,1801,106681,0.29756143468723406,0.29004021232105515,0.05025,0.025872442839951864,0.8234562422412849,0.7286341923163493,0.08151568327878653,0.12281807945954641,0.049,0.025648959944988826,0.8223405335030591,0.7293907086329142,0.07713610942259069,0.12303040051471772
random,1907,106681,0.29756143468723406,0.29004021232105515,0.04875,0.026336599621798178,0.7807216627082628,0.687123328821408,0.1547660392002049,0.1462409522277626,0.048,0.026199071686436308,0.7943715814060495,0.7070496991347327,0.12104390703971478,0.13982628277304165
random,2003,106681,0.29756143468723406,0.29004021232105515,0.04875,0.024256489599449888,0.7871160634327695,0.6707025384404135,0.1671783056841728,0.1461219237574393,0.052,0.023431321987278667,0.7904942152604907,0.6767378362553413,0.15959016698527656,0.1434904294675889
magnitude,101,123608,0.476048178282363,0.5111372044394402,0.07475,0.023465703971119134,0.8043659726211517,0.7072902904108956,0.09126407954299791,0.13587904133826606,0.06475,0.024273680591370122,0.7876153412268415,0.6818294566973044,0.12222688067153265,0.14558147016245776
magnitude,211,123608,0.476048178282363,0.5111372044394402,0.04825,0.030393673714973354,0.7914616768678299,0.6812712032307534,0.1732163535708205,0.14561685700498633,0.053,0.028932439401753482,0.7938501489553179,0.684345233833848,0.16608707952916416,0.14385716583561203
magnitude,307,123608,0.476048178282363,0.5111372044394402,0.0595,0.027058621282447997,0.7677683126717323,0.6591177134459174,0.17001286405124114,0.16650474505388452,0.067,0.025734914904589994,0.789587003984134,0.6779083524081294,0.12929833611090188,0.14548174360624094
magnitude,401,123608,0.476048178282363,0.5111372044394402,0.05325,0.027316486161251503,0.7985135507243003,0.705418846212895,0.0868198736910147,0.13878719639697604,0.056,0.027402441120852675,0.7985394222414538,0.7073929740259897,0.08896229516438332,0.13790252533376227
magnitude,503,123608,0.476048178282363,0.5111372044394402,0.0595,0.027058621282447997,0.7874130753586907,0.6723213873582383,0.16095536698705692,0.1476532089432202,0.05525,0.027694687983496648,0.7779721544643391,0.6575102632761601,0.20387457175499202,0.1517612996622165
magnitude,613,123608,0.476048178282363,0.5111372044394402,0.03775,0.035808836169847,0.7754246826309883,0.6704461278213386,0.1483500184089357,0.1520379604310761,0.03725,0.03561973525872443,0.7805414697405818,0.6705142190646511,0.156372659098006,0.15036512787518094
magnitude,719,123608,0.476048178282363,0.5111372044394402,0.04175,0.03527591542031975,0.7860588856256419,0.6957520876853845,0.12475765023367456,0.14484478044072704,0.044,0.03429602888086643,0.7847565626688476,0.6901145235714217,0.13383106137451592,0.14738619913141388
magnitude,823,123608,0.476048178282363,0.5111372044394402,0.0645,0.028451091627986935,0.7907762111972815,0.6858424111002347,0.1456217858081346,0.1441338266044716,0.06175,0.029534124118961665,0.7884002467371681,0.6847172653533932,0.15729944313318,0.14520508283738137
magnitude,907,123608,0.476048178282363,0.5111372044394402,0.056,0.028605810555269038,0.7790958454624902,0.6721517303292409,0.15026837240909394,0.14945472092649187,0.05525,0.028760529482551145,0.7820052101152069,0.6782291042106757,0.13405368409926793,0.14703233070612837
magnitude,1013,123608,0.476048178282363,0.5111372044394402,0.06725,0.02735086814509197,0.7878558334832979,0.6720387598246077,0.15049789074086278,0.14573588547530963,0.0645,0.02683513838748496,0.7852494277211615,0.6747111122030599,0.13079892425634324,0.1467556699372688
magnitude,1109,123608,0.476048178282363,0.5111372044394402,0.06925,0.026817947395564725,0.7954860129031719,0.7036731878236931,0.13057832254124874,0.13653208943220202,0.06575,0.02630221763795771,0.7901251074329361,0.696327616160265,0.141710682256335,0.14209425768055334
magnitude,1201,123608,0.476048178282363,0.5111372044394402,0.05775,0.026319408629877944,0.7969544868446036,0.6849995269148335,0.1611460577389766,0.1443654495737494,0.0625,0.025631768953068592,0.7981784687070617,0.6848865827451975,0.16302186427655288,0.14330062731220844
magnitude,1303,123608,0.476048178282363,0.5111372044394402,0.054,0.03006704486848891,0.7612047447979947,0.6487645830715093,0.20216224225473975,0.16881454077529354,0.059,0.029087158329035585,0.7947479155890139,0.6918811348809046,0.14272014723472284,0.14330384429789286
magnitude,1409,123608,0.476048178282363,0.5111372044394402,0.0485,0.029173113288636754,0.7801998154139738,0.6698399610311402,0.18081554110100564,0.15069326041499115,0.0465,0.029482551143200964,0.7799458934603241,0.668580035993042,0.1805096668732114,0.15032330706128358
