class,val_rows,val_rows_in_train,rate
Backdoor_Malware,482,0,0.0
BenignTraffic,29940,0,0.0
BrowserHijacking,868,0,0.0
CommandInjection,808,0,0.0
DDoS-ACK_Fragmentation,29898,0,0.0
DDoS-HTTP_Flood,4318,0,0.0
DDoS-ICMP_Flood,16224,0,0.0
DDoS-ICMP_Fragmentation,29928,0,0.0
DDoS-PSHACK_Flood,19315,0,0.0
DDoS-RSTFINFlood,16818,0,0.0
DDoS-SYN_Flood,19654,0,0.0
DDoS-SlowLoris,3514,0,0.0
DDoS-SynonymousIP_Flood,17252,0,0.0
DDoS-TCP_Flood,17167,0,0.0
DDoS-UDP_Flood,18091,0,0.0
DDoS-UDP_Fragmentation,29874,0,0.0
DNS_Spoofing,26131,0,0.0
DictionaryBruteForce,1959,0,0.0
DoS-HTTP_Flood,10723,0,0.0
DoS-SYN_Flood,21673,0,0.0
DoS-TCP_Flood,18572,0,0.0
DoS-UDP_Flood,22308,0,0.0
MITM-ArpSpoofing,27485,0,0.0
Mirai-greeth_flood,29454,0,0.0
Mirai-greip_flood,29596,0,0.0
Mirai-udpplain,28859,0,0.0
Recon-HostDiscovery,20030,0,0.0
Recon-OSScan,14475,0,0.0
Recon-PingSweep,339,0,0.0
Recon-PortScan,12036,0,0.0
SqlInjection,787,0,0.0
Uploading_Attack,188,0,0.0
VulnerabilityScan,29910,0,0.0
XSS,577,0,0.0
