group_id,module_path,channel_index,magnitude,taylor,fisher,sbl_raw,saber_v2,random
conv.0:out:0,conv.0,0,1.3589969277381897,0.01593045455357469,0.001181027451441934,0.8041927527657584,1.050533425382504,0.5118216247002567
conv.0:out:1,conv.0,1,2.1650375723838806,0.017357972139532763,0.0011736908809065177,1.8676530527442257,4.202133701530016,0.9504636963259353
conv.0:out:2,conv.0,2,0.932818815112114,0.01731962942225209,0.0022816908610790417,1.2673134406767381,2.451244659225843,0.14415961271963373
conv.0:out:3,conv.0,3,1.0866706669330597,0.6738674419480958,2.7474862359073384,8.616585848723922,6.77010429690947,0.9486494471372439
conv.0:out:4,conv.0,4,1.1449103355407715,8.204946186412053,280.710837452122,57.589690881071995,7.47045991383114,0.31183145201048545
conv.0:out:5,conv.0,5,0.9912168830633163,0.016029026220434162,0.001986385723102107,1.804643952741076,3.8519558930691815,0.42332644897257565
conv.0:out:6,conv.0,6,1.7252646684646606,0.1067268926516192,0.034274393876750284,1.6178629743990651,3.501778084608347,0.8277025938204418
conv.0:out:7,conv.0,7,1.313376471400261,0.008246639300355695,0.00019866184042348898,0.46748812619326263,0.4669037446144462,0.4091991363691613
conv.0:out:8,conv.0,8,1.5607974827289581,0.28557507252626235,0.27546905419670753,3.287766089626537,5.486118999219743,0.5495936876730595
conv.0:out:9,conv.0,9,0.9579009264707565,0.013600037537577237,0.001154475253790192,0.6541820967930603,0.8170815530752809,0.027559113243068367
conv.0:out:10,conv.0,10,0.9255258142948151,0.15466667393334319,0.08057064368500369,4.623280837091652,6.303200552295024,0.7535131086748066
conv.0:out:11,conv.0,11,1.9602200388908386,1.1140247141715918,3.6741069211468718,16.53607109626141,7.237008041523916,0.5381433132192782
conv.0:out:12,conv.0,12,0.8422945290803909,0.01508868541513948,0.0008300365289644146,0.6212923329335204,0.7003556169216694,0.32973171649909216
conv.0:out:13,conv.0,13,1.5303814560174942,0.1868652353876314,0.161440524623143,4.607413690945824,6.186474616141412,0.7884287034284043
conv.0:out:14,conv.0,14,0.8246874660253525,0.008974320707920924,0.00034990606605323014,1.3861203798348658,2.6846965315330658,0.303194829291645
conv.0:out:15,conv.0,15,1.1525148674845695,0.06729056057546359,0.023014154082086728,1.3961806565363637,2.8014224676866775,0.4534978894806515
conv.0:out:16,conv.0,16,1.030489832162857,0.054129364549453385,0.008981962778462353,1.0517000557478533,2.101066850765008,0.13404169724716475
conv.0:out:17,conv.0,17,1.2922957837581635,0.14874406802392742,0.07336369953780582,2.2662364656713163,4.669037446144462,0.40311298644712923
conv.0:out:18,conv.0,18,1.3368416279554367,0.008836461566882647,0.00030146987168371117,1.009237325720002,1.7508890423041734,0.20345524067614962
conv.0:out:19,conv.0,19,0.5473670586943626,0.09490100451732815,0.04873267277356594,1.8318646209471814,3.968681829222793,0.2623133404418495
conv.0:out:20,conv.0,20,1.4235313534736633,0.014110894745317636,0.0011886337978068596,2.2661723393723165,4.552311509990851,0.7503646726300526
conv.0:out:21,conv.0,21,1.1134318709373474,0.01455508899061897,0.0018577922229251476,0.28898112216073935,0.2334518723072231,0.2804087579860399
conv.0:out:22,conv.0,22,1.5703359842300415,1.8311181238647465,13.875226879251937,13.641869431599318,7.003556169216694,0.48519097443163506
