seed,cell,prunable_sparsity,whole_model_sparsity,prunable_params,total_params
0,prune50,0.5,0.4925549930244189,224544,227938
0,prune80,0.8000080162462591,0.7880958857233107,224544,227938
1,prune50,0.5,0.4925549930244189,224544,227938
1,prune80,0.8000080162462591,0.7880958857233107,224544,227938
2,prune50,0.5,0.4925549930244189,224544,227938
2,prune80,0.8000080162462591,0.7880958857233107,224544,227938
3,prune50,0.5,0.4925549930244189,224544,227938
3,prune80,0.8000080162462591,0.7880958857233107,224544,227938
4,prune50,0.5,0.4925549930244189,224544,227938
4,prune80,0.8000080162462591,0.7880958857233107,224544,227938
