cell,class,mean_recall_loss,affected_frequency
gradual_global80,Backdoor_Malware,0.0028985507246376808,0.0
gradual_global80,BenignTraffic,0.051888714471794536,0.2
gradual_global80,BrowserHijacking,0.0029919447640966634,0.0
gradual_global80,CommandInjection,0.020271940667490725,0.0
gradual_global80,DDoS-ACK_Fragmentation,-0.029205966954311303,0.0
gradual_global80,DDoS-HTTP_Flood,0.011484139847186835,0.0
gradual_global80,DDoS-ICMP_Flood,7.396449704137887e-05,0.0
gradual_global80,DDoS-ICMP_Fragmentation,0.0018511093290563886,0.0
gradual_global80,DDoS-PSHACK_Flood,0.0003520397597846392,0.0
gradual_global80,DDoS-RSTFINFlood,-1.1891313395562263e-05,0.0
gradual_global80,DDoS-SYN_Flood,0.14659882981429662,0.0
gradual_global80,DDoS-SlowLoris,0.03523050654524758,0.2
gradual_global80,DDoS-SynonymousIP_Flood,-0.2578334202747348,0.0
gradual_global80,DDoS-TCP_Flood,0.00876048462255361,0.2
gradual_global80,DDoS-UDP_Flood,0.039398629228388216,0.2
gradual_global80,DDoS-UDP_Fragmentation,0.0016334728033472912,0.0
gradual_global80,DNS_Spoofing,0.10233821897363285,0.2
gradual_global80,DictionaryBruteForce,0.05724489795918368,0.2
gradual_global80,DoS-HTTP_Flood,0.044185395878019215,0.2
gradual_global80,DoS-SYN_Flood,0.0394389591215281,0.0
gradual_global80,DoS-TCP_Flood,0.09113719577859142,0.2
gradual_global80,DoS-UDP_Flood,-0.004482696790389107,0.2
gradual_global80,MITM-ArpSpoofing,0.005683099872657813,0.0
gradual_global80,Mirai-greeth_flood,0.008983194703785436,0.0
gradual_global80,Mirai-greip_flood,0.019286390052709823,0.0
gradual_global80,Mirai-udpplain,0.0011988911988911831,0.0
gradual_global80,Recon-HostDiscovery,0.1319520718921617,0.2
gradual_global80,Recon-OSScan,0.05265630397236615,0.0
gradual_global80,Recon-PingSweep,0.0017647058823529412,0.0
gradual_global80,Recon-PortScan,0.06328819473290688,0.2
gradual_global80,SqlInjection,0.020584498094027955,0.0
gradual_global80,Uploading_Attack,0.017021276595744685,0.0
gradual_global80,VulnerabilityScan,0.10809762621196928,0.4
gradual_global80,XSS,0.010745233968804158,0.0
gradual_perlayer80,Backdoor_Malware,0.014078674948240166,0.0
gradual_perlayer80,BenignTraffic,0.4961891720383421,1.0
gradual_perlayer80,BrowserHijacking,0.00897583429228999,0.0
gradual_perlayer80,CommandInjection,0.04721878862793572,0.0
gradual_perlayer80,DDoS-ACK_Fragmentation,0.101685731487056,0.4
gradual_perlayer80,DDoS-HTTP_Flood,0.182681176198194,0.4
gradual_perlayer80,DDoS-ICMP_Flood,0.000727317554240603,0.0
gradual_perlayer80,DDoS-ICMP_Fragmentation,0.17261427425821976,0.2
gradual_perlayer80,DDoS-PSHACK_Flood,0.08414785669910958,0.2
gradual_perlayer80,DDoS-RSTFINFlood,0.1998335216124621,0.2
gradual_perlayer80,DDoS-SYN_Flood,0.02509285169168149,0.0
gradual_perlayer80,DDoS-SlowLoris,0.27620944792259533,0.8
gradual_perlayer80,DDoS-SynonymousIP_Flood,0.1892540427751695,0.6
gradual_perlayer80,DDoS-TCP_Flood,-0.28136067101584344,0.2
gradual_perlayer80,DDoS-UDP_Flood,0.15130444395312842,0.4
gradual_perlayer80,DDoS-UDP_Fragmentation,0.01257238493723849,0.0
gradual_perlayer80,DNS_Spoofing,0.15449848838544258,0.4
gradual_perlayer80,DictionaryBruteForce,0.23928571428571427,0.8
gradual_perlayer80,DoS-HTTP_Flood,0.3633871118157232,0.6
gradual_perlayer80,DoS-SYN_Flood,-0.02365045676847836,0.0
gradual_perlayer80,DoS-TCP_Flood,0.4213870342451001,0.8
gradual_perlayer80,DoS-UDP_Flood,0.0847140039447732,0.4
gradual_perlayer80,MITM-ArpSpoofing,0.012028379115881383,0.0
gradual_perlayer80,Mirai-greeth_flood,0.0009098625021219054,0.0
gradual_perlayer80,Mirai-greip_flood,0.591235302067847,0.8
gradual_perlayer80,Mirai-udpplain,0.20037422037422034,0.2
gradual_perlayer80,Recon-HostDiscovery,0.06373439840239639,0.4
gradual_perlayer80,Recon-OSScan,-0.03046632124352331,0.4
gradual_perlayer80,Recon-PingSweep,0.0017647058823529412,0.0
gradual_perlayer80,Recon-PortScan,0.006679405167400521,0.2
gradual_perlayer80,SqlInjection,0.05235069885641678,0.0
gradual_perlayer80,Uploading_Attack,0.018085106382978722,0.0
gradual_perlayer80,VulnerabilityScan,0.5130458040789033,1.0
gradual_perlayer80,XSS,0.015944540727902946,0.0
