seed,bn_layer,rel_mean_distance,rel_var_distance,saved_var_median,recal_var_median
0,0,0.00208610063418746,0.1002221405506134,0.01801334135234356,0.01793237403035164
0,1,0.01993725821375847,0.013432586565613747,0.003999022766947746,0.004033440724015236
1,0,0.0018377435626462102,0.07701299339532852,0.009222508408129215,0.009136207401752472
1,1,0.0057971724309027195,0.008669374510645866,0.011215552687644958,0.01105539407581091
2,0,0.0019242167472839355,0.03528963029384613,0.007970278151333332,0.007627283688634634
2,1,0.031407903879880905,0.024472182616591454,0.0016586683923378587,0.001703418092802167
3,0,0.0014810252469033003,0.09655015915632248,0.010973690077662468,0.010572651401162148
3,1,0.015134495683014393,0.010921034961938858,0.0029741344042122364,0.0030617755837738514
4,0,0.001876554568298161,0.0178216639906168,0.017375905066728592,0.017614876851439476
4,1,0.019879400730133057,0.015035578981041908,0.004126471467316151,0.0038695549592375755
