seed,cell,conv.0,conv.3,head,prunable_sparsity,remaining_nonzero_prunable
0,layerwise80_all,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
0,layerwise80_protect_conv0,0.0,0.8000081777572632,0.8000919222831726,0.7947458791208791,5977
0,global80,0.3072916865348816,0.89501953125,0.28515625,0.8,5824
1,layerwise80_all,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
1,layerwise80_protect_conv0,0.0,0.8000081777572632,0.8000919222831726,0.7947458791208791,5977
1,global80,0.3854166865348816,0.8838704824447632,0.3446691334247589,0.8,5824
2,layerwise80_all,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
2,layerwise80_protect_conv0,0.0,0.8000081777572632,0.8000919222831726,0.7947458791208791,5977
2,global80,0.2447916716337204,0.9013265371322632,0.2522977888584137,0.8,5824
3,layerwise80_all,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
3,layerwise80_protect_conv0,0.0,0.8000081777572632,0.8000919222831726,0.7947458791208791,5977
3,global80,0.2552083432674408,0.8936767578125,0.29503676295280457,0.8,5824
4,layerwise80_all,0.8020833730697632,0.8000081777572632,0.8000919222831726,0.8000343406593406,5823
4,layerwise80_protect_conv0,0.0,0.8000081777572632,0.8000919222831726,0.7947458791208791,5977
4,global80,0.2708333432674408,0.8973795771598816,0.2734375,0.8,5824
