condition,taps,mask,live_filters,mean_macro_f1,sd,mean_macro_f1_loss,classes_affected_ge3of5
tapconc38,38,concentrated,13.0,0.06697664907682735,0.06389803457332145,0.47464510603378784,25
magnitude_ref_38,38,magnitude (NB35),34.6,0.2706046247845419,0.1635816431062174,0.2710171303260733,17
tapspread38,38,spread,38.0,0.22521354528193188,0.14153752807181902,0.3164082098286833,20
tapconc96,96,concentrated,32.0,0.3292811344982969,0.08641172166374585,0.2123406206123183,12
magnitude_ref_96,96,magnitude (NB35),58.4,0.4867079677544398,0.0628813524950906,0.0549137873561753,4
tapspread96,96,spread,64.0,0.5231975750144169,0.007033831955151079,0.018424180096198284,0
